ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1'}),1.456450264225968e-13,2.646923684713814e-09,2.823560467398341e-17,0.0,-1.675881555168031e-17,-8.262223393218745e-15,-8.057374467397398e-15,9.707159699511205e-15,-1.409531805411653e-18,8.1133784404022e-18,-1.061031340840265e-13,-1.278530887016168e-13,-8.61515567499782e-16,3.016544477824588e-29,2.405964742860088e-11,2.29194017002818e-14,2.452499091478682e-19,5.920029775263377e-17,4.675062966689439e-13,2.993155997040437e-18,-6.8158279095612e-18,3.253605672477497e-17,-5.049375989619984e-12,-3.640524067641805e-15,1.228939878340794e-13,-5.295002232799101e-13,5.619618201709412e-14,-1.098282448015455e-18,3.892513390943297e-14,1.192852934991474e-12,1.713255211090381e-17,-2.36766825772819e-14,8.507892419382073e-15,7.993606294473814e-18,-3.802951187418896e-15,1.331420488878878e-17,2.666447163945247e-15,7.20846579115719e-15,4.937951818685956e-14,-4.779339733128865e-15,2.180489598616616e-15,-2.531967276438131e-15,-3.759851657964807e-14,-6.299755607490277e-18,-2.117474148994941e-13,1.549980041358123e-14,-2.041621353636663e-14,8.073859968174218e-17,4.384452128949738e-14,-3.391233005443181e-13,-9.566585903294088e-14,6.36331274539004e-13,-5.362119658872968e-14,-2.344844483433165e-14,1.526329379809474e-18,2.313640649347341e-14,-2.626801626887053e-13,1.228742137462408e-13,2.898456705680896e-14,4.331862849821871e-17,1.607598083383955e-14,-1.388838055263368e-13,-7.348911709520845e-19,-3.303896901292684e-15,1.916896965005495e-15,-3.108932098471684e-14,-1.158407831393018e-13,-5.620989849412054e-17,-3.647505206679096e-15,-4.641029495806578e-14,-4.460555491556062e-19,-5.723053434945979e-17,-1.202849041011072e-18,1.226547704842099e-13,-3.301103169481166e-12,5.014728447356476e-17,-1.824054391729721e-12,-3.501134255577594e-16,-6.19731090742547e-15,-6.036109293220122e-15,-1.333031200706012e-13,,,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1290'}),-6.14123835166166e-15,1.595100357823181e-13,5.051222593297731e-10,1.425889373884118e-14,8.579724028841208e-12,-1.301679808090918e-13,-2.266343893428484e-12,-3.429449785589214e-14,4.862730651399644e-14,7.156850369580911e-17,-5.764737752216301e-14,-1.271143300471796e-14,2.164959629568313e-14,-4.034024097707891e-15,-1.289242614679959e-17,-3.791802331084769e-12,8.112793488551623e-15,6.357695959716769e-16,-1.643444181594945e-14,-1.60734703195313e-11,3.269939546489659e-13,3.369539691708839e-14,0.0,3.001994453650934e-19,-1.079645628333034e-14,-2.807091754965961e-16,1.875623409575218e-15,3.041630014456927e-17,5.810440613063314e-12,3.45333420106444e-18,-3.332171573465597e-13,-8.522479873500512e-16,-4.559619911616975e-13,-1.817030637552741e-14,4.122024918396687e-15,3.687933951932101e-11,-4.273484573395155e-13,3.442074600620303e-14,9.208875819142558e-19,-1.969031370513815e-14,1.075819339772031e-15,-3.765332823375787e-15,8.890884170192578e-13,-1.019538575371632e-18,7.482211603053326e-19,9.109460948937148e-12,-4.626438269449808e-15,-1.220606840295112e-16,4.620774015643977e-14,4.622024145643653e-17,-2.158043764571625e-11,-1.10331467632901e-13,-4.786261783660549e-14,9.172393753800267e-19,-1.714956927940837e-11,2.622665329276203e-15,-8.319109086878545e-17,-1.40931329546215e-13,3.762784635564592e-15,3.432529484124802e-15,2.266766809343243e-13,-3.578327472751586e-15,-3.140926296197164e-15,6.36306252028555e-11,2.183101180839067e-14,-9.837144172011714e-14,2.494004750089406e-17,1.036265650155137e-18,2.768072900557207e-29,-9.343235201913748e-14,4.565039989618853e-19,-6.170473654397299e-17,1.279810098577787e-14,-2.992958384704302e-12,1.192383288551524e-13,1.112202428112593e-28,-4.460555490951694e-19,1.794764310855996e-14,1.323714320590002e-15,-6.80947322508394e-14,-5.061779551502233e-16,1.845202317566754e-13,3.716667341479115e-15,-2.839094228645906e-15,-9.640985094001332e-12,9.105069701405953e-14,1.290447224114028e-14,,,,,,,,,,,,,
frozenset({'223283.9.peg.1455'}),0.002817523675930718,0.002817523676037645,8.280773945070077,0.002817523676448145,0.002817523675921764,0.002817523676218049,0.002817523676334134,20.81584952926287,0.002817523676081453,0.002817523675829717,0.00281752367496257,0.002817523675942974,12.49886606139986,0.002883521632691955,0.002817523675909964,0.002817523675292133,0.002789084693674994,0.002822518283376929,0.002820343404465918,0.002817523675962043,0.00281752804470805,0.002883521632271777,0.002883521632756125,0.002817523676113026,0.002817523676351145,0.002817523676144856,0.002817523675568574,0.002883521632535723,0.002817523676114366,0.002883521632599277,0.002817523655509033,0.002817523676642605,0.002883521632803723,0.002817523675884027,0.002817523675593229,0.002883521632567637,0.002817523676044656,0.002817523676123304,0.002817523676385182,0.002817523675962062,0.002789084693185144,11.19276332423416,0.002817523676068931,0.002883521633300436,0.002817523676070312,0.00281752367606777,0.002789084693210391,0.002883521632641845,0.002817523675962929,0.002817523678842128,0.002883521632577231,0.00281752367599963,0.002883521633336386,0.002817523675036943,0.002883521632755787,0.002883521632335736,0.002817523675973098,0.00281752367598163,0.002817523665910521,5.488185919908381,0.002789084693796003,3.846892378212712,0.002817523675111341,0.002789084693104132,0.002883521632271087,18.17447677780456,0.002817523675935533,0.002817523676459226,3.1801637810331,5.326292750654551,0.002883521649220002,0.002817523676261481,0.002817523676002416,0.002883521632700386,3.179007696561283,4.145326075387119,0.002883521632575564,0.002817523676185661,0.002817523676064976,0.002883521632777984,10.86557470756355,0.002883521632313609,0.002817523675975272,0.002789084693317477,0.002727292568050297,0.002817523676031428,0.002817523674988071,0.002817523676194776,0.002817523676170303,0.002817523676262516,0.002883521632101,0.002814045986175071,0.00281752367576392,40.37592550262019,0.002817523676190839,0.002817523675985527,0.002896192699892733,0.002822518287761694,0.002817523675901723,0.002883521632884509
frozenset({'223283.9.peg.1494'}),-4.289726699136571e-19,-1.076803994834309e-13,4.336570753261388e-14,0.0,-7.77073284532198e-12,-5.4167949842703e-14,4.094214003137319e-15,1.868896056516612e-14,-3.900223019903956e-19,4.143794042486195e-14,-4.599335574871991e-14,-1.516711214868707e-13,-2.354541193369261e-14,-4.155238551371272e-19,4.770113103995367e-14,-4.425922612909405e-15,-4.000702681704062e-20,6.406417759263656e-14,-6.093796339459805e-17,-1.701527509065289e-18,-1.938412893097934e-14,5.657112557157897e-14,-9.183582147644326e-14,-4.310615933988031e-14,-4.141128408281148e-15,3.463894732016947e-13,-1.25942039359065e-14,6.676214770348845e-16,4.798954382732427e-11,5.914650354875e-18,1.825638441454684e-29,-2.68635184611561e-17,6.610098209297434e-14,-1.325019016882255e-19,2.311700899193421e-18,-6.802589188764765e-13,-3.764845511851859e-19,1.988226551758133e-14,-1.466006830163039e-15,-2.046208428997619e-14,-5.302513484532501e-13,-1.453488357030914e-18,-1.804402236133062e-17,-6.010939921220832e-15,5.941636547312656e-19,-5.546138306235235e-19,3.091728425528977e-14,2.041534914638493e-15,1.027432518866805e-15,-1.722598941534104e-19,1.995266116648088e-13,4.705942681310493e-18,-7.833871415027482e-14,-3.703049546874596e-15,-3.799310150714111e-12,1.96498099632334e-12,-6.567145318654421e-14,3.225702254310103e-18,1.079815579567456e-18,4.460555491556003e-19,-2.112915225981122e-17,3.793758339401444e-14,3.449869029610264e-14,-1.067567806209254e-17,-1.394942270271536e-15,5.745110261790935e-13,2.520035170584888e-17,-2.053006078623032e-16,8.061054760513268e-16,2.219690943612752e-13,-2.458794950436288e-14,2.250822130373603e-15,8.237047657272895e-14,-9.140464174568855e-14,-3.351200924889156e-19,2.985812270855833e-13,6.560728832722365e-19,-2.238712643655425e-14,-1.350377225740546e-13,-1.256278272844884e-13,-2.42360963897325e-12,-4.509150266414333e-18,-1.061686399100467e-13,3.451890559392735e-16,-5.72456159515593e-16,-7.706836955182699e-19,-2.685063327382064e-15,1.397315652948803e-15,-2.712748557049194e-12,-3.528411243677745e-15,-2.559805324318042e-14,2.067720530285803e-15,-2.466111983671587e-15,,,,,,,
frozenset({'223283.9.peg.1497'}),4.246487215065073e-12,1.055704695374556e-14,-3.929532814700258e-14,5.269193141682946e-14,0.0,-4.265822522221166e-14,7.245391792681981e-15,4.181712019089343e-17,3.420190680431024e-13,-3.365792710473088e-16,1.376099309585941e-15,3.293005255760144e-19,1.558027951101483e-12,-4.425922612909405e-15,-7.709165341418135e-12,2.493901450233126e-14,-6.20056395446931e-17,-4.117874808374436e-14,-3.052851957768188e-13,1.363887669410907e-13,1.471860180990696e-13,1.593496997197598e-29,4.128779417033282e-12,6.112782998326875e-15,-8.999830368275669e-13,1.766002262170037e-13,-2.813594237526647e-15,-3.722131071834879e-19,-7.630544583966842e-12,2.979506317276621e-14,-1.874554291325742e-16,-3.56996369353374e-16,4.548054698999996e-19,5.130454763777556e-20,4.208986062810258e-14,-2.099114942562886e-14,-4.34035398593809e-14,-2.468178182738708e-15,9.208407849689322e-15,2.276534935029635e-18,1.45244957714812e-14,-2.133251430455918e-19,-4.323549319982883e-15,5.056947029666086e-14,-3.853418481885164e-19,-2.81860101127774e-14,2.311012072821827e-17,-2.452648779254854e-12,2.278504956007214e-14,5.56845349275751e-14,8.773615807745776e-18,-1.05467445771795e-12,5.263566668348987e-20,-1.360017596117533e-17,3.118573847314554e-14,-2.068344663412958e-12,2.540087471014069e-19,-5.129116001496769e-11,3.489828902540113e-14,-7.121078667335257e-19,4.870616298646985e-15,4.554512676398862e-14,9.76953543844711e-12,7.66488586871367e-15,8.099062350964057e-15,-1.859870805653238e-13,-4.53674442364012e-15,-2.072853039365116e-14,-1.692750713022854e-13,5.152358033391667e-19,2.642943876116407e-13,5.527045993586612e-19,-1.625879879736372e-11,3.576633566740999e-14,-6.749841758895166e-18,-1.108934777809144e-14,9.250098320235e-19,2.434274011642421e-17,-1.670396189014575e-13,-1.002947965038809e-13,-4.639455564478581e-18,-4.396940365203487e-19,-2.592066738030127e-15,-4.30428803907911e-19,-1.033024226761968e-18,4.222111758595563e-16,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1522'}),1.110064099986941e-14,3.658139642931801e-13,-1.219039303189838e-13,-3.962155999047239e-14,2.257186648470554e-11,2.169518379267748e-13,-2.763119543743335e-14,8.823492926718198e-14,8.790242682619189e-15,1.2175551411103e-16,0.0,7.32820665759095e-15,-4.741483088637876e-19,-5.143900802780282e-16,-1.079285710811381e-14,3.178847979858385e-16,-2.201151195661875e-14,5.243910414714799e-16,3.1364229601473e-19,4.866599544810089e-15,-1.04913439762284e-18,2.997240346798992e-12,2.810395936109133e-12,2.210765381198743e-15,2.550150540766886e-14,-5.345380683375653e-17,-1.925884597229252e-15,3.217116297795345e-16,4.846862169031271e-12,2.254310350102104e-19,1.242576530616192e-16,-5.811871397228522e-16,3.608312656540186e-15,-1.51744962542297e-14,2.410194000277035e-12,-1.925313904446421e-19,-4.965112180262791e-13,1.039231637430663e-14,1.553079570357044e-14,7.504831841943427e-15,3.557353342639216e-14,8.340793667466559e-16,-5.870380690559096e-14,6.764794889765746e-15,-4.559238992891939e-17,-5.680809746602261e-16,-3.464114928281525e-14,3.615716838877822e-15,-1.101870295428066e-18,-7.021177727626412e-18,6.789757613569878e-18,-2.972460017331154e-16,-1.251752101229161e-12,-5.171279198992253e-15,1.195997969440673e-15,1.452862884967633e-15,9.69334035009734e-18,1.647483797516736e-14,-2.733450038138759e-17,4.405929303825109e-15,-2.3801915017139e-12,3.390315315901012e-11,-2.243709034506814e-14,-1.096548135032648e-15,6.711644194780498e-19,-8.950099589135903e-19,-1.481111761278335e-13,-1.060088470427086e-12,1.812236733730874e-15,-3.573556638720988e-19,-8.824510324508387e-20,5.086815077313884e-19,-8.780712461194979e-15,-2.263465498058383e-15,-3.559345313362241e-13,1.87564690646861e-14,2.474888373601202e-14,-2.5572863605128e-14,6.712574689897926e-19,-8.058168256897044e-14,7.098314920000282e-13,-1.194718679130625e-15,5.441257716991403e-14,-7.847175308819205e-16,-1.195250269128538e-14,2.723337142258983e-18,5.83701619301158e-14,,,,,,,,,,,,,
frozenset({'223283.9.peg.1560'}),-1.1303497356069e-13,-1.411277385290086e-14,-7.39780493510241e-15,9.07916255347227e-14,-2.517024076525485e-13,-3.465092758216978e-14,-1.000594820097123e-12,-7.532050434860965e-13,5.142661539144365e-17,-4.31711989036067e-13,7.291689654864112e-16,-1.635888034404458e-15,-2.611210856723716e-13,0.0,-2.588336402626739e-14,1.405041332466292e-15,-1.332727909167374e-16,-1.767691394185752e-13,4.291911486725023e-14,-1.468076250623448e-12,2.600536474932333e-13,-8.70188791774798e-19,5.395872212143394e-11,4.558343570567292e-13,-1.561864377963925e-11,-1.932705063747434e-14,-3.865249576684948e-15,2.74883850671031e-17,1.183139880616467e-17,3.521956467544269e-12,1.735811642408312e-14,-6.206877345397975e-18,1.185737795913431e-18,6.174302501411099e-19,1.006649636616623e-13,3.585042505901495e-14,1.793221063184536e-15,-3.145516539715642e-14,-2.612689235812649e-14,1.013305082844113e-15,3.592899182468259e-17,1.721162969835851e-18,-2.435277474049209e-14,-2.745437569047745e-19,-2.801861230508577e-16,3.297385089740429e-16,1.184467787343296e-18,1.200797781920277e-13,-8.574850279862864e-19,7.096867382498709e-14,-3.481881973798981e-19,-6.03999641858338e-18,-2.301062210927942e-14,3.213989421716514e-14,2.64020835537224e-15,4.910193553702133e-13,3.528414879245995e-13,3.065255818727285e-14,-3.601557832391801e-13,-1.972941783876409e-13,5.616109439757715e-18,-4.551019725552928e-14,-1.07211150684789e-14,-7.847482065270293e-14,-4.241521083725932e-19,-3.308939820828299e-14,6.084876670893003e-16,3.409851835922526e-15,7.297675034415665e-18,-1.106445362760431e-13,4.947484092177629e-13,-7.459357406467725e-15,1.3516474967741e-13,1.121090389721569e-15,-3.20876024512724e-13,-4.363167420461288e-15,-5.995695303824314e-19,3.281034964350363e-18,2.246410475200144e-17,7.732447522996044e-14,-1.349177056686078e-13,-7.85225546333258e-18,1.500885851963401e-16,2.395941280420714e-14,5.091388353797131e-19,-1.544660911234804e-14,9.021403169412731e-14,-2.797855057203628e-16,-5.936661994172858e-15,1.233354452581506e-12,8.813902602423746e-14,1.743265248741322e-11,4.251586817916462e-16,,,,,,,
frozenset({'223283.9.peg.1575'}),-1.111621206102226e-13,-3.953018974070487e-17,1.76644346900845e-14,-7.693240412000746e-18,-6.293042261213829e-15,0.0,3.724927356308975e-30,-7.68407035659281e-15,2.759281458315165e-15,5.290260880361071e-13,-7.047202648301833e-19,-1.32361946032898e-13,-2.267474960610722e-14,-1.65302213440417e-14,-1.737517954704215e-14,1.354515068037936e-13,1.267994913362864e-16,1.440941343448177e-18,-2.230277745777953e-19,8.586362297287855e-16,-3.256448137172211e-16,-6.063815257476907e-15,6.561410998553095e-15,1.355669030198957e-18,1.215350757368086e-18,-3.294554139237726e-13,-7.466158457603012e-18,-1.547301335223264e-15,-2.714486355320364e-18,-2.087727966339985e-14,2.238353880287018e-13,8.331984839635916e-15,7.89184813322442e-19,-2.084281449335512e-13,-6.865337583036731e-15,-1.156025543309544e-18,-2.711338060397914e-17,3.425988251941669e-14,2.339231771793572e-13,-2.347715387368826e-15,3.915524381573264e-14,-2.705904758208645e-13,1.13401683919632e-15,-1.737338866660988e-15,-1.463125650174009e-13,1.968541986026944e-15,7.706836955396864e-19,3.506251845926805e-14,1.237786591988655e-17,-9.43041329835433e-13,-2.111921294120417e-13,1.656503131082586e-11,-1.079116911441602e-14,6.833659081960165e-15,3.008365684337708e-14,-4.460555491555684e-19,-2.357093293272347e-14,4.874365666390148e-15,-3.472133526514158e-13,3.623365660680402e-14,-1.28659454561614e-14,-8.6641352504278e-16,-6.313654678873872e-19,1.323235970439013e-17,4.352522594733437e-30,-3.252997532951311e-16,1.380803134018846e-13,1.311608325228604e-19,-2.232571768006657e-14,4.359830847060635e-14,-5.109842972104845e-28,2.536331029229602e-15,-2.307461283988144e-14,-2.634397270981917e-14,-1.613342651459165e-15,-2.646360335588074e-14,-2.990638765941776e-18,3.446487790992936e-13,4.473473181230382e-14,-8.688668063702934e-19,2.516064491916994e-17,-1.907918992113874e-15,1.851916440669947e-13,-7.175971024585355e-19,-1.023910635885614e-13,-4.453695459968881e-15,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1577'}),-7.176284507691702e-18,-1.319949406566647e-13,0.0,2.966677293557082e-14,1.868054763153742e-15,-7.942593053116382e-14,-2.994544270093885e-14,-5.691816758557371e-15,-1.079008390735551e-15,3.50021865782913e-14,1.129602806878774e-13,2.693028009532068e-15,-4.392314246139545e-11,1.04514188719158e-13,4.578174901153526e-14,-6.685443301486878e-19,8.679717155396122e-14,-6.971864606367453e-16,-9.85096637966393e-13,2.256114426562503e-15,-9.061376820829713e-13,1.693578525846527e-14,-7.719323545527736e-15,-6.13182950162101e-16,-2.533108251445695e-14,-7.394526350562662e-11,-1.010923684548588e-12,7.149035839978969e-14,2.000175804600849e-15,-4.182882057055694e-13,3.627981428034046e-18,-1.507346897263861e-13,2.937040624776766e-17,1.11095113126558e-14,-2.099114942562886e-14,-8.851743771048363e-13,-3.925400349929159e-14,9.208407849689322e-15,9.50367619273439e-15,-2.201216245375822e-17,-1.848649231429636e-11,1.362410375370591e-14,-5.091659730449375e-19,-1.116641203492031e-17,-1.188886768156453e-17,-6.387926656856783e-14,7.974372851969044e-18,6.331303922738491e-15,-3.143471099451444e-13,-3.970996577492698e-13,-4.249705556582107e-14,4.397548999724278e-12,-2.255122511966939e-13,-2.607372271063771e-16,-3.318991175576474e-14,1.663701028251072e-14,-4.55604868049189e-18,2.49470799477383e-14,5.315366159198038e-15,3.525403683411925e-14,-8.340721465959958e-14,4.153040953102905e-16,2.699638659501585e-13,-8.436824042935783e-12,-1.724517368049646e-16,-1.192223672363605e-16,1.634733850510146e-15,5.453148385017518e-16,-1.719283318816857e-21,-2.491457002441638e-13,3.690089250750476e-15,-4.799874184074638e-15,-1.457763998775457e-15,-4.093857602307061e-14,1.384960386020729e-13,1.160613656701056e-14,-6.20424598478498e-13,1.084938280090802e-17,-1.343331119537227e-14,-4.949807645890611e-14,-4.041021027302691e-14,-4.391803299688519e-15,1.255467746928105e-13,-1.303238332037896e-14,-1.203764301337027e-15,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1663'}),-3.00184498082461e-13,-5.312163998920569e-18,-3.180186183695367e-13,-2.618985285924996e-13,-1.345063386290309e-15,0.0,-1.212637946517082e-19,-5.963602408302989e-14,-1.150441217841994e-18,-6.721309461734667e-13,-5.814768771946036e-14,9.702067541029209e-19,8.296482686125946e-15,-1.548136673142268e-17,-3.70900921800131e-14,4.162467497047356e-19,-2.294053280052626e-13,1.969713646501606e-15,-3.475886401087603e-11,3.088633222047719e-13,2.859562046899569e-16,-1.530860392458894e-16,1.177109172331484e-14,-1.654346582825109e-13,-2.386333288134585e-15,-1.192268244784388e-34,-7.780461252487846e-15,-2.975585681773982e-15,1.046839524335529e-14,2.132719684265613e-13,-1.932604588775346e-18,-6.795789335798417e-15,8.350162365741183e-20,-3.601102195432915e-19,1.698619451852355e-15,-7.906670768419509e-20,-1.872412162657153e-14,2.596440896070677e-14,-1.380174177823148e-17,-1.542467581032496e-17,1.37733784756687e-19,-2.796405716876096e-14,-1.602269468401877e-17,5.506753899800658e-19,1.536013445017802e-17,-8.778539736843803e-17,3.795374976501885e-14,-4.559997761795057e-13,2.311012072821827e-17,-1.130055222794479e-13,2.590107350121787e-12,-8.524997162213547e-18,-6.672181842096149e-14,8.205236812611923e-15,2.825317634375303e-18,3.335620062705885e-18,-2.716430189013022e-17,1.291486977140347e-13,1.304012067533086e-13,1.082381444353535e-13,5.838688573184536e-12,-1.002584443197584e-14,-8.15730642679635e-16,2.619568082600034e-14,-6.822748580783245e-14,-2.17860219969699e-17,-2.765588045419578e-15,-7.891216636967495e-17,-1.042671683167364e-14,6.88891602727718e-14,1.281956422841286e-14,1.744531856467936e-29,-1.036961657890154e-14,4.666795702571127e-17,-1.201332395045081e-14,-1.22657448547164e-14,4.763096659819206e-13,7.195353341560224e-18,1.178047349642415e-14,5.349491867229679e-17,6.083378402868471e-19,7.49261698572589e-14,-2.756911922936938e-17,5.800857748023939e-14,-2.000273614858822e-11,7.649903495732773e-15,2.564076907895711e-16,,,,,,,,,,,,,
