ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
frozenset({'223283.9.peg.1'}),1.346505785753764e-14,0.0,-3.064480730447088e-14,-1.579442237659913e-14,-2.71781542702161e-14,1.665793525089648e-14,2.485975377288869e-14,-1.252508341080761e-13,-4.156697753860799e-13,5.99827342333708e-13,-4.096744791521773e-13,4.692371035089354e-13,1.278077046804926e-13,1.251245083224268e-13,-8.35901990397793e-13,-2.728508378842916e-12,-3.328952263502334e-15,-1.157238788384062e-12,-2.212724507285226e-14,-6.656379319014356e-14,5.243519426863639e-13,1.226074070298278e-14,-1.350345814153297e-13,1.35990187529724e-13,5.399763995374982e-14,9.241402543007019e-14,3.699999231670971e-14,-2.725540299833889e-12,-3.44581754409535e-13,-1.949357994985063e-15,-6.000150537127166e-14,6.529787820371421e-15,2.964154268415694e-14,-1.225186622389886e-13,-1.367732961873721e-13,-9.087042278754792e-16,-4.544509143176325e-12,5.406114428220793e-14,-8.121134889865223e-14,-2.495467550176241e-13,2.539860242083417e-12,-3.898365235369191e-13,1.141060686218859e-14,-8.786319472936954e-15,-2.979091630836808e-15,-3.194215915960915e-14,2.755159896570897e-14,-2.681237037812474e-13,3.731383656425701e-12,-8.141956820141935e-15,1.263280044718184e-14,-2.0003541728093e-14,-5.57634702572202e-14,-4.716035985904768e-13,-5.475030556213631e-14,1.222327998605453e-13,5.651782487145148e-14,-7.281824078574656e-14,2.801408156592954e-13,4.871810714388113e-12,1.500639049108698e-12,1.083704438519011e-12,1.336977207108988e-13,-1.32451983689573e-12,3.53101306596627e-12,-3.776674132398388e-14,-3.544613041867259e-15,2.813165640811911e-14,-3.437714075186843e-14,-3.572659643555317e-14,-1.852263916395569e-14,7.655932373572443e-14,2.275541473337567e-13,-9.688705338788373e-13,1.385116986317443e-12,4.236343056978222e-14,1.316333874825293e-13,-3.757247230085062e-17,4.209049105428197e-15,3.981651890139335e-14,5.51093431946846e-14,6.122026495917403e-16,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1290'}),7.496523201512527e-14,1.900086924567138e-12,2.975729992736417e-14,-4.89342689192884e-14,1.265952781777705e-13,-2.389406290656255e-13,1.31059663112554e-13,-7.687306801003379e-14,-2.465635204480936e-14,-2.552058900256154e-14,-2.838376733224092e-13,3.086380581481442e-15,-1.202913040067824e-13,9.25326763296227e-13,5.571364955800541e-15,2.355995641158975e-13,-1.003308538353695e-13,-4.198038970377418e-14,1.137685519882573e-15,-2.025323768168953e-14,-2.390651672626606e-13,2.315181092683153e-14,2.502407786256459e-14,-4.672429307768892e-15,2.416552612931889e-13,-6.165763362957115e-14,4.244520856784573e-14,4.567099095973184e-13,7.736888995235788e-14,4.414523457622203e-13,8.288677689046177e-15,0.0,1.997514243231404e-13,-1.628117319050177e-14,2.993216228642911e-12,1.212377232306144e-15,-4.788213514830379e-14,5.113636668763688e-15,4.167600058705289e-14,2.120232501864429e-14,8.690011772645047e-13,2.115623267342706e-13,5.420950686657831e-14,2.046270641166628e-14,1.440294511766667e-13,-3.808509176853577e-12,3.189601773588882e-13,2.152557016113425e-13,-9.317235925013479e-13,7.781432117664243e-14,-3.330877954936004e-14,4.730990867007649e-13,1.526899843642677e-13,4.003433243852965e-14,1.069925414376024e-13,-1.8812141684251e-14,2.3672287348291e-13,9.529601758381204e-15,6.86199534755637e-14,4.710201107526777e-12,4.548380911948698e-14,1.199212082884623e-13,2.704015922415616e-15,-1.221639934846929e-14,3.206900854894613e-14,-1.662171225524297e-12,7.344679000229262e-13,7.866441360528494e-13,9.824318481903598e-13,-3.856377590534657e-13,-9.544558203849704e-15,-9.233583172691377e-14,1.002965239471784e-13,-1.903692691350899e-14,2.28185588366206e-14,-1.358427528235891e-13,-5.682034844484661e-14,-1.884415318721376e-13,-1.435006900769274e-14,-6.282533132284471e-17,-1.089965896978643e-14,-4.472605506016821e-14,-2.132034090685204e-12,-1.888515327762876e-13,1.842952188105249e-15,-4.844426187783841e-17,1.992477706237281e-14,3.258122357856492e-15,,,,,,,,,,
frozenset({'223283.9.peg.1455'}),48.92606614460729,80.92338797851345,51.99998926063244,81.85493941180701,70.00205855653779,70.8431238245922,44.81150080269092,71.97855162272863,71.67536531827474,85.91192990767166,77.48401506447324,67.65152941375659,58.13671893828353,45.25343837264229,101.6202673722603,90.21231208100238,96.48107325889933,58.69944572807091,43.21440526369049,47.24250081416806,45.4324348487288,92.31418946905582,61.07090965924213,46.20358489973006,87.38163574349339,109.3619155651668,16.1971461992907,74.63062039796388,40.50260142726018,80.63455118813704,62.12814075572277,49.93532522397657,72.61547404406355,43.32248445629338,64.73512156538845,79.22774173577774,36.85134581652993,79.57702008906038,87.87311662180875,63.22461342495956,9.559138751779583,47.08108735716824,44.92499250550386,64.98805431544257,20.57443314695137,82.2792719859378,100.8457717655289,31.90913762925572,44.89412613349003,58.92421414810004,44.59441943673943,48.41019581285307,86.62747638261547,69.06132207165054,84.40295211875603,70.3902138544137,72.38445983986286,38.38323798020522,44.89027956713799,17.91575869805997,71.91430701824252,86.41537637865193,51.9519776644072,58.86768303475895,46.20525955153369,68.42101663767238,77.35115817027727,24.76432935593818,48.41456020791679,40.65521098792293,49.15780943780069,61.72557338522459,60.99664576939102,64.5229343094754,84.82306655509241,41.88810771427109,83.87508386096246,59.51280123341434,82.95754926184875,73.82439631100827,97.79719716199823,58.56939869785772,54.09651501562458,52.06765507709007,93.89697484251094,9.343583197221607,54.79652603890946,65.24680221923819,0.3832612924184954,18.68436972429225,36.01358840893252,87.32422608529798,107.0178279773493,3.338780615950275,0.383261292418442,44.69183450105056,48.58217565628338,0.3826841902317716
frozenset({'223283.9.peg.1494'}),2.483589992816163e-13,-1.029482514447573e-13,-9.718575903061251e-14,-1.332468825142369e-14,-1.798247671956409e-12,2.670354626085437e-14,-1.064071481113615e-14,1.312426861140717e-14,0.0,-2.667032751328042e-14,4.578164081497279e-14,-1.178820770504871e-13,3.789923032919792e-14,2.715508638916191e-13,1.010081038057818e-13,-6.302927422457184e-15,7.075680485831176e-15,-1.539131347924749e-14,3.055187784984008e-14,-5.704984145860801e-14,-9.28310227199068e-13,-4.003964734472039e-15,2.049531182098602e-13,-7.469589916981748e-14,4.917207684476367e-14,-6.94235813270724e-14,-1.07222810820468e-13,5.358446667938523e-14,-2.315904057088582e-14,-1.951055989318421e-14,8.703370003374089e-14,-2.774590456512456e-14,-7.545007991782591e-14,-1.464097041454903e-13,-3.758021954007895e-13,-1.271467004565048e-13,-3.183594614063322e-16,5.695138638070922e-14,-5.913576551237618e-14,-1.977893830444349e-13,8.136253363641846e-15,7.551241996713915e-14,2.048657834790696e-14,-9.330480284327559e-18,1.242037362201545e-13,9.709298715993491e-14,-1.349963336055365e-14,5.167788474484764e-14,8.342906419666744e-12,-8.690804228721181e-16,-1.307562110911503e-14,9.131118424368645e-12,-4.058124651542687e-14,1.110564069538986e-14,-2.820380068260041e-14,1.893226665672864e-14,3.238333443673614e-14,-4.694321611848871e-13,1.221746824333968e-13,3.962338822630115e-13,1.727562266446774e-11,-4.170763498544724e-13,3.201755943694228e-14,4.854706065321197e-12,-4.206773354888844e-15,1.536352234135368e-14,-1.894344345479539e-13,5.324554191738559e-10,-5.230540905752834e-14,-5.61545661631075e-13,-9.433104766253005e-14,-5.148899421931447e-14,-2.211219178357077e-13,-3.592759621433479e-13,6.038658244446491e-14,6.421048142025718e-14,2.558192804486663e-14,-4.665789629389582e-15,-7.945085257529133e-15,-5.874769359488553e-14,-4.297973387035568e-14,4.601388239072394e-17,-6.260497358597714e-12,1.383668519143809e-14,-1.126180049668274e-13,2.272132834650307e-16,-8.145054074556634e-12,-1.733610548640941e-14,-1.441052979828622e-14,5.209724881765705e-17,,,,,,,,
frozenset({'223283.9.peg.1497'}),-5.969786573828904e-14,-7.893193070692749e-15,-7.039712528338488e-13,1.065322394172482e-13,-9.315075576134536e-14,-2.725756982241443e-13,-1.29575674808853e-13,-3.294411981235819e-14,-2.076596429104518e-13,-3.547212220266731e-12,2.150862685555941e-13,-9.963263917929275e-14,1.739523622204516e-14,-5.386388494087223e-14,-2.740074611456263e-15,0.0,2.315507461332565e-13,1.714658381851995e-13,7.00536056035027e-31,4.686748849734241e-13,6.106831810529874e-15,1.477071500352597e-14,1.516003235533309e-14,-4.248783259890251e-14,1.369028101207076e-13,-5.77975316612291e-15,6.218631299285888e-14,-5.001503934540604e-14,-1.675589741275792e-13,-2.434123040915913e-13,-5.958097679290147e-15,-4.269919379848912e-14,-8.426738429509877e-17,-2.207716374940447e-12,-1.453913872559125e-14,-1.506420392651431e-13,1.333545262889755e-14,-1.481019472128064e-13,1.210989384411935e-13,3.699725973901991e-13,9.225405634995126e-14,4.626593830299017e-14,-1.279556432943738e-14,1.398324835356987e-13,-3.044239250571424e-13,-3.695347225126885e-14,-4.632765083035964e-13,8.946979669340588e-13,7.49894529954327e-14,-2.152493060441222e-14,-6.824931031359053e-14,5.789917865017758e-14,-7.061933841045412e-14,-1.447311706582283e-12,1.409891304412144e-14,-3.223548195278613e-14,-1.975852896688479e-14,1.181396229344492e-14,-1.373811093007763e-12,2.356017155293468e-14,-2.039936126798575e-14,1.342617288786649e-14,-2.121719981811422e-13,8.44620643924295e-14,2.240820413963984e-14,-6.962517833123321e-14,-1.880985729339704e-13,-1.307812312857043e-13,-1.678794833629266e-13,-3.073946453313204e-13,-6.564159780532746e-14,1.016617678992489e-13,-1.541358787860846e-14,-8.814676560509522e-15,-8.706499443891267e-16,-4.112021604049437e-14,-2.365514175177993e-14,-1.483579261246896e-15,1.654017343057169e-11,2.309720832048339e-14,-1.554271850086388e-13,-3.117684773735345e-13,5.728567103481723e-15,3.844646795651108e-14,-6.512922377553635e-14,-1.34891907075309e-15,,,,,,,,,,,,
frozenset({'223283.9.peg.1522'}),-8.996954145570557e-12,-9.131768765370934e-13,-1.309185070952968e-12,2.510612428178883e-14,-6.304272993291916e-12,-5.570528108961941e-13,-9.007350258291259e-11,-1.230889489830743e-14,2.663573720351933e-14,-6.620719352680688e-14,7.080648787096122e-16,-5.040952873053589e-14,0.0,-2.465137602159788e-13,-5.382884482000093e-14,5.567442665745337e-17,1.016814613311819e-14,-6.370715965707026e-14,-2.249253496297473e-13,4.296671787079395e-15,-1.266314030571109e-14,-3.213154828558226e-12,1.867556609339417e-13,-3.905096555351058e-09,-3.516312027513643e-14,-9.842112277418434e-15,-4.808317006177245e-14,4.800363524125446e-11,-1.381601915865691e-14,-3.828348816389277e-14,7.43430606013065e-14,-2.087769554290021e-14,-7.941865620270522e-14,-1.293689474681603e-13,-1.8690105568263e-13,2.479360470694835e-12,2.765600326595987e-14,2.200260241571046e-12,-6.186144058304074e-15,6.660099145325927e-14,7.520473694633385e-15,-3.468018416754202e-14,9.268507691665184e-14,1.951088280597978e-14,5.865504307401902e-14,-6.314138181923083e-11,2.732771594399911e-13,-9.366869411132085e-10,-8.86567034381247e-14,3.972210456682879e-13,4.484378298616398e-11,-3.485035564448502e-14,-8.941247431564876e-15,-3.005730523288625e-14,8.546327428080076e-14,2.158642873750283e-11,1.268927225256366e-14,5.982563793346151e-14,3.055522464534076e-13,-6.441125099307602e-15,5.829790508382553e-12,-7.91811397646894e-12,-2.886506315098454e-14,1.78905800707531e-30,-5.257598594036852e-15,1.692299662915402e-14,-5.967156015091541e-14,7.073049293548545e-11,1.699004742474637e-13,7.169697154841852e-15,-2.922270799208717e-15,2.028176665566594e-12,8.72753789269341e-12,-9.092553033872634e-14,2.028787430160634e-13,-1.95525438015693e-14,-1.74751115249856e-13,-1.062007130380132e-11,-2.964074786294832e-14,-2.848794662907074e-14,-5.472807586153354e-14,6.347653570112192e-14,4.057351111323604e-15,3.827117666858645e-16,-2.54793733541791e-15,2.04450830510943e-13,-5.851883577697738e-14,,,,,,,,,,,
frozenset({'223283.9.peg.1560'}),1.069848314328961e-13,8.797978475518043e-14,-2.560543471052154e-13,-1.467007630484429e-13,1.314175753721834e-13,-7.761561350068962e-14,2.759611802601734e-14,3.233214107477432e-14,-1.276781461465937e-13,-1.336892693540857e-13,0.0,-2.299782816922736e-13,1.007471374846225e-13,1.430200303212578e-14,-1.890271355573868e-14,1.074742611351508e-13,4.330118783864212e-15,-3.478962202234593e-14,1.412637738440759e-13,5.034492756946725e-14,-1.233788813044814e-13,6.919926095441031e-14,2.69498820576034e-14,-2.539203318721204e-14,3.012409329857186e-13,-8.50159447395367e-14,1.29742269617317e-13,5.453426055973866e-15,-2.950478070710392e-14,-3.349710838932361e-13,4.27982421697176e-14,3.871938861247846e-14,1.344102054176999e-14,-7.445064650598426e-14,-7.300629414569993e-14,-4.734257697505365e-13,-1.939575993604653e-13,-1.591577451552464e-15,-1.362879552066168e-12,-7.785874510746657e-13,-1.703042321196555e-13,2.272007435045634e-13,5.606945241983803e-14,-4.685260433943923e-13,-3.338489217548165e-13,-6.918138031204521e-14,-5.867122538338205e-14,7.857484650454656e-15,-4.020513457867682e-14,1.876924736948676e-13,2.724494634526598e-14,-8.25746540959178e-15,-3.036763986745733e-13,1.578239269436337e-13,-1.726564707811544e-13,3.13639211031502e-14,-5.188902814659415e-15,-7.386225919327064e-14,8.367181338976515e-14,8.059571710001231e-15,-1.031680920443612e-13,-3.581475680697471e-14,-1.306451577245046e-13,-2.779121461971856e-14,-7.178288394289587e-14,2.207932422052093e-14,8.513958154545041e-14,1.266189278583583e-13,4.689401665447064e-14,6.969146137721903e-14,-8.194441683497957e-14,-6.917972897789573e-14,-2.79216128625921e-14,1.434212443163406e-13,7.356885415761583e-15,-4.289290563864418e-14,8.354096921891526e-15,2.037933395018625e-14,-5.915642054734822e-14,-1.608855373401954e-15,-1.666631986225179e-14,-1.220603691508449e-13,-1.919252650591477e-13,4.964263048530398e-14,-1.634874548659823e-15,-5.655157901846618e-16,-2.827462213643829e-13,,,,,,,,,,,
frozenset({'223283.9.peg.1575'}),-7.691414094531883e-14,0.0,3.866222030908971e-14,5.044946900839959e-13,5.145321736688831e-13,5.382800690413841e-14,2.28020336685986e-15,1.232091444535849e-14,3.068008194158357e-13,-4.862117865362957e-16,-1.044893712668285e-15,-8.703014957897324e-14,-2.932216019135279e-14,-2.306524066553621e-16,-6.3839922328642e-14,2.67443157546573e-13,5.261988015280924e-13,-1.214033291752827e-14,-1.64190583877082e-13,-2.396605321598116e-13,7.913116160068326e-13,-2.132822795272321e-14,4.619529717736911e-15,-7.961767162563568e-14,1.621234834094047e-15,4.75696027987442e-13,-1.708217958433806e-16,-4.123530853948127e-13,-4.559640779380984e-14,1.370525009867982e-13,-1.102766681256793e-13,2.153640275299477e-14,3.245250628449894e-31,1.932840369267615e-13,-5.797871775806562e-15,3.434948552255364e-13,1.068118489894634e-14,2.928664579219164e-13,-7.100551740913793e-16,-6.399901555112146e-16,-4.477363159871016e-13,1.762065817866941e-14,-1.051665388809965e-14,4.803886814855392e-14,-2.841199889217414e-14,4.053827064497648e-14,9.82914164708123e-14,-9.639553177533259e-15,5.195520250708866e-13,7.828002458650063e-15,4.780113440469635e-15,4.930497536710962e-28,1.335023879548727e-13,8.614721585847356e-14,-3.055555698594872e-13,-3.100034860349859e-13,-1.34401681372373e-14,-2.141012734280303e-13,2.661778161341068e-13,8.079582145682831e-29,-7.326824038219605e-14,5.93665405466204e-13,-2.440772165756326e-13,-1.94307848289771e-14,-1.092505713275341e-13,1.054241354454591e-13,2.09971987122736e-14,1.959597612776815e-28,-1.936469162541203e-14,2.568566645681322e-13,3.544998357057837e-13,-1.64397323951071e-13,7.397976333566422e-14,-2.711006924244309e-13,-1.952167575308518e-13,-3.594932600754785e-14,-2.76605341349887e-13,-8.869711524503186e-14,6.980564150843837e-15,3.747994134482428e-14,-2.174733512061029e-13,-6.342763021256271e-14,-6.255844360571422e-13,6.602674514905763e-15,9.290556743603382e-13,-7.330698277431008e-14,-7.190095921181953e-14,4.336815582448466e-14,-8.933798860104483e-15,9.010753232682966e-14,4.159261046927913e-13,,,,,,,
frozenset({'223283.9.peg.1577'}),4.091796806725997e-13,1.183046154850428e-12,-1.835607303415164e-13,9.205113549720557e-14,2.209928965317737e-13,-3.438627045118987e-13,-7.095410288950316e-14,1.8154406160759e-13,-1.389121515942684e-13,1.853655710800766e-13,7.722497245316582e-14,-6.003245393716651e-15,-2.899206037007527e-14,-5.03024954728074e-14,0.0,-9.265581055104063e-15,1.757048069483024e-11,2.538591552126517e-14,-3.62824542721987e-14,-2.937187111578912e-12,4.419703645851361e-14,-2.232188053457864e-11,-1.33633829016288e-13,-2.735475049230151e-13,-2.285519158393954e-13,2.921364873719194e-14,8.090499016674152e-14,1.597070999554283e-14,-2.158619590875197e-13,9.934063026057904e-14,8.844782954520983e-14,-4.393822348864148e-14,-1.436486216764657e-13,-3.093895862751045e-14,4.818776046164451e-14,1.346847221849242e-13,7.407158598706865e-13,8.27832810463286e-14,5.617550004935626e-14,-1.256399240876391e-14,-5.317688055672263e-27,8.878956790552811e-15,-1.21793378896633e-13,6.396864291723087e-16,2.65876369093722e-13,-5.604837767565837e-14,2.42988289141037e-12,1.75457806553434e-11,-2.602301696991245e-14,-2.784595405329683e-13,7.942900427511321e-14,-3.820187121214687e-15,-2.969772318528415e-13,2.757872338961174e-13,1.723719138343725e-13,6.332031975344208e-13,-1.424724117869973e-13,-4.760856688811158e-14,1.259738991322126e-14,-5.135209499785498e-14,-2.047665293762377e-14,-8.503043771998886e-14,-1.030633563501159e-13,-3.509632582741105e-14,2.308499235591821e-11,2.156604369812544e-13,5.012270033390788e-13,-4.341481929174147e-13,2.77534167590184e-14,5.812319098001875e-13,-1.124168317838528e-13,-7.768411495826267e-14,-1.217559628720575e-13,-8.949331060822567e-15,-9.570614378312199e-17,-2.041613748807551e-14,-7.376480255006957e-14,-6.217173350790374e-12,2.62610133957979e-14,-1.555720197274278e-14,4.595627137471724e-14,-2.632366018299944e-11,3.345565113198432e-13,-2.194644557841791e-14,-8.874614588563702e-14,-2.416140560435794e-16,-3.074334170562672e-14,-7.437896163184735e-15,-3.499668221375844e-27,,,,,,,,,
frozenset({'223283.9.peg.1663'}),1.508734000455372e-14,1.009329652108589e-13,-2.765184847341385e-14,4.171107044592877e-14,-1.279866096923676e-13,7.236211062075531e-15,-5.831445678675492e-14,-1.102520461795657e-13,1.136505380298344e-13,-2.654733749062504e-14,1.043230710210493e-13,1.09939651941998e-13,-1.072706233692785e-13,3.80683999056988e-14,-3.010680673455198e-14,-8.388966325685319e-14,0.0,1.125845881131746e-14,1.001218611723308e-14,9.43386172543594e-14,1.236364023103375e-13,1.011405840245942e-13,8.288218706466657e-13,-1.631286590529593e-14,-7.99502306111804e-14,-1.177144518723814e-13,2.641346930222675e-14,1.933010610290912e-13,6.30488125477867e-14,-2.216834933721833e-14,2.163415143832144e-14,1.077904499031723e-14,1.116658586268212e-14,2.143774982394001e-14,-5.626316836649748e-14,8.247219418424658e-14,1.550158027641926e-13,-5.428839492390976e-14,1.983886554153816e-15,-5.947082309973608e-14,9.391331410310557e-14,-9.863213092804644e-15,3.694197979051892e-13,-3.011884702406912e-14,-2.902407174973678e-11,-2.195245549319171e-14,6.157017022972026e-14,1.906989430156947e-14,-2.032358882092638e-13,-6.068728667903141e-13,3.390781281907534e-13,-1.734675998409504e-13,-2.314942060243005e-14,-6.535976872491776e-15,-9.334793521035359e-15,2.381687106643213e-14,3.47357754204899e-13,-6.776380511952104e-14,4.563175115028402e-15,-1.608208746218412e-13,5.229884493858349e-14,6.677294828660457e-15,6.666948491584541e-14,1.733357795170168e-14,8.878066082663808e-15,-2.104070970523926e-14,5.909365336558822e-15,-1.789451610830938e-13,6.040463766103003e-15,-2.33082562037326e-13,1.112185012031352e-13,-2.344750593075171e-14,-8.84249941280118e-14,-1.863417155295939e-13,-3.829668256059471e-14,6.066291881152859e-16,-5.835984095639788e-14,3.163002944249444e-14,1.543382031795864e-27,-3.485203034152807e-14,-1.184311730723752e-13,3.191857164004632e-14,-6.98858459917048e-15,-2.907762648729396e-14,-3.823428870368359e-14,4.803290972352965e-14,-9.829726552477552e-14,,,,,,,,,,,
