ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
frozenset({'223283.9.peg.1570'}),-2.278323777093409e-13,-2.790675241212588e-13,2.097244052467694e-12,-8.102773200185338e-14,-3.267017971799508e-13,6.5469273491828e-14,5.138638572247817e-13,6.271166882007765e-14,0.0,-3.24056090628166e-13,-1.226324655782127e-12,-3.283882216759252e-12,2.564597272153837e-13,-3.763723415447379e-15,-4.677041285215916e-14,-5.711591677682091e-14,-3.510127422554825e-13,8.929371392941286e-14,1.34286149990778e-13,2.035860409140807e-14,-2.131289589994169e-14,-1.236704673188225e-13,-1.534980149130078e-13,-1.174930775070496e-12,4.579910190625265e-13,-1.258091395897371e-13,-1.499691212825271e-14,-1.286761079670564e-13,1.926152001779258e-13,3.747860083616648e-14,3.615441676018457e-14,1.811668527022114e-13,-2.539421712097184e-13,-3.933581701516092e-14,2.822707616921662e-12,2.468534460486715e-14,-8.197545606810885e-13,1.500224038989353e-13,4.792097551231275e-13,-4.830454370861824e-14,6.430640128218543e-13,-2.744799105133023e-13,4.169550179063131e-14,2.455312036069658e-13,-2.620659666495934e-14,-8.259658270908277e-12,-9.754309605424074e-13,4.761042805383948e-14,-1.336165082187387e-13,-3.513321078638943e-13,-4.315173128409909e-14,-1.032379097193639e-13,7.129053819718019e-13,6.707091285919192e-14,-1.789684603100288e-14,2.192718364139498e-12,4.89980418612597e-13,-1.25810075322001e-13,-2.763746099063058e-14,5.382942367074321e-14,7.852184141144441e-13,2.517261680250627e-14,7.555919045571547e-14,7.1514664604672e-14,1.469167503383687e-13,-2.624131653958285e-13,-7.517194758185849e-13,-9.796976771894276e-14,-1.565939927123698e-13,-8.309144975291504e-14,-1.147871444144207e-13,-7.315924032767227e-13,1.106614274696622e-13,6.227518903185867e-13,-9.913498760113456e-13,-1.120876662981989e-13,-4.003791416548111e-14,-3.276602475545267e-13,-4.311481983932036e-12,7.321892336459474e-12,3.849696268359418e-13,2.556256957639238e-14,8.024579198862914e-14,9.028188461204281e-15,2.610984587773481e-13,-1.059595734574421e-13,-4.065085971408922e-13,-4.60300816578034e-13,5.025337669148602e-13,-1.201622842380039e-13,-2.733006131935028e-14,-1.175988561200769e-13,9.586929020645745e-14,1.38811806933652e-14,8.123656344455832e-14,,,,
frozenset({'223283.9.peg.3813'}),2.195094902947681e-13,-1.559245209657982e-13,-1.567119237317561e-12,2.584272694283906e-13,1.62317726864409e-13,-7.174462065758659e-13,2.095426365616513e-13,-3.571705805274476e-13,6.004914812111627e-13,-1.324080099583105e-13,-2.11813688113717e-13,-4.669749350159954e-13,-4.758649326488006e-13,9.25331277540536e-13,4.022135742383474e-13,-3.910139514411539e-14,-6.46993056554032e-13,2.79303520236909e-14,4.572571085017928e-13,-7.415394996411289e-14,-1.450692311508064e-13,-8.764238320069902e-14,0.0,1.051705853734152e-13,-2.06276256714172e-13,-1.648942256710805e-13,-5.251388759522039e-15,8.269577673984121e-15,-3.822088669791871e-14,-7.850912959659955e-13,-6.255806272914113e-14,-1.421908064157487e-13,1.367728348428643e-13,2.317093273081739e-13,4.449069434390806e-14,-4.231408364851459e-13,2.637419720233631e-14,-6.825263026861327e-14,-2.056917330558333e-14,-2.24785099234074e-13,-8.902296742758752e-14,1.419429514516437e-13,1.679954743580822e-13,-5.420375002187173e-13,6.193612421830207e-14,-7.631723374089488e-14,2.024532320686948e-14,1.650377387204898e-14,1.134660957255498e-13,6.680714024939072e-14,-6.946151213691236e-13,-4.365211048860923e-13,-1.615204477132788e-14,-4.659104462485951e-13,-4.784872592363334e-12,3.192928253254976e-14,1.044719152636796e-13,5.761340915837755e-14,-1.955999149850777e-13,2.23919108463651e-13,3.085193018675641e-15,1.118114759893211e-13,1.428180243040424e-13,5.29873267996988e-13,1.46285538242519e-14,-3.927738853258549e-14,-5.005751357665442e-14,2.866157145229438e-13,5.4721967112746e-13,-3.545973436483467e-14,1.714664337913411e-14,9.556868414490761e-15,-1.018814104129489e-13,2.221268118904273e-13,6.130825131739844e-14,-1.119213025899527e-13,-2.18690798020782e-15,-1.028579710497782e-14,2.224868765757534e-12,-1.140455544054119e-13,2.336788382016855e-13,5.778379212167107e-14,3.522843733869532e-14,4.589966887354452e-16,-9.58985548488033e-14,6.903343987859729e-13,-6.229556478016638e-13,7.199178318778861e-14,1.515417206811647e-13,-1.295553858125928e-13,-9.164400118226258e-13,,,,,,,,
frozenset({'223283.9.peg.3927'}),-9.672838175064552e-15,2.46870292962507e-13,0.0,2.885519300186774e-13,-2.000050388359742e-14,1.440318669713564e-13,-4.220166077184825e-13,5.153900568919688e-14,8.187354102699516e-14,7.41843187809777e-14,-1.79765872073304e-13,2.491387550004546e-14,1.024684388311014e-13,-2.374397961768447e-12,-1.747475303860369e-14,-1.120793044134648e-13,9.410678320077881e-15,-5.413642560319941e-14,5.490897101065146e-13,-7.547989357904445e-13,7.661930510290659e-13,-2.003010470091536e-12,-1.123295039441374e-13,-3.620255820520881e-13,1.781304998092395e-14,-1.018182041613219e-13,3.943043809032283e-15,-7.125128115895344e-14,-5.874901124727971e-14,-9.303549964134266e-14,2.777951789353131e-13,1.388604671859783e-13,-5.20173118690566e-13,-4.307005289012245e-13,6.65862466353006e-13,-2.28945742284071e-13,2.791310642572605e-14,-1.03031411403068e-13,1.379791875251192e-14,-4.535371742022772e-14,2.468481061779334e-12,-3.321101785796713e-14,-1.999030092079848e-13,3.376706788753881e-13,-3.895135598913409e-12,-1.091594961964726e-13,2.6988470857331e-14,1.222253431283333e-13,2.056229958112029e-14,3.172773437916902e-14,1.576102372230992e-13,-2.270694356903504e-14,-5.624551654408025e-14,2.502315785024053e-13,1.432335572219308e-13,-1.479590767224652e-13,8.929439998339995e-15,-2.643152218804778e-13,5.200317479183033e-13,2.162722650284045e-13,-2.258195698514082e-13,2.40574473221028e-13,-1.424834645945237e-13,2.286821847241533e-14,8.220760032936262e-14,1.961287844407099e-13,-1.233459238118657e-13,3.558509946275045e-13,-6.27979834781858e-15,-1.328576486783883e-13,2.633232668646365e-14,1.187960329365327e-12,4.620781473134344e-13,-3.954565786978464e-13,2.850705045964149e-13,2.872737885779311e-13,-1.336940045704632e-13,6.949007580146604e-15,-1.032658534601601e-13,1.595664278455516e-11,1.692721598058443e-14,-2.050496774807828e-13,2.48690160457324e-14,-1.154249076246623e-13,-4.782320497439702e-14,3.954073545494744e-13,-6.199194728332151e-14,-7.80901882185393e-14,-8.082739104365896e-14,4.606960210929233e-15,1.128345374014321e-13,6.660582032845607e-13,9.894799058003104e-15,-2.947598100335376e-13,-1.325696142110513e-14,-2.920678781517409e-13,,,
frozenset({'223283.9.peg.3930'}),204.73427367817,204.7342736781735,222.5344100095815,252.2392105892894,204.7342736781717,253.6185471686002,250.7690132235252,244.7763133492533,253.6185471685958,204.0059989440614,252.1121703896552,252.1121703896494,253.6185471685987,252.1121703896577,253.6185471685965,204.0059989440572,204.7342736781748,204.8020135920782,244.7763133492513,252.1121703896478,204.7342736781782,204.734273678179,222.5344100095827,252.3110673931871,204.7342736781764,252.2392105892817,251.8399107352072,204.8020135920796,252.112170389667,251.8399107352074,253.4901141189127,252.112170389632,253.4901141189222,252.0574755165506,252.1121703896524,244.7763133492605,252.1121703896492,204.8020135920867,253.361811081029,253.4901141189181,253.6185471685993,204.7342736781771,204.7342736781688,253.4901141189176,204.0059989440637,253.618547168597,206.154843958121,252.1121703896511,253.6185471686048,252.1121703896598,252.1755674669386,204.7342736781746,252.1121703896589,204.7342736781683,204.7342736781739,204.0732577110986,253.4901141189255,252.1561135549134,253.6185471686009,252.1121703896473,252.1121703896533,204.7342736781738,253.4901141189317,252.1121703896547,252.1121703896574,252.0574755165672,253.4901141189272,204.7342736781702,253.4901141189206,222.5344100095746,204.4439751101347,253.4901141189128,222.5344100095872,245.9853697239482,244.7763133492557,246.2873713656423,252.1121703896549,253.6185471685936,204.7342736781754,253.4901141189182,204.0059989440567,250.767681027328,252.1121703896682,252.1121703896657,252.1121703896528,253.4901141189179,252.1121703896463,253.6185471685952,252.1121703896597,204.7342736781695,252.1121703896605,252.1121703896521,204.0059989440679,253.4901141189258,253.214871832368,,,,
frozenset({'223283.9.peg.5202'}),204.7342736781777,204.7342736752316,222.5344100095739,252.239210589293,204.7342736781717,253.6185471685853,250.7690132235303,244.7763133492552,253.6185471685981,204.0059989440644,252.1121703896834,252.1121703896571,253.6185471685936,252.112170389648,253.6185471685953,204.0059989440624,204.7342736821084,204.8020135920816,244.7763133492551,252.1121703896498,204.7342736781727,204.7342736781697,222.5344100095802,222.5344100095851,252.3110673931866,204.7342736781723,252.2392105892888,251.839910735208,204.8020135920755,252.1121703896519,251.8399107352085,253.4901141189195,252.1121703896555,253.4901141189157,252.0574755165686,252.1121703896605,244.7763133493863,252.1121703896503,204.802013592085,253.361811081027,253.4901141189123,253.6185471685956,204.7342736781781,204.7342736781738,253.4901141189206,204.0059989440676,253.6185471685996,206.1548439581276,252.1121703896569,253.6185471685951,252.1121703896589,252.1755674669373,204.7342736781748,252.1121703896598,204.7342736781724,204.0732577110998,253.4901141189241,252.1121703896675,252.156113554893,253.618547168586,252.1121703896481,252.1121703896578,204.7342736781769,253.4901141189189,252.1121703896493,252.1121703896509,252.057475516556,253.4901141189216,204.7342736781675,253.490114118919,222.5344100095793,204.4439751101335,253.4901141189223,222.5344100095848,245.985369723953,244.7763133492466,246.287371365631,253.6185471687677,252.112170389642,253.6185471685945,204.7342736781667,253.4901141189174,204.0059989440599,250.7676810273241,252.1121703896594,252.1121703896527,252.1121703896507,253.4901141189234,252.1121703896505,253.6185471685942,252.1121703895927,204.7342736781751,252.112170389662,252.1121703896448,204.005998944066,253.490114118915,252.1121703896538,253.214871832359,
frozenset({'PSPTOA0036'}),204.7342736781708,204.7342736781734,222.5344100095807,252.2392105892793,204.7342736781698,253.6185471686037,250.7690132235259,244.7763133492613,253.6185471685933,204.0059989440569,252.1121703896518,252.1121703896496,253.6185471685936,252.1121703896427,253.6185471685932,204.0059989440632,204.734273678171,204.8020135920838,244.7763133492576,252.1121703896566,204.7342736781721,204.7342736781718,222.5344100095731,222.5344100095823,252.311067393192,204.734273678172,252.2392105892889,251.8399107352019,204.8020135920804,252.1121703896636,251.8399107352027,253.4901141189264,252.1121703896439,253.4901141189203,252.057475516557,252.112170389652,244.7763133492684,252.1121703896503,204.8020135920884,253.3618110810324,253.4901141189299,253.6185471685996,204.7342736781774,204.7342736781794,253.4901141189194,204.005998944064,253.6185471686025,206.1548439581252,252.1121703896581,253.6185471686035,252.1121703896478,252.1755674669387,204.7342736781744,252.1121703896573,204.7342736781804,204.073257711101,253.4901141189196,252.1561135548944,253.6185471686052,252.1121703896576,252.1121703896447,204.7342736781735,253.4901141189279,252.1121703896414,252.1121703896552,252.0574755165634,253.490114118928,204.7342736781725,253.4901141189273,222.534410009577,204.4439751101291,253.4901141189244,222.5344100095767,245.9853697239533,244.776313349252,246.2873713656405,253.6185471685949,252.1121703896488,253.6185471685918,204.7342736781755,253.4901141189246,204.0059989440674,250.7676810273168,252.1121703896634,252.1121703896554,252.1121703896571,253.4901141189223,253.6185471685943,252.1121703896621,204.7342736781673,252.1121703896561,252.1121703896468,204.0059989440587,253.4901141189213,252.1121703896642,253.2148718323613,,,
frozenset({'PSPTO_0062'}),204.7342736781695,204.7342736781706,222.5344100095784,252.2392105892851,204.7342736781773,253.6185471685941,250.7690132235258,244.7763133492525,253.6185471685934,204.0059989440585,252.1121703896523,252.1121703896654,253.6185471685935,252.1121703896426,204.0059989440626,204.7342736781763,204.8020135920825,244.7763133492531,252.1121703896433,204.7342736781727,204.7342736781766,222.5344100095783,222.534410009582,252.3110673931993,204.7342736781741,252.2392105892869,251.8399107351954,204.8020135920701,252.1121703896403,251.8399107352146,253.4901141189238,252.112170389651,253.4901141189248,252.0574755165466,252.1121703896665,244.7763133492569,252.1121703896571,204.8020135920828,253.3618110810249,253.4901141189286,253.6185471685869,204.7342736781718,204.7342736781701,253.490114118916,204.005998944064,253.6185471686051,206.1548439581287,252.1121703896478,253.6185471685937,252.1121703896472,252.1755674669343,204.734273678168,252.1121703896475,204.7342736781687,204.7342736781733,204.073257711095,253.4901141189162,252.1121703896519,252.1561135549068,253.6185471685896,252.1121703896517,252.1121703896884,204.734273678173,253.4901141189145,252.1121703896398,252.0574755165744,253.4901141189267,204.7342736781651,253.4901141189327,222.5344100095803,204.4439751101281,253.490114118915,222.5344100095792,245.9853697239496,244.7763133492505,246.2873713656479,253.6185471685969,253.6185471685868,204.7342736781719,253.4901141189219,204.0059989440683,250.7676810273355,252.112170389648,252.1121703896592,252.1121703896467,253.4901141189194,252.112170389647,253.6185471685921,252.112170389642,204.7342736781721,252.112170389656,252.1121703896453,204.0059989440632,253.4901141189221,252.1121703896486,253.2148718323641,,,
frozenset({'PSPTO_0073'}),204.7342736781818,204.7342736781688,222.5344100095781,252.2392105893013,204.7342736781649,253.6185471685963,250.7690132235272,244.7763133492658,253.6185471685993,204.0059989440593,252.1121703896446,252.1121703896541,253.6185471685949,252.1121703896552,253.6185471686087,204.0059989440626,204.7342736781677,204.8020135920831,244.7763133492536,252.1121703896622,204.7342736781766,204.7342736781726,222.534410009577,222.5344100095773,252.3110673931766,204.7342736781797,252.239210589284,251.8399107351991,204.8020135920907,252.1121703896545,251.8399107351995,253.4901141189211,252.1121703896368,253.4901141189276,252.0574755165438,252.1121703896495,244.7763133492657,252.1121703896301,204.8020135920819,253.3618110810247,253.4901141189204,253.6185471685918,204.7342736781686,204.7342736781659,253.4901141189201,204.0059989440564,253.6185471685953,206.1548439581273,252.1121703896506,253.6185471686009,252.1121703896525,252.1755674669305,204.7342736781763,252.112170389663,204.7342736781765,204.0732577110997,253.4901141189282,252.1121703896423,252.1561135549038,253.6185471685973,252.1121703896473,252.1121703896606,253.4901141189098,252.1121703896617,252.0574755165678,253.4901141189175,204.7342736781669,253.490114118928,222.53441000957,204.443975110128,253.4901141189456,222.5344100095822,245.9853697239585,244.7763133492592,246.287371365616,253.6185471686016,252.1121703896519,253.6185471686069,204.7342736781709,253.490114118915,204.0059989440618,250.7676810273281,252.1121703896555,252.1121703896514,253.4901141189212,252.112170389655,253.6185471685977,252.1121703896505,204.7342736781687,252.1121703896307,252.1121703896578,204.0059989440625,253.4901141189179,253.2148718323584,,,,,
frozenset({'PSPTO_0075'}),-3.215919379684044e-11,-7.455006069739878e-11,-3.955880782582746e-11,3.510466755815094e-11,6.395604038095877e-11,1.892184954235798e-10,-3.024617321146147e-11,1.989568019838235e-10,7.180880801949138e-11,3.087590549753175e-11,6.706302738896015e-09,5.703603005961778e-11,-1.940695198517268e-10,3.161119122015774e-11,-2.2629030346142e-11,-8.10271023748856e-11,-3.957162400784373e-12,7.895320371353906e-12,-2.340960476161341e-11,-2.208155366365162e-11,4.420666861054532e-11,-5.702367725215256e-13,1.683713599829736e-10,1.84589607074026e-10,-2.557538947705145e-11,-7.252046509183536e-12,-3.079758651818178e-10,8.847237862018192e-12,-3.471086498858104e-10,-9.406103873147698e-11,-1.835735350385145e-11,8.729908971426191e-11,9.28392932523846e-13,-1.086209067146182e-10,3.457560414882876e-11,-9.846970503148116e-11,4.5899883889151e-11,3.598127041634926e-11,9.879292333894588e-12,-2.618707853727084e-10,3.42438346027238e-11,-7.226571780459817e-11,3.084894018820016e-11,-1.119067045336793e-11,-2.579741669019388e-10,-1.671870767436383e-11,-9.981111443888362e-13,-1.764966307024232e-11,2.9186101070793e-10,3.149327698207622e-11,-9.476163233379408e-11,-7.8368056185306e-11,-1.033449477818582e-11,4.975536912138694e-10,-6.271676892801685e-11,1.495850371725562e-10,-2.524600835573365e-11,3.668658335137797e-11,2.099665280573617e-10,-9.384339731063664e-11,4.789150335015105e-11,5.712171826140365e-11,1.025164917626983e-11,2.155986740231113e-11,-8.602688128901322e-11,1.809029701546479e-11,2.270114931983786e-11,-6.959951715663921e-11,-8.215576708484422e-12,-2.654214259557991e-11,1.24647739996845e-10,-1.962072181769486e-11,-5.923541113377806e-11,1.043535124601108e-10,5.354391522655549e-11,-1.538884762713155e-11,7.692351303987084e-11,2.930725165283349e-10,2.293607248139937e-12,4.812015999842933e-11,-2.660637206208112e-11,-5.811245827126011e-11,8.029214001007424e-11,-2.018970326619158e-11,-1.196778648828748e-11,3.668779699150158e-11,3.344590005440074e-11,3.322224894813504e-10,9.404420964542763e-12,1.519084700593115e-10,-8.210220437992772e-11,-2.272156282057094e-12,3.469914867288099e-11,1.2927698969529e-11,-3.630056917506266e-11,-7.886398676607305e-12,8.593284437101099e-11,3.966757605633269e-11,-6.33741251913249e-11
frozenset({'PSPTO_0080'}),1.864289606052025e-13,1.968135578923955e-12,1.935402681453471e-13,1.455237135419271e-13,7.610779304777192e-12,0.0,-4.686428958761461e-13,-7.280508781790151e-12,-9.687493613688274e-14,-6.66015012938636e-14,8.751085874167955e-14,-4.569817835164699e-12,-6.598619307786435e-14,6.64017676770717e-12,-1.521157617799634e-13,2.907970651980712e-13,-6.766102131925808e-12,-1.113118613449603e-11,2.246583932710285e-13,1.515303861749793e-11,-3.192823013849152e-14,2.600174666489713e-13,4.806394945941449e-13,3.593356560617485e-13,-1.131022916628535e-11,-2.555753643159601e-14,-8.648963050526238e-12,-2.84577394990645e-12,3.350078106419846e-13,-3.862413742888562e-13,1.620126731846883e-11,-5.938041992325924e-12,9.71026322549547e-12,-1.653349382308017e-11,2.138055643833063e-12,-1.553102684011907e-11,-5.985762957028223e-14,3.233005861048582e-12,-7.484868288197687e-12,6.147933282775347e-12,4.204296328873779e-14,2.080658824641076e-13,-9.836171260389965e-14,1.57334311322942e-11,-2.995894315195171e-13,-4.56734496744506e-13,-6.105566319549385e-13,-5.070513286587723e-13,2.176037826053382e-14,2.101368167945628e-12,-5.54056569838322e-12,-3.214629438212973e-14,-3.460420729683848e-12,3.296392220434524e-13,-1.99961603323692e-13,4.694802391923354e-13,5.991899212043497e-12,3.500588391545976e-12,-1.086012342633698e-13,-5.488343705898949e-14,1.537964430541233e-12,2.932722501404225e-12,1.402452684284808e-13,1.397263715137631e-12,1.085096935727916e-11,3.307739584449374e-11,-1.485249635846773e-11,2.685372142486617e-14,8.828346486071788e-14,-5.521402490586503e-14,8.636741989826254e-14,5.741667649477444e-12,3.114367517423554e-15,-2.63401155599046e-14,7.354931898362177e-13,1.107991515754761e-11,-7.621165694781533e-12,-1.566236285789643e-11,6.946899437155834e-12,-1.453180214917414e-11,2.069315126531051e-12,-1.340709172246578e-11,4.169695381917584e-12,5.503829051120691e-12,5.313199027515871e-12,1.961883551401606e-12,1.563921432784216e-11,-6.836616311863938e-12,-2.896644324270658e-13,6.863534472226778e-13,-1.288989402159428e-11,-3.078565570219518e-14,4.086709089967603e-12,7.57794129140576e-12,1.559929448357281e-11,-1.340766652711022e-11,,,
