ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1'}),4.558983207908484e-14,0.0,2.154286885628192e-14,-5.97719856865111e-14,2.905294056666371e-13,2.336197016713758e-13,-1.367154082669404e-13,-5.294176914250889e-14,1.330886674476032e-13,-2.961583060419103e-14,4.648448507066387e-14,-1.669422457822401e-14,1.201647054371975e-13,7.677775356582909e-14,-8.59393816634671e-14,1.003798037096552e-14,-4.988422105382226e-16,-1.386521517433524e-14,-8.384041738471355e-14,-2.800099000832509e-15,2.932777322516145e-14,4.926162369835065e-15,3.182289589691625e-13,-7.10099154830165e-14,-1.703866559956084e-14,6.843596234000107e-14,-5.034152413317521e-14,-5.078655182111961e-15,3.171290488082852e-14,-8.283826354982453e-15,4.809269955228775e-14,4.726847771451473e-15,-2.417560670221543e-14,6.445256905560934e-15,-2.294224659874024e-14,-9.227396978513526e-17,1.376459521153943e-13,9.682073991017562e-14,-1.759759857953398e-13,2.472530891506831e-27,1.138933550946917e-14,6.429019620562752e-14,-1.162952410243412e-18,-2.907210279404172e-15,1.322471588750567e-13,5.816294343274341e-15,1.957964783167418e-13,1.592226899771161e-13,-2.285134540406131e-14,-1.173804123108824e-14,-2.873014924443621e-14,-5.058944645502013e-14,4.942955943729311e-14,6.422675923651913e-14,3.071972021921814e-14,-2.665842400115212e-14,-1.266756707658768e-14,1.302021620955135e-14,7.051677378574207e-15,-7.114891634127321e-13,3.311156743863057e-14,-7.899708694677349e-15,3.492857986557953e-15,-1.402587592444124e-13,-1.270399853670627e-14,8.134628621409821e-14,-2.076039548433349e-13,-7.547338166951706e-14,-9.494844395746746e-14,3.407887966721608e-14,-5.24824007102344e-14,-3.37879197992115e-14,1.255474761305266e-13,8.53576398600331e-15,1.209058075358799e-14,8.777318378164499e-14,-4.43084366981086e-14,2.302206631784523e-14,-8.308058965943547e-14,-2.974611832263811e-14,8.569513768772511e-16,-7.082591225660903e-14,6.038322774269003e-14,2.255777615453738e-13,-4.405008457202781e-27,-1.879971617102366e-32,4.00933144533574e-14,-3.274053523671656e-14,1.374263783264273e-12,2.254431797700284e-14,,,,,,,,,,
frozenset({'223283.9.peg.1290'}),-1.353142918236556e-13,5.765435259240657e-14,1.152303589024006e-14,-1.138282970997232e-15,2.78734065891929e-14,-1.934191740755534e-13,2.00431879524169e-13,-8.329900895448297e-14,-9.331814660636852e-14,4.676808379868221e-14,-3.828499344526743e-14,3.526617887444792e-13,9.588165066432805e-14,0.0,2.402117191713384e-14,-1.548890900931144e-13,-9.31171427181223e-14,4.166001015020279e-14,-1.568312074076536e-14,-1.229186501764235e-13,5.035349164732269e-14,1.174291547731369e-14,4.904296281193111e-14,1.756632802680362e-13,-5.08943705999136e-15,-4.301840114944695e-14,-8.655166867905226e-14,-1.349852682155178e-14,-5.897526725122094e-14,-9.314777996275795e-14,1.222302949236966e-13,3.077107842471177e-14,2.565350903715779e-13,-6.494600361833419e-14,-4.747665906588967e-14,1.666832567339728e-13,-4.106488867581909e-14,3.621576998109446e-14,1.171753961306807e-12,4.507100483365151e-13,1.39096633865713e-14,-2.6111141112921e-14,7.777154311847185e-14,9.863124066600777e-17,-2.565468387974978e-14,9.071062985029177e-15,-6.79653888921153e-15,-1.664014083316386e-14,1.388444552170055e-12,-7.963956473229744e-14,-2.302262433920139e-14,-2.73774286990923e-13,5.552820347694928e-15,4.388182211604476e-14,-1.453693616373618e-13,2.94260980156829e-14,-1.169819412620884e-14,1.204702867332295e-13,5.633545735717447e-14,2.571759336434005e-14,-2.759829662569432e-14,-6.694555379413188e-14,-3.290796542684808e-14,7.888465349636771e-15,-2.164271280357502e-14,4.948077397394091e-14,-8.082498655811216e-14,-6.347590104272819e-14,-4.329092632653802e-14,-2.202718285859893e-14,2.239597118521663e-14,3.123309424501422e-14,-3.691359744986539e-14,-1.447092810604635e-14,1.712255034154944e-14,2.14917933542346e-14,2.230742103172667e-26,1.649518837513485e-14,2.71656971852382e-14,-4.474883715605451e-14,4.657025417293894e-14,-7.293985687605605e-14,4.965945226398358e-14,2.070165471570279e-15,-2.747053392622525e-16,-5.693573879173981e-15,-4.978630141391758e-14,1.409399347207128e-16,,,,,,,,,,,,
frozenset({'223283.9.peg.1455'}),48.92606614460761,80.92338797851373,51.99998926063263,81.85493941180574,70.00205855653908,70.84312382459204,44.81150080268953,71.9785516227285,71.67536531827312,85.91192990767055,77.48401506447374,67.65152941375615,58.13671893828326,45.25343837264174,101.6202673722606,90.21231208099748,96.48107325889919,58.69944572807015,43.21440526368972,47.2425008141676,45.43243484872841,92.3141894690602,61.07090965924283,46.20358489973044,87.38163574349346,109.3619155651664,16.19714619929069,74.6306203979646,40.50260142725961,80.63455118813833,62.12814075572345,49.93532522397212,72.61547404406329,43.32248445629288,64.73512156539299,79.22774173577828,36.85134581653011,79.57702008906158,87.87311662180078,63.22461342495968,9.559138751783815,47.08108735716831,44.92499250550469,64.98805431544254,20.57443314695124,82.27927198593807,100.8457717655292,31.90913762925554,44.89412613348979,58.92421414809628,44.59441943673939,48.41019581285386,86.62747638261405,69.0613220716506,84.40295211875666,70.3902138544135,72.38445983986306,38.38323798023061,44.89027956713876,17.91575869805817,71.91430701824198,86.41537637865254,51.95197766440542,58.86768303475896,46.20525955153379,68.42101663767205,77.35115817027709,24.76432935593816,48.41456020791598,40.65521098792277,49.1578094378006,61.72557338522306,60.99664576938963,64.52293430947529,84.82306655509295,41.88810771427031,56.08498152728802,83.8750838609682,59.51280123341436,82.9575492618484,73.82439631100816,97.797197161998,58.56939869785625,54.0965150156254,52.06765507709013,93.89697484251973,9.343583197274489,54.7965260389069,65.24680221923688,0.3832612924184607,18.68436972429222,36.01358840893283,87.32422608529892,107.0178279773492,3.338780615950612,0.3832612924185579,44.69183450105065,48.58217565628236,0.3826841902336862,84.3639469575048
frozenset({'223283.9.peg.1494'}),-2.03536419931813e-13,-2.504343864097247e-15,8.632217414422638e-13,1.107879248830415e-15,2.487793622932774e-14,5.042213837663028e-13,-8.635381380266875e-16,-3.027867245914583e-14,7.799978658205367e-14,6.661564514424261e-13,-2.045609809176059e-14,-2.885173009001378e-13,-2.198029714588488e-13,-2.918785184101427e-13,-1.617693557619521e-13,8.33102459545021e-13,1.548474487296898e-14,-9.395125792794528e-14,5.744736517959831e-14,-1.511668248215664e-13,1.25386970826305e-14,9.818602929417576e-15,2.7064607524356e-14,8.983870584866031e-13,-2.210200466051912e-14,4.527673266724465e-14,-1.194807726179467e-15,0.0,-8.884512556311885e-13,4.175396871794765e-14,8.715496253790253e-14,-3.488249629233304e-14,7.950191427880148e-12,2.33740541195095e-14,5.439163416405154e-14,2.715195461849431e-14,7.637944484885389e-15,-5.072885320074599e-14,1.503820673128715e-14,-6.165574318312444e-14,-1.162534030820986e-13,9.538634044086891e-14,-9.741245406294066e-14,1.426652170867171e-14,-8.410976588534097e-14,-5.879523648997956e-14,-8.146579164467793e-14,3.39458572922016e-15,7.954393723855576e-12,2.544293928883051e-12,1.538120457054216e-13,-1.975831781855693e-12,-3.744255724214064e-14,-9.085185268220397e-13,-6.778775840655649e-15,-5.888909820370358e-13,5.840063833180575e-14,3.813266665336484e-12,-4.322410507417958e-15,1.357889904462018e-14,1.670407276229159e-13,3.278769854271969e-14,-4.5874898671366e-14,-9.935527454689545e-13,-1.38823369526751e-13,-3.421305321079147e-14,7.340814441933357e-14,1.410257435796206e-14,9.436813733083094e-14,-8.303519952939475e-14,-8.81972061181391e-14,-4.055882281572601e-14,-3.165286773205895e-14,-3.308034686114312e-11,-1.136284990999995e-14,-8.295571573639071e-14,-2.217073707641741e-13,1.663135782809441e-14,-1.642843686601398e-12,4.159807076202513e-13,-1.243977149517978e-12,-1.32042537565089e-13,7.210949606621023e-14,5.004967445945111e-14,3.822898931958474e-13,4.680848661447313e-14,-1.149503527906414e-13,3.644598810515303e-14,8.38681757850388e-16,-7.393252973810102e-14,-7.466983601502202e-16,-3.359519859815357e-14,-1.808576226421413e-12,-2.597126948006664e-13,-9.610550188464292e-13,-1.386047890444215e-14,,,,
frozenset({'223283.9.peg.1497'}),0.0,-1.072539567907844e-12,2.055415446556178e-13,-3.370907001793524e-13,1.389368181570582e-14,-3.551840131313849e-14,1.426448009560944e-14,-3.611700400075298e-14,9.453722743486304e-14,-1.665638150560615e-13,6.785766337836566e-14,5.798412074015054e-15,-2.7082723202355e-14,2.570211561840829e-14,3.638553872168257e-13,-1.540414215542945e-13,2.283587940122309e-14,-1.692991569919304e-13,1.870356752529753e-14,2.339329377133812e-14,7.773143406254813e-13,3.117235541106932e-15,2.686815297581529e-13,-6.880390466451512e-14,-2.685465245771706e-12,-3.061977099974243e-13,-6.99230050504423e-14,3.336921860724521e-13,1.490916661307153e-13,2.622956337706224e-14,7.78277834133592e-15,-6.976242049322516e-14,8.520171279901734e-14,1.372688054305064e-13,7.073195082757982e-14,-6.249119246103745e-13,1.603539359335114e-13,2.090410479169734e-14,-3.962138772829883e-14,-7.557275676635768e-14,-6.533562490434207e-15,-1.098987130756841e-13,-1.541125053359594e-15,-2.905247387752195e-14,-3.170400864093631e-11,-1.195038777178307e-12,-2.483014241667566e-14,-3.563227819337572e-14,-1.137832388625757e-13,-8.183756005340806e-14,6.694447985365486e-15,-1.26459168861062e-12,-3.399257765876459e-13,-1.280227583642868e-10,2.830262660274274e-14,-2.392836816106306e-14,2.352581603278937e-13,6.151051041773564e-13,1.560259878436393e-13,-2.418576779798334e-13,-1.635714590248439e-14,-7.482435761493463e-14,4.027805107830944e-13,-1.283188313141076e-12,-3.836948514919886e-13,-4.455721184772788e-14,-5.408433717485841e-13,-1.108313730304098e-14,2.343032996976844e-15,-3.6827501123596e-14,2.123726180886108e-14,-1.639942627228038e-13,-9.538802303359158e-15,-1.082601190768139e-13,2.704588707277554e-14,2.494540579104539e-13,-1.352474373101606e-14,-3.926299311548845e-14,-1.520217888575545e-14,-7.527848747378318e-15,1.429949540183171e-13,-1.309324859346164e-13,1.333215622992637e-13,2.570618031401282e-14,-3.845296400017874e-15,1.952927765829723e-14,-1.229817604713587e-13,-7.999011138422965e-15,,,,,,,,,,,,
frozenset({'223283.9.peg.1522'}),-4.594054062813075e-13,6.564057567596628e-14,1.626399955718307e-13,2.03991691781142e-14,6.903376062654032e-14,-1.328753215118375e-14,-5.327760196970773e-14,2.038497455536972e-14,-9.406053883703031e-11,-7.700199827275055e-14,-9.253545280892303e-14,-5.673519375854138e-12,-4.058888451810538e-14,2.581528097918615e-13,9.585730964509543e-15,2.888404745874986e-12,0.0,1.999439007859026e-14,8.201070543332103e-14,8.030064990861072e-12,-1.299627431741007e-14,-3.103427450177302e-13,5.531811268213065e-15,5.204609068706262e-15,-1.946180656415175e-14,1.157219637149323e-12,4.13397262012112e-14,9.989000721491758e-15,-1.66426163066198e-13,-1.898218878741214e-15,1.913271734532319e-14,-2.50415016333155e-14,-5.437283498741533e-15,-1.430129620111116e-13,-4.286039785302175e-14,1.122657862763522e-13,9.26564436655918e-13,-4.249754101239223e-14,-7.691892257026168e-13,1.834017478090683e-13,-1.605435248002356e-12,-5.246605713604284e-14,-1.186493217381723e-13,-5.43592399204126e-12,-4.185414110665563e-14,-2.350215706373381e-14,-3.642609438488864e-11,2.912508824806233e-14,-2.450611332536028e-14,-9.603908667026901e-15,3.037150205986005e-14,-1.872431442484663e-13,1.911368883976588e-14,-1.004167197804823e-13,-3.232199422427086e-15,1.237797497620571e-14,-1.582807664936165e-14,1.692192327282775e-11,-9.571347264425223e-14,1.774607750762014e-14,-6.714645649147383e-13,-2.620124844781527e-13,5.815736909352729e-15,-1.742181999800266e-13,-2.082602784083372e-13,3.392581055036325e-13,-8.579027465912857e-14,-1.11667602207382e-13,-1.396581795271331e-14,1.551639222425737e-12,-3.006636934787428e-14,-5.806469343820303e-12,1.34806070788472e-11,1.932030550891697e-15,1.000735596600668e-11,-1.691815171437255e-13,4.740516642970581e-15,9.389305741403442e-15,1.032681917565933e-13,-1.49931834438404e-14,-1.349273270229047e-14,3.033983699956029e-14,8.285187492736721e-13,-6.990145265422725e-15,2.182554561332208e-13,-1.528276900210781e-13,5.773226773960694e-15,-1.113508087415177e-14,-6.269802482535498e-14,4.499618966908144e-14,-2.647573793357975e-15,-3.613398829477067e-13,,,,,,,,
frozenset({'223283.9.peg.1560'}),-1.165456205749536e-13,-1.578326457532312e-14,1.132247008591212e-13,5.193051023652962e-14,-6.987575464597009e-13,-6.867279763541868e-14,9.277145429392793e-14,-6.779760290711725e-14,5.569500626357325e-14,-4.762657137751459e-14,2.514861893970104e-13,1.007165844766073e-14,-6.383802473621293e-15,0.0,-1.247142805070339e-13,-1.526675003458205e-13,6.104448360337106e-14,2.722748388569846e-13,-1.398853583702303e-13,-2.641969787490391e-14,2.28771675977996e-13,6.379498348361184e-14,-2.50237190361326e-14,-6.577239325183669e-15,1.40632770221158e-13,-4.368659190834157e-14,-8.537975597785677e-14,-5.320648289583203e-14,3.006072869076643e-14,1.548775544499144e-13,1.258881850235695e-13,1.890595155322995e-14,5.225525840251168e-14,-9.960877086543038e-14,-4.106488867581909e-14,-2.928928442436474e-14,1.197296281989244e-14,9.899171383616058e-15,5.917275173558471e-15,-3.506060016742057e-14,2.345241236779221e-14,7.436609935802206e-17,-1.633947052670211e-12,1.117358609867932e-13,1.17508614339528e-13,9.669787156391853e-15,-1.743012723261274e-13,5.900286165155552e-14,4.714460559254068e-15,-1.368871434954615e-13,2.303590266834976e-14,1.110564069538986e-14,9.533952608080048e-15,3.786453331345728e-14,8.199122666642715e-15,-9.51580957145209e-15,2.908921010318972e-14,-1.545451082013163e-13,4.255870582257285e-14,4.366737871465108e-14,-1.469723631998623e-14,8.244640127113118e-13,8.200642082879026e-14,-2.105604092640981e-13,3.260845574230561e-14,3.702829383547121e-13,6.638612144464193e-14,1.415030826750089e-13,-3.912218478889083e-14,6.283772203860503e-14,2.434216487670692e-14,1.113385866315095e-13,-4.548362713404934e-15,2.893406177396043e-14,2.384953781466041e-14,1.648928025422752e-12,1.438275950484495e-12,4.601388239072394e-17,5.220697668206359e-14,6.737740383460861e-14,4.251410486618687e-14,-6.11737150919486e-14,6.563939300100884e-16,-1.783530874059137e-14,-1.176338635729942e-13,1.659543380463919e-14,-9.096804142260175e-17,9.78592962142682e-14,,,,,,,,,,,,
frozenset({'223283.9.peg.1575'}),-2.706555725059716e-12,1.45300480633088e-13,-3.853076978344636e-14,4.733743721143105e-14,-1.521434606112829e-13,1.097257698201621e-13,-3.489550119123478e-15,1.888510579559707e-13,5.46675713068297e-14,-1.023243131205464e-13,-6.435652795113891e-12,1.119247469079183e-30,4.333676453203585e-14,3.192145828739051e-14,0.0,-2.640504868403475e-15,1.859922698834932e-13,-2.201149208786777e-14,2.192550588385634e-13,4.115676969255484e-11,1.472431268391799e-12,3.065185175745695e-15,7.853319892198349e-13,-4.857404815228844e-14,1.491610727367109e-13,-2.916433594792856e-14,8.686026536159712e-14,2.287584432526642e-12,7.648835146343425e-14,1.710065606776491e-14,-2.181137061472249e-13,2.450579629823959e-15,1.527529744480483e-14,1.516102487799276e-13,2.351753291821758e-13,4.871148637255396e-15,2.587968349010061e-13,3.309596335298668e-13,8.402989739053918e-14,-6.112118144925969e-14,4.376252748734494e-13,1.577294040397693e-14,1.312573268389546e-13,4.625463718977741e-14,-2.339125672871078e-14,1.571465446625375e-14,-4.979504784718009e-13,-8.578788664528206e-14,-3.128584462345492e-14,-2.489454489755368e-14,-4.75766291184643e-15,6.779304111013285e-14,-2.313036582235812e-14,-2.38471165274977e-13,8.163324005990037e-15,-4.095021849764517e-14,1.35959783304414e-12,3.467235170854513e-14,5.08941125437086e-15,1.101645774590208e-13,-2.775645336811954e-15,-4.338225596283497e-14,1.668545804488445e-12,-2.528767642187531e-14,2.393388600526771e-14,-1.617700222863303e-14,-4.863733429571644e-15,3.305999301776112e-14,-2.939701699597194e-13,1.513090331578805e-12,3.757713735041088e-14,-6.581844305179806e-12,-6.388234085632642e-13,-1.421711915473935e-14,2.0612581518396e-13,2.900405297130834e-13,-5.712409993373265e-14,-8.240005332696354e-14,1.810117121913878e-10,-3.219797690780569e-13,-8.779575015949268e-16,5.080300394001033e-13,-1.062030524201413e-13,-1.539611382330163e-15,5.107066572284675e-16,2.022122651409933e-14,-1.263685455034625e-14,-7.842331239139202e-17,1.229206867751634e-12,1.882530693413311e-11,1.787208347261031e-13,,,,,,,,,
frozenset({'223283.9.peg.1577'}),9.304239409480265e-14,-6.388693611924332e-14,-4.216923967580754e-13,1.532242240904914e-13,-6.078776225225316e-13,2.713295076510773e-14,-6.450164686944504e-13,8.299853601357431e-14,1.36698636106783e-13,-2.211251200071396e-14,1.783499482273678e-13,1.32743480625467e-14,-3.265742206315527e-15,0.0,-2.294427107539945e-14,-1.838661530128789e-11,-1.269228020959037e-13,-4.420273008386913e-16,4.467282849313347e-13,3.737943446215114e-14,-2.129989888784965e-13,-1.125429824950519e-14,1.449942748038195e-13,-3.523551250759335e-14,2.197710009775677e-12,-2.162946212715847e-15,1.155317936906579e-14,-3.558026882625188e-12,-4.563935834122321e-14,-1.56773883067718e-13,9.30418454383872e-15,6.134991363602664e-14,-2.607343887480093e-14,3.607454390758426e-14,5.637927882991752e-14,2.679316830990218e-15,-1.092092625661073e-13,1.941619271299e-12,6.591983711528343e-15,3.792429516975415e-14,-6.005126585923483e-14,-4.48482932014868e-11,-3.80554169112278e-13,4.002338716804608e-14,-7.604061967000487e-14,-4.674396839074629e-12,2.771658323691494e-14,-1.470561952673938e-14,6.811293823452124e-14,3.672792304771278e-15,-3.714156928913099e-14,-1.426781551331841e-13,3.098842347497243e-13,8.730183429177428e-14,-3.415881703089637e-14,-1.42007741455263e-14,-1.867096594164936e-13,2.62859965086994e-13,-1.138578947394712e-14,7.008771915471962e-15,1.281911697024785e-13,-1.326383941324018e-11,5.471040120723407e-14,-1.108326320630381e-11,1.386548146829416e-13,4.330654798546014e-14,-3.643639224152046e-14,1.1963424294552e-14,-2.957992251347608e-15,2.95621277089826e-14,-1.851213318830871e-13,6.084194706905105e-15,2.17552546847713e-12,1.19421441889246e-14,1.243220678782854e-13,-5.697696512214064e-14,-8.192652101397213e-14,-4.38462911339342e-14,-4.651289006246831e-13,1.997549699356827e-13,-5.125641097789198e-15,-3.965799447915314e-13,-8.156068204588342e-14,3.539073393718019e-14,1.374337962855875e-12,-5.846522280549123e-15,-6.888423053762205e-14,1.143663224458183e-13,2.593071715841974e-13,9.499107423874439e-15,2.224302073379567e-12,,,,,,,,,
frozenset({'223283.9.peg.1663'}),0.0,1.148702882772854e-13,4.199769445356314e-14,3.40943045733622e-14,-5.893361799058635e-14,-3.406531000774663e-14,1.944615980317962e-13,4.982627421337262e-14,-3.257098664827015e-14,5.633985969026094e-14,-1.076873196175902e-14,-5.928095390111995e-14,4.569252446452093e-14,-1.9600337798876e-13,1.355098333616306e-13,8.329037144444616e-14,-4.091750847484771e-14,1.665846104308478e-14,-1.09978655747564e-14,3.875336939009398e-14,-1.237448172523887e-14,4.197211541027517e-15,-4.569030483056432e-14,-8.975658580834756e-15,-7.049590676203534e-15,3.275407939559557e-14,-2.031953822508126e-15,-2.176611620625198e-14,8.481108875590367e-15,3.068083835178685e-14,1.396628273077844e-13,6.2010464035904e-14,-3.365231359863193e-13,-1.021347556344348e-13,-2.733907992778352e-14,-5.838407515187378e-14,1.685718791464465e-13,-1.449942266331076e-14,3.193128248103509e-14,1.934536761282392e-14,4.734922446938396e-15,-5.627059557233461e-15,-7.17102817814511e-14,-3.93612976219539e-13,-5.190361449338798e-14,1.548180685796176e-14,1.999015325170174e-13,-9.817218030373829e-14,-3.453393650880208e-14,5.524826115527828e-14,-4.967743428580534e-14,-7.069590116338308e-14,5.335770689529181e-14,5.061735582331105e-13,-1.11864801796409e-13,7.090751444168793e-14,1.682930055303799e-13,1.049558106369756e-13,-1.792205002699154e-13,-4.179893303341627e-15,3.606959068223751e-14,2.155525859808531e-14,-3.575994142632212e-14,9.714861452227837e-14,-9.625039764777422e-14,-1.428482816796038e-13,3.920434088369301e-14,1.644861293605575e-13,-7.778699374865487e-15,3.012212868939027e-14,8.32618919722999e-14,3.326583797092719e-15,6.409161997610405e-14,8.750614035931868e-13,-2.607927951323562e-14,-3.169323443334538e-14,4.28861019919105e-16,1.759018265332183e-11,1.845763231869932e-14,8.016337675978821e-15,7.28068533395625e-14,-3.715047666029258e-15,4.41983617072801e-16,9.756018972012719e-14,2.110701765084454e-14,4.036383251708547e-17,2.66163393827308e-14,,,,,,,,,,,,,
