ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),1.944030738550916e-15,0.0,-3.227728054214163e-15,-3.899189766260894e-16,-1.907155692927993e-15,4.077771977176913e-15,2.804782109292279e-17,1.474692561211387e-16,8.892246048824786e-30,-1.82930514840872e-13,3.50376941069282e-18,1.3889638302032e-14,-1.507520441001742e-15,-6.190892059745114e-16,7.272363877978816e-15,-1.551555079922253e-13,-4.199889644721868e-15,-3.838502511767885e-18,2.675331993435808e-15,-1.446658641622906e-15,6.735942585678425e-15,2.008022330125736e-15,3.094955927742135e-15,-5.095792387416172e-15,9.129308637685304e-17,-6.007430011190667e-18,2.077450359620899e-14,-3.834352698366317e-31,4.289926987817704e-49,7.46768976108371e-29,1.442598173114729e-15,-8.898280105820191e-15,9.755332229370511e-16,7.942672910020938e-30,4.8380108555631e-16,-1.17350367815998e-15,7.280887460283252e-16,-2.171411089729199e-15,1.431427426991663e-13,-6.902341417546882e-16,-6.477670190802535e-13,-6.701484923969648e-16,2.129088335048624e-14,2.965375522293887e-15,5.172914468934605e-14,-8.052115592934516e-16,2.087456273514467e-14,3.51208329021841e-19,-1.327578400626672e-15,-6.356178489259125e-18,-2.029449354912295e-15,3.845055279818375e-14,-5.181308559493453e-15,-4.596303782900299e-15,-3.283025990938443e-15,2.288834268714013e-16,2.76980165447737e-15,1.199714182436786e-15,2.944481291461028e-16,1.231618089744552e-15,5.003561664849759e-15,6.985365080152473e-31,-1.016616823982833e-16,-1.506092811917732e-15,-1.981597957893075e-16,-9.34058349679992e-16,5.204693758272709e-15,1.808053471404046e-16,2.44954407087847e-15,-1.224062777841616e-15,3.895368242361113e-16,1.681656986532686e-16,-5.719418718147058e-15,6.194611582854028e-16,-1.694343809205581e-14,2.655146805081713e-15,-4.409833724522263e-15,2.47689280617012e-15,6.881879569047604e-15,-6.128974779038106e-17,5.244907833177043e-18,-8.625553237134021e-16,2.544020902111147e-20,3.67163836043611e-16,8.9142227755045e-30,2.706405504126419e-15,-6.118096247423214e-16,-1.1267335362527e-15,-2.416906131800176e-15,1.037065358358233e-15,2.046878920485268e-15,-7.755957573147451e-16,1.039239002414611e-14,,,,,,,
frozenset({'223283.9.peg.3813'}),2.557921676211428e-15,0.0,-1.215689212310776e-15,2.086718639556172e-15,1.502175120648296e-15,-7.557910852965833e-16,-1.000417508684881e-14,-7.851787088718271e-16,-3.08105449676094e-15,1.084547792159739e-15,-1.437633889688117e-15,-4.148115233303125e-16,2.453368249342062e-15,1.19614056377474e-15,-5.071355411759233e-15,-7.47875622235349e-15,-7.159959038132622e-16,-9.833348357965015e-17,-5.538386338016443e-15,1.449864295966763e-16,6.115064421839365e-19,-2.066144368684317e-15,-4.300387326536807e-15,-3.151260354098148e-15,8.952598713641305e-17,-8.572983120727531e-16,2.550433527467936e-15,-4.760601456204534e-15,2.968941836833525e-15,4.279899374823237e-18,2.078359854528861e-16,3.513663132062973e-16,-3.320644682517207e-16,-2.016492492623801e-15,7.589421609698762e-18,-1.540378236433804e-32,-1.977472749553331e-16,-2.75593955650904e-15,3.693125350743932e-15,5.133708535267325e-16,3.15122742866417e-15,-2.441570977583305e-15,3.279247049468292e-15,-3.399793956881158e-14,-1.447153535455822e-14,-3.270194386753955e-16,9.503301693120251e-16,-3.399471156563154e-15,-7.662562275546929e-16,1.943972966574791e-15,5.557761515980573e-15,-8.170600503232259e-15,1.932767858487911e-15,-3.431471847460251e-15,-8.447254803258467e-17,1.987029908495555e-15,-3.258194060238841e-15,-1.821946570758031e-15,-4.114795627276233e-15,-5.206486109024574e-16,2.304977014230457e-16,-3.698838651779556e-15,-2.348251911244669e-16,-7.45593538742939e-16,-4.385981207762881e-16,-4.244580544622112e-14,2.951118363886951e-15,7.669377353510553e-16,-3.679958162588011e-16,-3.562217652296949e-15,-1.853476530373748e-16,3.031270258465609e-15,1.865326133543996e-14,-2.053513347311274e-15,3.978606397155001e-15,7.859281409285129e-15,-1.540468049960224e-15,7.685091282744823e-15,-1.174269723322689e-15,-3.426168248606869e-15,-3.915518515640329e-16,-7.651100178203873e-16,3.933626232646462e-14,1.358583880990169e-15,6.564951981055316e-16,9.000516695153695e-17,3.109686981948267e-15,1.709365530021022e-15,2.31323803475995e-15,7.32481209010892e-16,,,,,,,,,,
frozenset({'223283.9.peg.3927'}),1.536889261957174e-14,3.610768956920103e-13,-2.22286588116677e-15,1.222223651446478e-15,-1.817534767568344e-15,1.832413535900716e-14,-5.811475711406862e-18,-9.55767616217557e-15,0.0,7.123968753724049e-16,6.1760482953911e-16,-5.513618858923795e-16,4.845592330556452e-15,-5.645565351080209e-15,-1.398252843186092e-15,-1.169015408416625e-14,-9.485022061536392e-16,-1.830546539255548e-15,8.110492339946501e-16,9.994166094963401e-17,-7.703657112695746e-16,-1.192604852979653e-14,8.164489732114227e-15,-1.639618020717394e-15,1.996842262069497e-16,4.420966528855774e-14,7.27269975153815e-15,-1.027022114959684e-15,3.530572065490086e-15,7.662525783755483e-16,-2.114993780122554e-16,-2.668441359027108e-16,9.004749820301691e-16,8.377139788278554e-16,-7.074424897704269e-16,-4.348461544555626e-28,-2.991577874379702e-33,-4.918249190573013e-15,2.650962363309529e-15,6.171302000921237e-16,-7.195185744979871e-16,-2.028817451843787e-15,3.11775405979983e-15,1.618953550612269e-14,2.245094185144841e-14,3.063255555034436e-16,1.565632197215425e-15,-2.8345817814662e-16,1.876234772994554e-15,-5.275540449281346e-15,-1.414453105513583e-14,-5.740167309612394e-16,4.547478965343391e-15,-2.173249993822938e-14,2.617170101117566e-15,-1.43521499291648e-15,2.71281203137819e-16,-5.730892396854112e-17,3.203171926093969e-15,-5.01493499857082e-16,3.661268894150772e-14,5.68914736445798e-15,3.649283981363834e-16,-2.853003935831091e-15,-5.022094948658314e-16,7.902990004837258e-15,-2.116356810854375e-15,-1.145008441217601e-15,3.030502639257122e-17,2.078910479012427e-15,1.701278905598854e-16,-1.815015051858136e-14,1.174042328872426e-14,-2.172773129187247e-18,4.280793844184371e-13,3.328506956792183e-15,1.673896398717037e-16,-1.21560147834431e-16,-6.876958482877392e-14,7.156992592364e-16,8.714356631923984e-16,2.566540306406967e-16,-1.127190431471979e-15,-9.811738136688126e-16,-6.95921094595538e-15,-1.946863924827267e-20,2.672595847374025e-14,-9.73816527219095e-16,1.21615939081389e-14,-1.315898586172113e-15,-2.026222225190779e-15,2.171962732896039e-16,-5.140915394301565e-17,-2.51551496418541e-15,,,,,,
frozenset({'223283.9.peg.3930'}),3.253108704955335,3.254321891846826,3.254321891846892,3.483890506671045,3.894552702726926,3.254321891846806,3.901449165905273,3.8933106177885,3.893310617788533,3.901449165905247,3.248230903748473,3.893310617788561,3.893310617788071,3.901449165904036,3.893310617788457,3.901449165905251,3.248230903748429,3.254321891846188,3.254887394879879,3.893310617788543,3.893310617789414,3.254321891847143,3.254321891846839,3.483890506671115,3.483890506671068,3.901449165905359,3.254321891846857,3.894552702726955,3.890647160600796,3.254887394879905,3.893310617788469,3.890647160600757,3.901449165905321,3.893310617788447,3.901449165905158,3.901449165905352,3.893310617788531,3.893310617788495,3.893310617788494,3.254887394879875,3.901449165903453,3.901449165915906,3.254321891846829,3.254321891846899,3.901449165905085,3.248230903748551,3.901449165905147,3.274947717965867,3.893310617788473,3.901449165905304,3.893310617788508,3.901449165903873,3.254321891846923,3.893310617788609,3.254321891846837,3.254321891846877,3.248794291719058,3.901449165905063,3.893310617788498,3.901398361192427,3.901449165905287,3.893310617788505,3.893310617788481,3.254321891846809,3.901449165908585,3.893310617788523,3.893310617788507,3.90144916590527,3.901449165905289,3.254321891846886,3.901449165905186,3.483890506671079,3.251896422260688,3.901449165905362,3.483890506670981,3.901449165905442,3.893310617788587,3.901449165905308,3.901449165905229,3.893310617788497,3.9014491659052,3.254321891846907,3.90144916590575,3.24823090374846,3.880137213157778,3.893310617788466,3.893310617788468,3.901449165905234,3.901449165905177,3.893310617788935,3.25432189184686,3.893310617788445,3.893310617788586,3.248230903748442,3.901449165905259,3.893310617788446,3.901449165905291,,,
frozenset({'223283.9.peg.5202'}),3.253108704955204,3.25432189184828,3.254321891848089,3.483890506671024,3.894552702726673,3.254321891846877,3.901449165905242,3.893310617788572,3.893310617788528,3.901449165905245,3.248230903748267,3.893310617788512,3.893310617788477,3.901449165905169,3.893310617788484,3.901449165905342,3.248230903748499,3.254321891846849,3.254887394879806,3.89331061778851,3.893310617787936,3.254321891846844,3.254321891846996,3.483890506671075,3.483890506671051,3.901449165905324,3.254321891846871,3.894552702727001,3.890647160600819,3.254887394879815,3.893310617788459,3.890647160599738,3.89331061778867,3.9014491659052,3.901449165905178,3.893310617788474,3.893310617788455,3.893310617784088,3.254887394879825,3.901449165905207,3.901449165905302,3.901449165905255,3.25432189184684,3.90144916590526,3.248230903748455,3.901449165905904,3.274947717966047,3.893310617788574,3.893310617788476,3.901449165905149,3.254321891846888,3.893310617788802,3.254321891846801,3.254321891846957,3.248794291744805,3.90144916590522,3.893310617788516,3.901398361192462,3.901449165905366,3.893310617788532,3.893310617788451,3.254321891845253,3.901449165905278,3.893310617788408,3.893310617788503,3.901449165905408,3.901449165905154,3.254321891846955,3.901449165905453,3.483890506671047,3.251896422260593,3.901449165905206,3.48389050667105,3.901449165905201,3.893310617788444,3.901449165905202,3.901449165905191,3.254321891846915,3.901449165905281,3.248230903746593,3.880137213157507,3.893310617788773,3.893310617788473,3.893310617788468,3.901449165905226,3.893310617788552,3.901449165905346,3.893310617788479,3.254321891846897,3.893310617788471,3.893310617788523,3.248230903746963,3.901449165905222,3.893310617788286,3.901449165904956,,,,,
frozenset({'PSPTOA0036'}),3.253108704955269,3.254321891846816,3.254321891846927,3.483890506671043,3.894552702726778,3.254321891846915,3.901449165905183,3.893310617788452,3.893310617788496,3.901449165905142,3.248230903748522,3.893310617788492,3.893310617788463,3.901449165905267,3.893310617788468,3.901449165905224,3.248230903748486,3.254321891846798,3.254887394879812,3.893310617788553,3.893310617788381,3.254321891846835,3.254321891846905,3.483890506671078,3.483890506671105,3.901449165905328,3.254321891846842,3.894552702727019,3.89064716060064,3.254887394879865,3.89331061778846,3.890647160600786,3.901449165905217,3.893310617788396,3.90144916590524,3.901449165905244,3.893310617788812,3.893310617788477,3.893310617788628,3.254887394879851,3.901449165905311,3.901449165905223,3.901449165905342,3.254321891846854,3.254321891846843,3.901449165905413,3.248230903748484,3.901449165905259,3.274947717965963,3.893310617788493,3.901449165905297,3.89331061778849,3.9014491659053,3.254321891846913,3.893310617788448,3.25432189184696,3.254321891846891,3.248794291719141,3.901449165905374,3.901398361192432,3.901449165905222,3.893310617788562,3.893310617788495,3.25432189184686,3.901449165905171,3.89331061778847,3.901449165905256,3.901449165905203,3.254321891846829,3.901449165905211,3.483890506671013,3.251896422260657,3.901449165905225,3.483890506671062,3.901449165905245,3.893310617788545,3.901449165905216,3.901449165905338,3.901449165905354,3.254321891846887,3.901449165905227,3.248230903748494,3.880137213157808,3.893310617788474,3.893310617788503,3.901449165905209,3.893310617788469,3.901449165905123,3.893310617788483,3.254321891846886,3.893310617788447,3.893310617788756,3.248230903748499,3.901449165905393,3.89331061778858,3.901449165905284,,,,
frozenset({'PSPTO_0062'}),3.253108704955255,3.254321891846846,3.254321891847077,3.483890506671047,3.894552702727009,3.254321891846882,3.901449165905176,3.893310617788538,3.89331061778849,3.901449165905283,3.248230903748492,3.893310617788529,3.893310617788467,3.901449165905178,3.893310617788423,3.901449165905226,3.248230903748523,3.254321891846806,3.254887394879766,3.893310617788579,3.89331061778851,3.254321891846905,3.254321891846891,3.483890506671124,3.483890506671043,3.901449165905244,3.254321891846844,3.894552702726983,3.890647160600788,3.254887394879839,3.8933106177885,3.890647160600799,3.901449165905149,3.893310617788501,3.901449165905234,3.901449165905202,3.893310617788503,3.893310617788508,3.893310617788472,3.25488739487981,3.901449165905182,3.901449165905204,3.901449165905159,3.254321891846835,3.901449165905157,3.274947717966015,3.893310617788586,3.901449165905264,3.89331061778843,3.901449165905205,3.254321891846889,3.893310617788329,3.254321891846851,3.254321891846842,3.248794291719078,3.901449165905293,3.893310617788518,3.901398361192398,3.901449165905295,3.893310617788533,3.254321891846855,3.901449165905428,3.89331061778852,3.893310617788484,3.901449165905151,3.901449165905269,3.254321891846797,3.901449165905185,3.483890506671066,3.251896422260644,3.483890506671044,3.901449165905233,3.893310617788488,3.901449165905422,3.893310617788452,3.901449165905259,3.254321891846829,3.901449165905254,3.248230903748449,3.880137213157882,3.893310617788512,3.893310617788399,3.90144916590519,3.893310617788003,3.901449165905302,3.893310617788478,3.893310617788491,3.893310617788527,3.248230903748528,3.901449165905284,3.893310617788442,3.901449165905084,,,,,,,,
frozenset({'PSPTO_0073'}),3.25310870495516,3.254321891847055,3.254321891846858,3.483890506671059,3.89455270272693,3.254321891846743,3.90144916590516,3.893310617788493,3.893310617788569,3.901449165905229,3.248230903748518,3.893310617788504,3.893310617788531,3.901449165905315,3.893310617788568,3.901449165905083,3.248230903748463,3.254321891846873,3.254887394879906,3.893310617794376,3.893310617788484,3.2543218918469,3.483890506671053,3.483890506671001,3.901449165905231,3.254321891846904,3.894552702726962,3.890647160608424,3.254887394879889,3.893310617788483,3.890647160602345,3.90144916590522,3.893310617788489,3.901449165905157,3.901449165905292,3.893310617789301,3.893310617789948,3.893310617788535,3.254887394879345,3.901449165905214,3.90144916590456,3.901449165904388,3.254321891846824,3.254321891846875,3.901449165905362,3.248230903748536,3.901449165905263,3.274947717965996,3.893310617787917,3.901449165905204,3.893310617788548,3.901449165905264,3.254321891846915,3.893310617788511,3.254321891846848,3.254321891846961,3.248794291719104,3.901449165905211,3.893310617788498,3.901398361192422,3.901449165905344,3.893310617788444,3.893310617788476,3.254321891846881,3.901449165905096,3.893310617787891,3.901449165905286,3.901449165905262,3.254321891846887,3.901449165905252,3.483890506671024,3.251896422260582,3.901449165905273,3.483890506671115,3.893310617788503,3.901449165905289,3.901449165905453,3.893310617788525,3.901449165905247,3.254321891846802,3.901449165905222,3.248230903748522,3.880137213157826,3.893310617788492,3.893310617788432,3.89331061778851,3.901449165905295,3.893310617788092,3.901449165905196,3.89331061778911,3.254321891846799,3.893310617788611,3.893310617788536,3.24823090374848,3.901449165905203,3.893310617788379,3.901449165905258,,,
frozenset({'PSPTO_0075'}),-1.450299940420785e-15,-6.655269182587952e-32,-3.07950661192302e-13,-2.660279736394967e-12,-7.377765138151474e-17,9.912179943729746e-13,4.25857786170778e-16,2.691678676887485e-15,5.698510134722506e-16,-1.53746517964368e-13,-5.068225284117273e-14,-6.924365487865132e-15,9.999179609383907e-14,-3.212781869324124e-14,7.097288241375507e-13,-4.34914183380615e-17,-1.906017036839463e-13,0.0,2.013014877392186e-13,-4.451128794840922e-13,2.880189137899799e-14,-3.531289070133148e-13,5.68642039338488e-15,-7.219710015400663e-12,1.247517165801945e-10,5.355735885526256e-17,-1.757049156683023e-13,7.429029094841101e-16,-5.494563367824836e-14,-3.198913544062256e-14,-4.570504196908292e-13,-1.285298886808268e-10,5.639994478049936e-16,-6.164154157790772e-12,5.063256081302986e-13,-1.612813971104619e-15,1.316101868575984e-15,2.07498480000797e-16,-4.14279144566876e-13,-3.44493311091921e-16,3.960128233001981e-13,-2.815856120406561e-12,-2.87213452561249e-14,4.079754819685797e-13,-7.64235778605263e-14,-8.892069461306861e-14,-4.643143184275123e-16,-4.192450815812937e-14,1.335967391637089e-13,-1.20667675109123e-16,-3.691738741501142e-16,1.620451429432803e-31,8.334290182958873e-13,5.722007616573803e-11,1.755343084480845e-13,2.898459448595937e-16,-2.713390202014058e-12,-1.680394582139499e-16,1.919524001364046e-13,-7.309939594384846e-16,-3.108868746308748e-16,-8.733470796089679e-14,-1.215829142696575e-15,1.188988292755218e-15,-2.329504319386049e-50,-5.733175839513676e-16,6.663999181506444e-14,-3.603760183951656e-13,1.016551441740627e-15,2.219197373246105e-13,-5.445130059374283e-13,4.193180969652992e-13,-4.005830653344783e-11,-3.912830459788921e-13,5.969818013812903e-13,2.752507061009167e-12,2.96488989565106e-14,4.252830064615324e-13,-8.116731632339921e-13,1.640859548186572e-13,5.444416072397065e-15,-6.012340863426135e-13,1.940407869521678e-15,1.850620175114968e-15,-6.867377549790397e-16,-8.199344630520086e-13,2.899077076778337e-12,-8.092792786390824e-14,-1.363948306798454e-12,-1.378039596434284e-13,5.72571315303102e-13,-2.036669057108734e-13,-7.658717094035982e-15,-2.728087768050035e-14,-4.781157448811508e-14,-3.659159511881319e-16,,,,
frozenset({'PSPTO_0080'}),1.377513977212311e-16,7.307274305907798e-15,7.162774916131936e-14,4.782248626175972e-14,1.627024741470887e-13,7.213271563682562e-16,-1.067952635198541e-15,-1.867888534548639e-14,0.0,6.834853258948217e-18,-2.178869193020307e-15,-3.803638552460531e-15,4.525179127914479e-14,-2.030587875670718e-15,1.355774151033261e-13,5.984341475033224e-16,-6.399029366564835e-14,1.484823263306202e-16,-3.152747679812656e-34,8.808063763786944e-13,-9.349814270700208e-15,-6.581048400902049e-16,-1.042751449935899e-14,-3.122667229394846e-16,-1.054050905548114e-15,-2.253564924007681e-16,4.125008533596103e-15,1.955303708600288e-15,-1.479159767821337e-15,1.886482757546554e-15,-4.949445390748982e-15,-3.481378767895846e-15,-1.662626768034231e-15,-4.713673149719149e-15,-8.560079135926471e-14,-3.138454100833987e-15,5.68340068936306e-15,1.719571406836115e-15,-1.712270576975193e-14,-2.714184433376381e-15,1.608855454084787e-18,-2.951036303570063e-15,-4.634551611412609e-16,1.337887089256026e-16,-5.444636409577931e-15,7.166878374389766e-16,2.793000840784679e-12,1.702919615028931e-14,4.663449478902831e-17,-4.165145317099091e-15,-1.059968756488078e-14,4.211439212200524e-15,3.97054155184258e-14,-2.004937426623369e-17,-4.101696847447151e-14,1.896350554192733e-15,2.412501397981277e-17,-2.651587322769299e-17,7.037112198305059e-14,-7.174596234957487e-14,7.652688996114686e-18,7.422977137948507e-16,-1.004922442064944e-15,-1.853244447309789e-15,-8.719325426913596e-15,-2.427756601366732e-15,-2.234742202443363e-17,-4.973998955449745e-16,1.4389471922509e-15,1.792202112206867e-14,4.559238641626863e-16,8.027513624604984e-17,2.1274652062433e-16,8.696680276052412e-16,1.061976047114863e-15,-8.483158181261428e-17,4.04773038155061e-13,-6.534725039744636e-15,-1.226080585842285e-15,2.900362449816637e-16,3.437659062499949e-18,-3.371213091087072e-15,-3.86933265810922e-14,9.63470062725881e-16,-5.229865861270358e-13,8.411038996458268e-15,-8.230542656925513e-16,-7.239270977170092e-16,1.168993742964747e-13,2.473394377274542e-15,-4.935748742530314e-16,-5.278831540067899e-15,-2.363296210246402e-15,,,,,,,
