ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),3.954149770809482e-17,-4.414963197580703e-14,-7.831316220000022e-16,2.011177959260333e-16,1.236138240043962e-15,-6.281509805287205e-17,9.776023263617638e-16,2.796851669852996e-16,-1.119070274016711e-15,-1.208247774720335e-15,-5.462864083536243e-16,0.0,1.474069538553028e-15,-2.414274542723184e-16,5.023746295952572e-17,1.243216661642766e-15,6.841146912437834e-16,-3.027744038014759e-16,-6.846468719479356e-16,-8.944863287854832e-17,2.70508400758811e-16,-4.164118409108875e-16,-1.603286280786743e-16,3.206572561573487e-16,-5.360308740921995e-15,-7.024080803746595e-18,-2.691622088495566e-16,2.766156742416016e-16,-2.138690406900842e-16,3.480805020576461e-16,-2.582750926789918e-16,1.082076369423837e-15,5.767522840053448e-16,1.316095193760491e-18,7.466636818557994e-16,-7.39474651822373e-16,-5.22440442265067e-16,1.475485402640353e-16,4.566279563934594e-16,7.95561005867496e-16,-1.003256893354371e-15,2.065437941135934e-16,-4.258176721042413e-15,-2.695986286651542e-16,-1.465653345573163e-17,5.931818866532373e-16,-1.265791057220136e-15,-9.130434711700157e-16,-2.136408667728036e-18,-1.998611220483933e-29,1.044225036306765e-15,-2.242893954163231e-16,-2.091774677530865e-16,-4.153065283955737e-16,-2.881352483361523e-19,-5.780364829413458e-16,1.943954337262105e-17,1.831716968951898e-17,-1.813002815928741e-16,-8.555990865240434e-17,8.961552498476925e-16,-2.095898833722577e-15,-7.038332552788965e-17,1.273932578901066e-15,1.429964595390612e-17,6.489956761955396e-16,-3.678132974311936e-16,-3.836281492056596e-16,7.607026845665133e-15,-2.862755440861742e-16,-4.702508969815727e-16,-2.57801594842887e-16,9.695164140030276e-16,-1.400092264601938e-15,-4.43188337279883e-18,4.201286913817747e-17,-1.990130618824395e-16,-1.043421066032312e-15,-1.400483347870485e-18,4.133026970602885e-16,-7.893878817084432e-17,-4.122851470699893e-16,4.285167408684208e-16,-2.415552409611831e-15,-1.582968106474824e-16,-8.895174960269169e-17,-1.237439120186419e-16,1.146847995549603e-17,-7.65817475507258e-16,-1.296936654977149e-16,,,,,,,,,,
frozenset({'223283.9.peg.3813'}),1.153038200374983e-15,-1.281131230107398e-15,-2.055875301531097e-16,1.057070101037107e-15,6.799737862025184e-17,4.898963006034346e-18,-5.915715313724932e-17,2.434870672676108e-17,6.304553503461178e-16,1.632084185516321e-16,1.233928566849858e-15,0.0,-5.002601677352024e-17,1.22366280229253e-16,-1.126957326270807e-15,3.325596201915079e-16,-1.98807775366523e-15,1.073104926693868e-15,5.427846499705601e-16,-2.821204170935423e-16,2.490548069555934e-32,-3.901993841183201e-17,-8.721337656564568e-17,4.083425741241928e-15,-7.447413452164389e-29,-6.955231790476261e-16,-3.297625073471465e-16,7.001247956556855e-16,-8.244633374654359e-17,-3.214338809152931e-15,-5.16240671423017e-16,-4.150430553409731e-16,1.854563264355185e-18,4.620597018596953e-16,-6.419333025078211e-18,-1.219894503754823e-15,-2.943408602685793e-16,-8.364220785932478e-16,4.650012506234935e-16,3.1801862327145e-16,-1.081354594007503e-15,8.848647346899654e-16,6.083129046527117e-16,2.504597724208262e-16,-8.609219854785464e-18,1.445645702625154e-15,-1.855917914013277e-16,-1.01230805557843e-15,5.445792861114311e-17,-6.586164608163269e-16,1.644371751852909e-16,3.710532003852295e-16,2.494516099106535e-16,2.084571317685302e-14,5.213074093354877e-17,-2.840762036405715e-16,-1.555449062197325e-16,-3.512206247994914e-15,-1.77347828665953e-18,-8.358400638291482e-18,7.97190431957694e-15,1.072602790156019e-14,7.669574648910931e-16,5.686350691305178e-16,3.867137418308398e-17,3.817033414716912e-15,9.523314101978098e-16,-1.46529414214111e-15,-1.17222449116939e-16,1.200942980376479e-15,-6.432705720805309e-15,8.846343062776676e-16,-2.556438689994825e-16,6.811999905904604e-17,-1.196740718460236e-15,1.698883368318569e-16,9.067770324919036e-16,2.970129061316613e-16,1.025332530228245e-15,-1.004831484644791e-16,-4.808400601435206e-16,-1.12503715815999e-16,1.534964555881283e-17,2.168205418354895e-16,-6.705077799227665e-17,-5.545138617044194e-17,2.064309041800567e-15,1.08925081626346e-17,3.96138349881073e-16,-2.487650390285452e-17,-6.583816145469712e-16,2.5944087159715e-16,3.275807070300761e-16,-1.851063193556382e-17,3.202517332301723e-15,9.87060119738423e-16,,,,
frozenset({'223283.9.peg.3927'}),6.933584742106048e-15,4.313759142173635e-17,6.747825085697324e-16,1.392195335518504e-16,-2.136256939581278e-15,-3.136106194414202e-17,1.227023729827607e-15,-8.450952427678612e-16,1.172644210805802e-31,0.0,2.242035211777433e-16,-1.264632258179199e-16,-6.832796047501231e-16,-4.922529443431698e-16,-4.588974605229569e-16,1.405469948444282e-15,-2.439720278267417e-15,-3.646140673669483e-17,-1.331718443579462e-15,5.268624220284934e-16,5.020855324731898e-16,-1.17222077287243e-15,5.21055280530386e-16,1.793106495270425e-16,9.914001351437134e-16,-4.086455823648991e-16,-2.098691117146544e-16,1.119326918319865e-18,5.915526766067918e-16,6.826661028626393e-16,-2.086546003839576e-16,3.252887674294092e-16,5.947925292381258e-16,1.35980715812634e-15,2.730645868479571e-15,1.258032075560939e-15,-2.833058153997453e-16,1.142962290621168e-15,-2.143385171250376e-15,-1.231963040064532e-15,5.192829326741353e-16,-9.269209746459875e-17,6.915360127302596e-16,-1.386544561497563e-15,-3.083548325330161e-16,-9.352910582741103e-16,8.035064514048374e-17,-8.420693404359943e-16,7.944431730103874e-16,-3.965530229761338e-17,7.152078699477241e-16,9.17449030934964e-17,3.627308764890605e-15,7.193424919352408e-16,-1.227126233362416e-15,1.609661046797711e-16,-8.53768487185046e-16,-5.521326294797612e-16,3.702434155858771e-16,-2.778359165659698e-16,-2.347998741755852e-17,1.149188085154623e-16,-6.479619823112152e-16,2.448437527513556e-16,-2.987722331922167e-16,9.369479202615687e-16,1.090134928381694e-15,-2.555536911366254e-16,-3.386875379727229e-16,3.584072867005144e-17,6.753267934725409e-16,8.719265737112213e-16,1.148147915964032e-15,-6.120488413047169e-16,-4.484477226358028e-15,5.362465399877306e-16,2.120774345210243e-16,1.138304961012578e-16,-2.125632848964096e-15,-7.741908306753751e-17,8.24368127378042e-16,-9.12156138570544e-16,1.189757950159425e-15,-2.828764702702179e-16,-8.773632877202932e-18,2.438880770101333e-16,2.844754739415424e-16,7.940777979607369e-16,-1.330775287939418e-16,-1.197136578076661e-14,-9.401706052827174e-16,-9.614273257855611e-17,-3.350318234624255e-16,9.54602872985217e-16,-1.045100197617245e-16,-2.048284432256077e-16,-3.10105820416866e-16,-1.194947112422178e-15,,
frozenset({'223283.9.peg.3930'}),2.83665470263985,2.837712580692328,2.837712580692307,2.943851111847857,3.129551278977048,2.837712580692377,3.140364477700017,3.128553175008621,3.128553175008644,3.140364477700019,2.832401344087543,3.128553175008604,3.128553175008632,3.140364477699996,3.128553175008616,3.140364477700015,2.832401344087613,2.837712580692289,2.838205689587103,3.128553175008628,3.128553175008689,2.837712580692355,2.837712580692404,2.943851111847845,2.943851111847825,3.140364477700082,2.837712580692319,3.129551278977089,3.126412896911323,2.838205689587062,3.128553175008589,3.126412896911386,3.139359465642808,3.128553175008652,3.139359465642798,3.139359465642827,3.128553175008594,3.128553175008667,3.128553175008617,2.838205689587032,3.138355096648656,3.139359465642846,3.140364477699972,2.837712580692346,2.837712580692374,3.139359465642796,2.8324013440876,3.140364477700021,2.855697945450547,3.128553175008541,3.140364477700006,3.128553175008611,3.140364477699991,2.837712580692612,3.128553175008602,2.837712580692344,2.837712580692376,2.832892608684365,3.139359465643171,3.128553175008796,3.135052254529591,3.140364477699993,3.128553175008643,3.128553175008605,2.837712580692324,3.139359465642789,3.12855317500864,3.139359465642835,3.139359465642699,2.837712580692335,2.943851111847861,2.835597613031545,3.139359465642801,2.9438511118478,3.137204381695237,3.128553175008645,3.139359465642825,3.14036447770003,3.128553175008635,3.140364477700002,2.837712580692323,3.139359465642783,2.832401344087589,3.117967403430349,3.128553175008599,3.128553175008555,3.128553175008558,3.139359465642818,3.128553175008574,3.140364477699939,3.128553175008578,2.837712580692326,3.12855317500862,3.128553175008649,2.832401344087573,3.139359465642821,3.12855317500861,3.137204381695242,,
frozenset({'223283.9.peg.5202'}),2.836654702639899,2.837712580692416,2.837712580692339,2.943851111847839,3.129551278977048,2.837712580691354,3.140364477700017,3.128553175008619,3.128553175008605,3.140364477700046,2.832401344088003,3.128553175008767,3.128553175008678,3.140364477700025,3.128553175008578,3.140364477700049,2.832401344087576,2.83771258069233,2.838205689587014,3.128553175008575,3.128553175008709,2.837712580692301,2.837712580692365,2.943851111847845,2.943851111847819,3.140364477700063,2.837712580692427,3.129551278977074,3.126412896911339,2.838205689587062,3.128553175008574,3.126412896911328,3.139359465642854,3.128553175008612,3.139359465642812,3.139359465642813,3.128553175008602,3.128553175008603,2.838205689587986,3.138355096648638,3.139359465642857,3.140364477700029,2.837712580692357,2.837712580692137,3.139359465642779,2.832401344087591,2.855697945450514,3.128553175008552,3.140364477699966,3.140364477699956,2.837712580692348,3.128553175008667,2.837712580692271,2.837712580692077,2.832892608684337,3.139359465642839,3.128553175008614,3.135052254529545,3.140364477699982,3.128553175008652,3.128553175008639,2.837712580692504,3.13935946564285,3.128553175008589,3.139359465642845,3.139359465642791,2.837712580692324,3.13935946564281,2.943851111847851,2.835597613031396,2.943851111847863,3.137204381695251,3.128553175008677,3.140364477699801,3.12855317500865,3.14036447770005,2.837712580692313,3.139359465642818,2.832401344087584,3.117967403430361,3.128553175008657,3.128553175008503,3.139359465642808,3.128553175008593,3.140364477700019,3.128553175008613,2.837712580692375,3.128553175008451,2.832401344087597,3.139359465642762,3.128553175008585,3.13720438169523,,,,,,,,
frozenset({'PSPTOA0036'}),2.836654702639794,2.837712580692301,2.837712580692312,2.943851111847862,3.129551278977032,2.837712580692354,3.14036447770003,3.128553175008613,3.128553175008652,3.140364477700041,2.832401344087598,3.128553175008645,3.128553175008601,3.140364477699998,3.128553175008625,3.140364477700022,2.832401344087592,2.837712580692303,2.838205689587056,3.128553175008622,3.128553175008623,2.837712580692343,2.837712580692306,2.943851111847845,2.943851111847839,3.140364477699999,2.837712580692305,3.129551278977049,3.126412896911313,2.838205689587093,3.128553175008637,3.12641289691125,3.139359465644518,3.128553175008607,3.139359465642793,3.139359465642807,3.128553175008605,3.128553175008574,3.128553175008661,2.83820568958709,3.138355096648613,3.139359465642773,3.140364477700019,2.837712580692358,2.837712580692353,3.139359465642834,2.832401344087621,3.140364477700004,2.855697945450589,3.128553175008643,3.140364477700504,3.128553175027587,3.140364477700033,2.837712580692314,2.837712580692272,2.837712580692352,2.832892608684436,3.139359465642857,3.135052254529587,3.140364477699977,3.128553175008596,3.128553175008627,2.837712580692338,3.139359465642828,3.128553175008714,3.128553175008587,3.139359465642855,3.139359465642841,3.139359465642808,2.94385111184787,2.835597613031602,3.139359465642786,2.943851111847851,3.137204381695242,3.128553175008592,3.140364477700034,3.128553175007664,3.140364477700049,2.837712580692496,3.139359465642833,2.832401344087641,3.117967403430321,3.128553175008571,3.128553175008576,3.139359465642797,3.128553175008665,3.14036447770001,3.128553175008802,2.837712580692322,2.832401344087909,3.139359465642815,3.137204381695228,,,,,,,,
frozenset({'PSPTO_0062'}),2.836654702640095,2.837712580692274,2.837712580692355,2.943851111847788,3.129551278977037,2.837712580692338,3.140364477700051,3.128553175008632,3.128553175008561,3.140364477699996,2.832401344087613,3.128553175008647,3.12855317500864,3.140364477700021,3.128553175008583,3.140364477699976,2.832401344087573,2.837712580692275,2.838205689587048,3.128553175008606,3.128553175008614,2.837712580692326,2.837712580692332,2.943851111847853,2.943851111847944,3.140364477700067,2.837712580692305,3.129551278977083,3.126412896911369,2.838205689586979,3.128553175008578,3.126412896911371,3.139359465642866,3.12855317500863,3.139359465642735,3.139359465642811,3.128553175008616,3.128553175008619,3.128553175008586,2.838205689587051,3.13835509664865,3.139359465642818,3.140364477699994,2.837712580692336,2.837712580692334,3.139359465642837,2.832401344087581,3.140364477700078,2.855697945450511,3.128553175008599,3.140364477700015,3.128553175008634,3.140364477700009,2.83771258069235,3.12855317500862,2.837712580692348,2.837712580692467,2.832892608684374,3.139359465642839,3.128553175008414,3.135052254529578,3.140364477699864,3.128553175008566,3.128553175008598,2.837712580692319,3.139359465642851,3.128553175008576,3.139359465642813,3.1393594656428,2.837712580692226,3.139359465642767,2.943851111847819,2.835597613031537,3.13935946564286,2.943851111847814,3.137204381695222,3.12855317500857,3.139359465642871,3.140364477699954,3.128553175008589,3.140364477700023,2.837712580692322,3.139359465643518,2.83240134408762,3.117967403430354,3.128553175008662,3.128553175008637,3.140364477700039,3.128553175009209,3.128553175008605,3.128553175008636,2.832401344087551,3.139359465642797,3.128553175008562,3.137204381695241,,,,,
frozenset({'PSPTO_0073'}),2.836654702640018,2.837712580692325,2.837712580692444,2.943851111847805,3.129551278977077,2.837712580692389,3.140364477700013,3.128553175008612,3.128553175009365,3.140364477700053,2.832401344087557,3.128553175008616,3.128553175008552,3.140364477699979,3.128553175008568,3.140364477700023,2.832401344087512,2.837712580692351,2.838205689587046,3.128553175008619,3.12855317500864,2.837712580692334,2.837712580692336,2.943851111847849,2.94385111184781,3.140364477700022,2.837712580692304,3.129551278977071,3.126412896911315,2.838205689587072,3.128553175008545,3.12641289691134,3.139359465642773,3.128553175008622,3.139359465642813,3.139359465642872,3.128553175008609,3.128553175008594,3.128553175008681,2.838205689587048,3.138355096648595,3.139359465642824,3.140364477700029,2.837712580692313,2.837712580692283,3.139359465642857,2.832401344087655,3.140364477700083,2.855697945450412,3.128553175008599,3.140364477700015,3.140364477700007,2.83771258069227,3.128553175008624,2.837712580691822,2.837712580692338,2.832892608684391,3.13935946564174,3.128553175008648,3.135052254529581,3.140364477699961,3.128553175007887,3.128553175008089,2.837712580691994,3.139359465642809,3.128553175008737,3.128553175008623,3.139359465642804,2.837712580692243,3.139359465642839,2.943851111847847,2.835597613031502,3.139359465642822,2.943851111847825,3.1372043816952,3.128553175008607,3.139359465642793,3.140364477699693,3.128553175008667,3.140364477700002,2.837712580692265,3.139359465642966,2.832401344087634,3.117967403430339,3.12855317500863,3.128553175008521,3.139359465642802,3.128553175008554,3.140364477700076,3.128553175008634,2.837712580692419,3.128553175008643,3.128553175008651,2.832401344087621,3.13935946564254,3.137204381695252,,,,
frozenset({'PSPTO_0075'}),-2.616306800652918e-14,-1.558114328956283e-13,1.628063073064273e-15,-1.08610017866204e-15,-2.173318187054005e-14,4.901929057004525e-14,-2.545392563314301e-15,-1.396451162102476e-15,6.94791152888612e-12,5.35862575404176e-15,3.996028914468365e-15,1.556241454087507e-13,3.491028613297056e-14,1.937250414914763e-14,-1.284813819150272e-13,-1.06686674751349e-14,-1.424240863811267e-32,3.576861948060122e-14,1.299554064310306e-14,2.352191545056619e-14,1.785351151469488e-14,1.189264004428736e-12,1.503665951760613e-13,-3.998296049911071e-13,5.927767370091007e-14,-3.883825018799247e-14,1.086064045316009e-14,-4.571728148941857e-14,6.122561947957762e-15,-9.835212077021793e-17,3.46321255334301e-14,-7.388744378926769e-14,1.522421728768069e-13,0.0,-4.634670150141741e-14,-4.322132212193602e-14,-3.633141365882458e-31,-3.167025829507206e-14,-8.851314884731803e-14,1.138846106445901e-14,-5.547439351362075e-14,2.812392855717097e-14,-5.903381727259897e-15,-6.032790048736831e-15,1.931864271824368e-13,-2.26987916208301e-15,-1.355036769750881e-14,2.562261097778891e-14,1.106195925096459e-15,-2.028152239618339e-14,-9.798508958507507e-14,7.371883358887723e-15,-4.555596448780764e-14,-3.744580892378094e-14,-1.510613588992113e-12,-2.271639377312403e-15,2.035724540268696e-14,-1.357275426533467e-15,-6.622495018533104e-15,-2.629701634149771e-15,2.838249590516748e-15,1.172610345917476e-13,-2.276847877435884e-14,3.576768896018116e-14,1.624086235401684e-14,1.494653562839819e-15,6.491196345237588e-16,-5.871435260389724e-14,4.022734957054053e-15,-5.295737950686444e-15,2.711389400203891e-14,1.817113392404158e-14,5.528742241795555e-14,3.70628208230825e-14,4.928518658156988e-15,1.721699260156383e-13,-5.855500151648476e-14,7.731710087120568e-15,7.922318610077624e-15,2.84146229039412e-14,-4.5609743061121e-13,1.603746067771037e-14,-7.759452334581497e-15,-2.00313669483282e-15,-1.240634264583723e-14,-3.809531362424114e-14,-3.272104597137413e-15,6.955593433586577e-15,7.885617102162785e-15,2.516271022377109e-14,-1.315318763614007e-14,-3.717942407140659e-15,-1.575148008571068e-14,1.229542108427913e-13,,,,,,
frozenset({'PSPTO_0080'}),9.227221970838345e-15,-1.15537391514385e-14,2.642132807833707e-16,-4.050080872177604e-16,2.384539429539136e-14,-1.979701843285699e-17,-4.702508969815727e-16,8.38979644137038e-17,1.430747619556936e-15,-1.237892305313765e-15,5.922141637527111e-15,2.179359860340096e-17,-1.443928392307774e-15,8.37265784807801e-15,-1.628095414429733e-17,-8.392422670670142e-18,0.0,-4.959348224604089e-31,1.070197482812525e-15,6.736355104811584e-18,-6.427732925777149e-16,-1.777232993741345e-13,1.763614908865418e-15,5.546600194975175e-14,-2.149153755409242e-16,6.206624562011754e-17,1.879840534787248e-47,-2.507739953933405e-16,8.158031567969472e-16,7.960480701480045e-16,1.125136506780847e-14,6.726189943529093e-13,8.792459987157873e-15,-1.263617297283232e-16,-1.380893857731222e-15,5.24878995579187e-14,-2.859579632399022e-16,-6.269007514323989e-16,-6.460827970497275e-16,3.406066715399911e-16,-3.713667693028772e-18,4.372766771862712e-15,3.842336117448979e-16,-2.45753388787792e-15,3.487436951957335e-17,-1.465182948986062e-14,1.66419390427347e-15,1.318965484328417e-15,4.898284618265442e-16,-1.338854632661973e-13,1.544392486002777e-16,5.034204862763789e-16,5.439826109023291e-16,-5.097715147109408e-16,1.499219741267759e-15,6.35955631063842e-16,-5.549935667393656e-14,-2.742653054182198e-16,3.82564423139893e-15,-3.162415255583999e-17,-3.331560136911289e-14,6.146360082835757e-16,5.038687970768586e-17,6.132387102324828e-16,1.508725800659441e-15,6.682814249972182e-15,1.709298635451281e-17,3.803962135599338e-16,-1.442394895286111e-16,1.005508380297301e-16,4.641984983183497e-16,-2.61650029219464e-15,9.957444318186933e-17,-1.284187637424001e-16,-1.934043697044613e-14,1.038544483281817e-16,-4.664831657702738e-18,6.138126268221075e-14,-2.72404643412797e-15,-1.646093653488202e-14,2.813168576882397e-16,-4.407883333401038e-15,2.432382635383514e-15,-3.113884917539952e-16,2.793458121951001e-16,-2.587966570387629e-16,-6.074253229204821e-14,5.996171624863134e-17,-8.750185236636076e-16,7.118922216814953e-16,-3.316890895197599e-16,-3.138610508718515e-16,-6.420031299411155e-15,-3.95480879953392e-16,1.014374937047857e-14,,,,,
