ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1570'}),-6.238372414065841e-15,-1.347397155255085e-15,-7.027164282111925e-15,1.461374068162346e-16,5.538963174691102e-18,0.0,1.480436720032555e-15,-4.357583197282084e-16,-3.648734771201025e-15,-2.543031229734608e-15,-1.637152006479053e-15,1.04369860422139e-16,-2.11673427304888e-15,6.175924432563677e-16,-1.651683088696901e-15,-1.513600413807349e-15,1.044954404349407e-29,-8.841083508684626e-16,5.706780336050246e-15,-1.747692113848507e-15,-1.77000782482025e-15,8.576912029572362e-16,1.126898046890947e-14,-4.751800687212768e-16,-4.804006697532786e-18,3.061066085782759e-15,-1.904482263120307e-15,9.225931010305266e-16,-1.543229308812088e-15,1.275798021073137e-15,3.049430868508569e-14,2.362122109602389e-15,1.975193203896098e-16,-1.1231372912188e-16,8.644561586750752e-15,4.892024154361637e-15,-1.331935725325252e-15,3.221517944299605e-15,-9.242034338875855e-16,-2.122425135598478e-15,1.247776193617219e-13,-1.660677716046666e-16,-1.375333684012711e-14,1.345558237710659e-17,-4.046510515517146e-14,-1.130829676464164e-15,1.730708133777579e-16,6.663290714073887e-18,-1.279544554566594e-15,-6.357894708481489e-14,-7.307550093563468e-15,-2.069828419347326e-14,-1.264307451877272e-16,5.558276174780032e-15,-2.57460288991954e-15,1.97464620715093e-15,-5.531017038220434e-15,8.190437578447323e-29,-5.525047325542453e-14,7.84123935581402e-16,1.875309978228037e-15,1.773947014098744e-15,-8.839630578087969e-15,-6.847311231994708e-15,4.36307526359948e-15,2.180475921795403e-15,-3.201308700999237e-15,5.046434784647072e-16,-3.931263498502756e-14,-5.111741918894398e-15,-1.091143378226594e-15,-5.421034964859996e-15,9.52210027789744e-14,-4.725004606755167e-16,-1.124818749876092e-17,2.297844805598592e-18,2.179916955586883e-16,6.918391006111215e-16,1.184638246236488e-14,-1.714639720616043e-15,-3.856864192092348e-16,8.449450501597561e-16,7.21888259112912e-15,1.685791377749455e-17,-7.537787926815743e-17,8.898864081918797e-16,-6.653405019789377e-30,1.893056806313761e-15,,,,,,,,,,,,
frozenset({'223283.9.peg.3813'}),-2.144096721635277e-16,1.269182612576092e-15,3.447547070576823e-15,2.084129191520285e-16,-1.58696537855979e-15,-4.683431874239748e-16,-1.814979111772132e-14,2.516727942834277e-19,1.712620955760219e-17,3.385777413460729e-15,-5.452642554686063e-15,7.945509374532351e-13,4.65655673606668e-18,0.0,3.859877397926389e-18,-3.047830463742647e-16,4.049709085450721e-15,-2.444754702438618e-15,8.512921185297251e-16,-1.776680003978387e-17,7.341408211100407e-16,-2.650070422897374e-15,-7.857421429702483e-16,2.128287028774112e-15,-1.238713255027892e-15,5.942913029901991e-16,-4.694165098836218e-16,5.357545692860675e-16,-6.54846479723594e-30,-6.652981212127276e-15,2.705420325680608e-17,-1.484498775828128e-18,1.200893269683595e-15,1.056093248236846e-15,-9.2288964147535e-16,1.155470131614564e-15,-1.30106163098833e-15,-7.538035445356262e-16,-1.245107883471238e-16,1.113349358741086e-15,1.550417265189998e-17,-5.801685770796216e-15,-4.472597532285504e-14,8.894750140337421e-16,-8.747302642636698e-16,-9.993615989412828e-17,9.929142243248903e-16,2.454983139644161e-15,1.139539255321014e-15,6.542359745122364e-16,1.395415554840017e-15,-9.243075082878387e-15,1.684438275374129e-16,6.043345639250671e-15,5.845398959916746e-16,-1.331804638446864e-14,-3.311462744766842e-15,-1.723582470787951e-17,-1.146415755788166e-15,6.967197615764525e-14,1.449058113479858e-17,6.346596312728741e-27,-1.584182471291176e-15,3.501076438885167e-15,-4.536724689453615e-15,-2.286336910242204e-15,1.966940410363351e-15,2.624409170158511e-15,4.167462462354381e-16,-1.004077529715643e-15,-3.199620327593173e-14,-1.95237846954407e-13,1.348002047669411e-15,-2.432610606353217e-16,-1.384804480598848e-13,3.756771023902292e-15,3.07454559005019e-15,1.391840595494023e-15,1.375158765121544e-28,1.580677702959897e-15,-6.077458033023132e-16,3.126840410630771e-15,-1.467312639157271e-13,2.80115847339997e-16,1.274909002271352e-15,4.786265250915983e-16,1.668558815972142e-15,-1.680289938395038e-15,-2.592186605549126e-16,-4.073568415594684e-15,1.804941076893322e-15,3.692237093083428e-15,3.574504542826924e-14,1.66629403818448e-18,3.410570959553575e-13,1.683380611755671e-15,-5.871842974790453e-14,-6.008056912736019e-16,,
frozenset({'223283.9.peg.3927'}),-1.07391647354776e-19,0.0,3.898388471699057e-16,1.791931147273442e-19,-7.944893002027986e-16,8.25053460143026e-15,-4.778752414802185e-15,-3.030443103604911e-16,1.740987839837939e-14,-4.897743591762494e-16,-3.814402921960139e-15,6.685727628853098e-15,-6.100617295711202e-15,2.15866448920918e-13,-4.81557007467751e-16,-1.557395443796101e-15,-6.081864360976138e-13,2.707187524559755e-15,-3.946884736301928e-18,1.820573974355678e-16,3.870187609879203e-16,1.177258481270356e-14,2.109831632439059e-15,-1.102950752405455e-13,5.120185437647444e-16,3.251375745786513e-15,-9.773235570391264e-14,3.564908470720931e-15,-3.252162530830577e-13,1.008845904443169e-15,2.15981154778892e-15,1.962407358378946e-16,2.479000158343989e-14,9.618901575771499e-15,-5.705293438102808e-16,1.05056641639489e-15,9.35594709126995e-15,3.453824321759442e-16,3.736622784642347e-15,5.501406226222025e-16,3.261544057065972e-15,5.283715437651764e-15,-1.79243240507916e-15,-2.547447777990721e-15,-5.617780921889283e-15,-1.033656744154972e-14,6.058981015810189e-16,1.202295557414682e-14,-4.286963199215281e-15,2.898329385671354e-15,2.360225177340752e-14,-1.171800928664848e-15,5.134467497895078e-15,-3.116780258521679e-16,-2.902836495219595e-14,-4.61785186641918e-14,1.613751462217107e-14,1.944259287213611e-15,2.729475052376166e-14,1.403357446778988e-16,2.079113118967491e-16,-1.728314884310342e-14,-3.91034332003274e-14,-4.670796366538782e-15,-2.460646641370413e-15,1.537725224233009e-14,8.708898722777113e-15,-4.28825051508158e-15,-4.101255932130903e-15,5.664002470769062e-16,2.450665459411988e-15,1.152471790004745e-14,2.939310193940174e-15,4.644327809470866e-15,,,,,,,,,,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.3930'}),3.225064664395285,3.226267392779221,3.226267392779161,3.454797475300034,3.862820956341803,3.22626739277919,3.862820956341878,3.862411327171072,3.862411327171118,3.862820956341789,3.220228913198905,3.862411327171317,3.862411327171146,3.862820956341701,3.862411327171082,3.862820956341839,3.220228913198992,3.226267392779205,3.226828020823594,3.86241132717114,3.862411327171106,3.226267392779254,3.226267392779225,3.454797475299839,3.454797475300102,3.862820956341802,3.22626739277924,3.862820956342056,3.859769008531473,3.226828020786053,3.862411327171069,3.859769008532544,3.862820956342135,3.862411327171079,3.862820956341786,3.86282095634195,3.862411327170295,3.862411327171166,3.862411327171128,3.226828020786503,3.86282095634185,3.862820956341829,3.862820956341887,3.226267392779199,3.226267392779176,3.862820956341888,3.220228913198927,3.862820956341814,3.246715410052541,3.862411327171051,3.86282095634181,3.862411327171162,3.862820956341021,3.22626739277921,3.862411327171132,3.226267392779211,3.226267392779201,3.220787444376302,3.862820956341753,3.86241132717113,3.862820956341739,3.862820956341843,3.862411327171164,3.862411327171139,3.22626739277916,3.862820956340639,3.862411327169756,3.862411327171191,3.862820956341809,3.862820956341769,3.226267392778938,3.862820956341863,3.454797475300135,3.22386283241355,3.862820956341903,3.454797475300099,3.862820956341923,3.862820956341833,3.862820956341792,3.862411327171109,3.862820956342439,3.220228913198488,3.849342473370813,3.862411327171137,3.862411327171125,3.862820956341895,3.862411327171428,3.862820956341866,3.862411327170496,3.22626739277923,3.86241132717123,3.220228913198882,3.862820956344803,3.862411327171102,3.862820956341871,,,,,
frozenset({'223283.9.peg.5202'}),3.225064664395336,3.226267392779225,3.226267392779299,3.45479747530009,3.862820956341462,3.226267392779184,3.862820956341704,3.86241132717184,3.862411327171176,3.862820956341793,3.220228913198931,3.862411327171106,3.86241132717111,3.862820956341456,3.862411327171028,3.862820956341762,3.220228913198917,3.226267392779234,3.226828020786076,3.862411327171134,3.862411327171122,3.226267392779236,3.226267392779204,3.454797475300132,3.454797475300089,3.862820956341815,3.22626739277919,3.86282095634182,3.85976900853257,3.226828020786078,3.862411327168732,3.859769008532637,3.862820956341779,3.862411327170947,3.862820956325324,3.862820956341917,3.862411327171623,3.862411327171065,3.862411327171104,3.226828020785999,3.862820956341899,3.862820956341907,3.862820956341835,3.22626739277923,3.226267392779218,3.862820956341837,3.22022891319895,3.862820956341824,3.246715410052487,3.862411327171094,3.862820956341829,3.86241132717112,3.862820956341821,3.226267392779177,3.862411327171076,3.226267392779192,3.226267392779226,3.220787444376699,3.862820956341948,3.862411327171073,3.862820956341891,3.862820956341859,3.862411327171109,3.862411327171687,3.226267392779252,3.862820956341798,3.862411327171111,3.862820956341806,3.862820956341896,3.226267392779197,3.862820956341807,3.454797475300148,3.223862832413531,3.862820956341738,3.454797475300086,3.862820956341739,3.862411327171138,3.862820956341773,3.862820956341861,3.862411327171574,3.862820956341697,3.862820956341832,3.220228913198996,3.849342473370791,3.862411327171145,3.862411327171172,3.862411327173225,3.862820956341726,3.862820956341799,3.862411327171097,3.226267392779481,3.86241132717113,3.862411327170803,3.220228913200304,3.862820956341792,3.862411327171086,3.862820956341883,,,
frozenset({'PSPTOA0036'}),3.225064664394155,3.226267392779463,3.226267392779244,3.454797475300092,3.862820956341817,3.226267392772496,3.862820956378319,3.862411327169847,3.862411327171114,3.862820956341806,3.220228913177245,3.862411327171893,3.86241132717206,3.862820956341675,3.862411327166896,3.862820956341936,3.220228913157804,3.226267392779188,3.226828020785681,3.862411327170377,3.862411327171157,3.226267392779237,3.226267392779206,3.454797475300132,3.454797475291812,3.86282095634182,3.226267392779202,3.862820956327957,3.859769008526864,3.226828020785394,3.86241132717138,3.859769008532462,3.862820956341942,3.862411327171077,3.86282095633965,3.862411327170867,3.862411327170932,3.86241132717041,3.226828020786036,3.862820956339148,3.862820956341873,3.862820956342023,3.22626739277923,3.226267392779236,3.862820956344873,3.220228913198919,3.862820956342008,3.246715410052393,3.862411327171115,3.862820956341622,3.86241132717112,3.862820956341821,3.226267392779179,3.862411327171128,3.226267392779193,3.220787444378435,3.862820956341927,3.862411327171083,3.862820956344257,3.862820956340153,3.862411327163242,3.862411327171126,3.226267392779258,3.862820956329444,3.862411327171121,3.862411327193297,3.862820956341803,3.86282095633955,3.226267392767605,3.862820956341797,3.454797475300046,3.223862832474851,3.862820956341795,3.454797475298122,3.862820956336655,3.862411327170489,3.862820956341824,3.862820956340492,3.862820956339673,3.226267392779204,3.862820956341849,3.220228913198993,3.849342473370793,3.862411327171067,3.86241132716364,3.862411327171145,3.862820956341777,3.862411327172691,3.862820956341836,3.862411327171249,3.226267392779276,3.862411327170086,3.862411327171321,3.22022891320047,3.86282095634189,3.862411327171085,3.862820956342277,,,
frozenset({'PSPTO_0062'}),3.225064664395448,3.226267392779197,3.226267392779221,3.454797475300122,3.862820956341912,3.226267392779173,3.862820956341753,3.862411327171134,3.862411327171129,3.862820956341855,3.220228913198941,3.86241132717122,3.862411327171092,3.862820956341786,3.862411327171094,3.862820956341841,3.220228913198739,3.226267392779238,3.226828020785995,3.862411327171147,3.862411327171056,3.226267392779216,3.226267392778687,3.454797475300298,3.454797475300096,3.862820956341829,3.862820956341965,3.859769008532492,3.226828020786548,3.862411327171211,3.859769008532499,3.862820956341869,3.862411327171144,3.862820956341783,3.862411327171197,3.862411327171076,3.862411327171059,3.226828020786105,3.862820956341668,3.862820956341843,3.862820956341958,3.226267392779195,3.862820956341868,3.220228913198782,3.862820956341808,3.246715410052532,3.862411327171074,3.862411327171548,3.862820956341892,3.226267392779186,3.226267392779071,3.226267392779206,3.22078744437618,3.862820956341847,3.862411327171053,3.862820956341874,3.862411327174324,3.86241132717127,3.226267392779184,3.862820956341801,3.862411327171078,3.862820956341674,3.862820956341777,3.862820956341728,3.454797475300065,3.223862832413655,3.862820956340503,3.454797475300114,3.862820956341726,3.862411327171098,3.862820956341822,3.862820956342607,3.862411327172657,3.862820956341919,3.226267392779252,3.862820956341837,3.220228913198933,3.84934247337077,3.862411327171044,3.862411327171177,3.862411327171101,3.862820956342865,3.862411327171158,3.862411327171161,3.226267392779261,3.862411327171108,3.862411327171116,3.220228913198909,3.862820956341823,3.862411327171069,3.862820956341733,,,,,,,,,
frozenset({'PSPTO_0073'}),3.225064664396291,3.226267392779011,3.226267392779219,3.454797475300074,3.862820956341877,3.226267392779184,3.862820956341511,3.862411327171102,3.862411327171205,3.862820956341879,3.220228913195995,3.862411327171066,3.86241132717312,3.862820956341856,3.862411327171337,3.862820956341924,3.220228913198866,3.226267392781096,3.226828020785899,3.862411327171059,3.862411327171472,3.226267392779966,3.226267392779239,3.454797475300116,3.454797475300085,3.862820956342842,3.226267392779213,3.862820956341786,3.859769008532439,3.226828020786049,3.862411327170924,3.859769008532563,3.862820956341755,3.862411327171166,3.862820956341766,3.862820956341813,3.862411327171078,3.862411327171165,3.862411327170059,3.226828020786074,3.862820956341901,3.862820956341892,3.862820956341832,3.226267392778757,3.226267392779484,3.862820956341795,3.220228913200365,3.862820956341736,3.246715410052498,3.862411327171069,3.862820956341554,3.862411327171098,3.862820956341802,3.226267392779046,3.862411327171111,3.226267392779244,3.226267392779194,3.220787444376708,3.86241132717106,3.862820956341859,3.862820956341965,3.862411327171113,3.862411327171041,3.226267392779222,3.862820956341884,3.862411327171258,3.862411327171149,3.862820956341718,3.86282095634177,3.226267392762163,3.862820956341805,3.454797475300071,3.223862832413512,3.862820956341803,3.454797475300201,3.86282095634116,3.862411327171176,3.862820956341908,3.862820956341836,3.862411327170113,3.862820956342439,3.226267392779143,3.86282095634187,3.220228913198994,3.849342473370807,3.862411327171118,3.862411327171164,3.862411327171186,3.862820956341722,3.862411327171184,3.862820956341851,3.862411327171051,3.226267392778776,3.220228913207373,3.862820956341798,,,,,
frozenset({'PSPTO_0075'}),1.302619068022372e-13,-1.331851555533885e-12,6.179925174783829e-13,9.784239548214301e-14,-3.497772076701035e-12,2.759763100936326e-15,2.453310842621359e-13,8.030184405206518e-15,1.755107014921441e-14,2.844770252556784e-13,-1.319206583239531e-12,-1.88867513272922e-13,2.082239651537958e-13,2.205532862524026e-13,2.188452548286702e-14,-3.884567036974373e-13,-5.604645324722428e-14,3.163926830513577e-13,-1.693744300482586e-13,0.0,5.514962296261047e-14,4.30078270056646e-13,-1.587953390520229e-12,-5.492926545256866e-14,2.031716241498792e-13,2.466386966874383e-16,-1.878744120253687e-13,-1.656742280319781e-13,6.33556478267321e-14,-2.875953538226906e-14,-2.95806534022191e-13,-1.047969592434635e-13,-4.552192232623746e-13,-4.895621737238584e-13,7.941906854300787e-14,-1.780602310980936e-13,-4.984389700990979e-13,-4.645939567183253e-14,-9.153942768564288e-14,3.389670045420408e-13,-1.738930641877665e-14,1.947728102942952e-14,-6.789665744138546e-14,-1.96218880862773e-13,-2.786092497648186e-15,-3.523223724051804e-14,-2.515821801939852e-13,-5.397349698952973e-14,5.446670875309484e-14,-4.02171807623017e-13,-3.765145209519497e-13,1.958908036054562e-13,-1.828664923720716e-10,1.350508254082953e-16,2.995026950579543e-13,2.488218898899851e-13,1.258492747225665e-14,2.068256103604502e-13,-1.285338133444546e-13,-2.871943431005559e-12,-4.906185016819341e-15,3.469333377877981e-13,-8.585609981524225e-13,1.024558660471631e-13,-1.476655632480443e-13,6.461712583356477e-14,2.137713783906978e-13,6.44670093191003e-15,-4.501822448908246e-13,8.893174472013675e-14,-4.215081059992112e-13,9.443710619953895e-15,-1.000251190113391e-13,-1.971843138095385e-14,2.277371061939086e-13,8.587798956909392e-13,4.413199292311901e-13,-2.773501086893936e-14,-2.301099435932912e-16,-2.692187722806382e-12,2.245696779313238e-13,-8.693510845132049e-14,-3.009541206375118e-14,1.226491723418178e-13,-2.344546882671741e-13,1.659738007582638e-13,-1.367589155309294e-13,-3.81218054659245e-14,-1.072676930687825e-12,,,,,,,,,,,
frozenset({'PSPTO_0080'}),-2.275706002259562e-16,1.712676889554067e-15,-4.851070302750266e-14,1.385984480693993e-13,1.431694741806432e-12,1.089493974967198e-15,3.520726154267939e-16,3.381812525794558e-31,-1.447377837544315e-16,-2.355434867188718e-15,-1.822561583916148e-15,0.0,3.939611196110464e-28,3.861752088080959e-16,-1.399955503537438e-16,-6.880574128953146e-13,-3.492272178036951e-14,-2.247421564712026e-15,2.758671995106595e-16,4.820769714150962e-18,5.997346172549691e-17,4.448014058255752e-15,-3.217387907294355e-15,-1.801934907958912e-14,-1.603028168980766e-14,-2.52445391723113e-14,6.702096776389578e-28,3.625830557608008e-16,-6.02284248508056e-13,4.435155446255802e-18,1.131379716043809e-30,1.484364078489458e-14,2.631295857987797e-16,1.745743889562005e-14,-1.70806427973001e-16,-3.367378962052719e-16,-5.114381112756903e-14,1.880047621156794e-15,-2.907814060131854e-13,1.931711509041702e-16,2.992367062919971e-12,1.520062379050288e-16,4.99952948904595e-16,6.610097062462863e-14,-1.099706122762235e-15,9.430625905369416e-16,-1.489867700548954e-15,1.129459436285566e-14,-2.940604922832399e-15,-2.777459821313293e-15,3.199418279603297e-14,-5.182112902175465e-15,-1.023919264261827e-12,-9.648938704261881e-14,-1.126837932573169e-16,3.554573740087112e-14,-9.469353750250095e-15,3.165477624573645e-18,3.93445357434343e-15,-5.44061927715422e-15,6.385048699634595e-17,1.067448680835602e-17,-7.21898862125412e-16,1.501263955358118e-15,-1.812076827481385e-30,2.903703233807344e-12,5.626198505337216e-13,1.648106011480786e-16,7.153675501291015e-16,-5.56606047537264e-16,6.223320366809221e-14,1.849939813825914e-15,9.799916784387994e-16,-5.567362381976091e-15,4.877949148558504e-18,3.542844427773944e-16,4.546662690611389e-15,-2.119250385632554e-15,4.37967881973054e-15,1.662854349135341e-15,-1.132985266231092e-14,-1.228825355660348e-16,5.236748958006593e-18,-4.259846846835538e-15,-6.963480932119864e-13,1.968343581072589e-15,3.656635946778933e-16,1.904947681465854e-17,7.679135046000908e-16,1.146005854776625e-12,-4.727514196258218e-13,-1.079245332494251e-15,,,,,,,,
