,0
['\n'],45
['Purine metabolism'],5
['Metabolic pathways'],30
['Biosynthesis of secondary metabolites'],18
['Biosynthesis of antibiotics\n'],8
['Biotin metabolism'],4
['Metabolic pathways\n'],13
"['Phenylalanine, tyrosine and tryptophan biosynthesis']",10
['Biosynthesis of antibiotics'],14
['Biosynthesis of amino acids\n'],10
['Folate biosynthesis'],3
['Pantothenate and CoA biosynthesis'],3
"['Glycine, serine and threonine metabolism']",2
['Riboflavin metabolism'],3
['Biosynthesis of secondary metabolites\n'],4
['Streptomycin biosynthesis'],4
['Polyketide sugar unit biosynthesis'],4
['Acarbose and validamycin biosynthesis'],2
['Sulfur metabolism'],2
['ABC transporters\n'],2
['Pyrimidine metabolism'],3
['Nicotinate and nicotinamide metabolism'],2
['Fatty acid biosynthesis'],4
['Fatty acid metabolism\n'],5
['Cysteine and methionine metabolism'],1
['Tyrosine metabolism'],1
['Phenylalanine metabolism'],1
['Novobiocin biosynthesis'],1
['Fatty acid degradation'],1
"['Valine, leucine and isoleucine degradation']",1
['Geraniol degradation'],1
['Lysine degradation'],1
['Benzoate degradation'],1
['Tryptophan metabolism'],1
['beta-Alanine metabolism'],1
['Propanoate metabolism'],1
['Butanoate metabolism'],1
['Limonene and pinene degradation'],1
['Caprolactam degradation'],1
['Microbial metabolism in diverse environments'],1
['Carbon metabolism'],1
['Lipopolysaccharide biosynthesis'],2
['Glycerophospholipid metabolism'],1
['Porphyrin and chlorophyll metabolism'],2
['Microbial metabolism in diverse environments\n'],2
['Quorum sensing\n'],1
['One carbon pool by folate'],1
