ids,growth,status
frozenset({'PSPTO_0699'}),-2.1690174448142998e-14,optimal
frozenset({'PSPTO_0480'}),118.52448094946365,optimal
frozenset({'PSPTO_0766'}),118.52448094946365,optimal
frozenset({'PSPTO_0459'}),118.52448094946365,optimal
frozenset({'PSPTO_1354'}),118.52448094946365,optimal
frozenset({'PSPTO_2213'}),118.52448094946357,optimal
frozenset({'PSPTO_1080'}),5.4225436120357495e-15,optimal
frozenset({'PSPTO_0961'}),0.0,optimal
frozenset({'PSPTO_4690'}),118.52448094946402,optimal
frozenset({'PSPTO_1053'}),118.52448094946385,optimal
frozenset({'PSPTO_0873'}),118.52448094946385,optimal
frozenset({'PSPTO_4339'}),118.52448094946385,optimal
frozenset({'PSPTO_5541'}),118.52448094946385,optimal
frozenset({'PSPTO_4312'}),118.52448094946385,optimal
frozenset({'PSPTO_0364'}),118.52448094946385,optimal
frozenset({'PSPTO_0541'}),118.52448094946385,optimal
frozenset({'PSPTO_0981'}),118.47397830390149,optimal
frozenset({'PSPTO_2402'}),118.52448094946385,optimal
frozenset({'PSPTO_2300'}),0.0,optimal
frozenset({'PSPTO_2100'}),-1.49851121719328e-13,optimal
frozenset({'PSPTO_3164'}),118.52448094946374,optimal
frozenset({'PSPTO_3832'}),5.673707798559158e-13,optimal
frozenset({'PSPTO_1749'}),7.071967540384164e-13,optimal
frozenset({'PSPTO_2338'}),118.52448094946384,optimal
frozenset({'SPONTANEOUS'}),118.52448094946384,optimal
frozenset({'PSPTO_5023'}),118.52448094946384,optimal
frozenset({'PSPTO_0956'}),97.76393502477347,optimal
frozenset({'PSPTO_1077'}),4.871912419691329e-14,optimal
frozenset({'PSPTO_0566'}),118.52448094946361,optimal
frozenset({'223283.9.peg.3813'}),8.915694626282512e-14,optimal
frozenset({'PSPTO_3829'}),-1.9929199752866794e-13,optimal
frozenset({'PSPTO_0500'}),118.52448094946301,optimal
frozenset({'PSPTO_4682'}),118.52448094946301,optimal
frozenset({'PSPTO_5728'}),118.52448094946301,optimal
frozenset({'PSPTO_3461'}),118.52448094946301,optimal
frozenset({'PSPTO_0457'}),118.52448094946301,optimal
frozenset({'PAPTO_2706'}),118.52448094946301,optimal
frozenset({'PSPTO_3815'}),118.52448094946301,optimal
frozenset({'PSPTO_5597'}),-1.72716152905011e-14,optimal
frozenset({'PSPTO_0103'}),118.52448094945177,optimal
frozenset({'PSPTO_2368'}),118.52448094945177,optimal
frozenset({'PSPTO_2912'}),118.52448094945177,optimal
frozenset({'PSPTO_3027'}),118.52448094945177,optimal
frozenset({'PSPTO_0982'}),118.47397830385124,optimal
frozenset({'PSPTO_1542'}),-1.4854103759479236e-13,optimal
frozenset({'PSPTO_0691'}),-3.183022234174122e-14,optimal
frozenset({'PSPTO_3793'}),-1.2882751989114065e-10,optimal
frozenset({'PSPTO_1748'}),118.52448094946402,optimal
frozenset({'PSPTO_0598'}),118.52448094946402,optimal
frozenset({'PSPTO_5068'}),-1.4176369180561035e-14,optimal
