ids,growth,group
frozenset({'223283.9.peg.3813'}),8.92E-14,1
frozenset({'223283.9.peg.3927'}),9.76E-15,1
frozenset({'PSPTO_0085'}),-1.71E-13,1
frozenset({'PSPTO_0158'}),-9.79E-14,1
frozenset({'PSPTO_0159'}),-3.66E-15,1
frozenset({'PSPTO_0170'}),-6.37E-15,1
frozenset({'PSPTO_0186'}),-1.96E-13,1
frozenset({'PSPTO_0308'}),-4.80E-14,1
frozenset({'PSPTO_0310'}),-2.53E-14,1
frozenset({'PSPTO_0357'}),-1.57E-13,1
frozenset({'PSPTO_0383'}),-7.06E-13,1
frozenset({'PSPTO_0417'}),3.18E-13,1
frozenset({'PSPTO_0494'}),-5.76E-12,1
frozenset({'PSPTO_0542'}),3.61E-15,1
frozenset({'PSPTO_0593'}),2.85E-13,1
frozenset({'PSPTO_0594'}),1.85E-14,1
frozenset({'PSPTO_0690'}),6.73E-14,1
frozenset({'PSPTO_0691'}),-3.18E-14,1
frozenset({'PSPTO_0693'}),-7.26E-14,1
frozenset({'PSPTO_0698'}),-7.01E-14,1
frozenset({'PSPTO_0699'}),-2.17E-14,1
frozenset({'PSPTO_0809'}),8.64E-14,1
frozenset({'PSPTO_0923'}),5.46E-15,1
frozenset({'PSPTO_0960'}),1.82E-11,1
frozenset({'PSPTO_0961'}),0,1
frozenset({'PSPTO_1077'}),4.87E-14,1
frozenset({'PSPTO_1079'}),4.63E-14,1
frozenset({'PSPTO_1080'}),5.42E-15,1
frozenset({'PSPTO_1081'}),-5.59E-14,1
frozenset({'PSPTO_1428'}),1.92E-14,1
frozenset({'PSPTO_1430'}),1.17E-13,1
frozenset({'PSPTO_1434'}),4.42E-14,1
frozenset({'PSPTO_1449'}),0,1
frozenset({'PSPTO_1459'}),-1.71E-12,1
frozenset({'PSPTO_1536'}),5.57E-14,1
frozenset({'PSPTO_1540'}),-1.81E-14,1
frozenset({'PSPTO_1542'}),-1.49E-13,1
frozenset({'PSPTO_1547'}),6.83E-14,1
frozenset({'PSPTO_1552'}),-3.87E-14,1
frozenset({'PSPTO_1553'}),-3.87E-15,1
frozenset({'PSPTO_1562'}),2.95E-14,1
frozenset({'PSPTO_1661'}),4.50E-14,1
frozenset({'PSPTO_1671'}),3.72E-14,1
frozenset({'PSPTO_1675'}),-1.08E-13,1
frozenset({'PSPTO_1747'}),-2.06E-13,1
frozenset({'PSPTO_1749'}),7.07E-13,1
frozenset({'PSPTO_2043'}),3.92E-14,1
frozenset({'PSPTO_2100'}),-1.50E-13,1
frozenset({'PSPTO_2163'}),-2.24E-14,1
frozenset({'PSPTO_2210'}),3.46E-14,1
frozenset({'PSPTO_2282'}),1.12E-14,1
frozenset({'PSPTO_2300'}),0,1
frozenset({'PSPTO_2510'}),3.69E-11,1
frozenset({'PSPTO_2595'}),2.31E-13,1
frozenset({'PSPTO_2732'}),1.03E-13,1
frozenset({'PSPTO_2737'}),3.37E-14,1
frozenset({'PSPTO_3022'}),4.67E-14,1
frozenset({'PSPTO_3344'}),9.52E-14,1
frozenset({'PSPTO_3517'}),-1.05E-14,1
frozenset({'PSPTO_3721'}),-2.53E-14,1
frozenset({'PSPTO_3745'}),3.76E-13,1
frozenset({'PSPTO_3793'}),-1.29E-10,1
frozenset({'PSPTO_3814'}),2.21E-13,1
frozenset({'PSPTO_3829'}),-1.99E-13,1
frozenset({'PSPTO_3832'}),5.67E-13,1
frozenset({'PSPTO_3833'}),9.25E-14,1
frozenset({'PSPTO_3871'}),-7.86E-15,1
frozenset({'PSPTO_3950'}),-1.08E-11,1
frozenset({'PSPTO_4394'}),-5.64E-14,1
frozenset({'PSPTO_4397'}),2.05E-14,1
frozenset({'PSPTO_4402'}),9.90E-15,1
frozenset({'PSPTO_4449'}),1.17E-13,1
frozenset({'PSPTO_4495'}),4.63E-14,1
frozenset({'PSPTO_4496'}),-2.37E-13,1
frozenset({'PSPTO_4828'}),-2.80E-14,1
frozenset({'PSPTO_4859'}),5.32E-14,1
frozenset({'PSPTO_4866'}),1.30E-11,1
frozenset({'PSPTO_4922'}),1.46E-13,1
frozenset({'PSPTO_4955'}),-3.60E-15,1
frozenset({'PSPTO_4978'}),-2.64E-13,1
frozenset({'PSPTO_5068'}),-1.42E-14,1
frozenset({'PSPTO_5118'}),-1.85E-13,1
frozenset({'PSPTO_5127'}),-3.16E-12,1
frozenset({'PSPTO_5265'}),3.06E-13,1
frozenset({'PSPTO_5266'}),-1.13E-13,1
frozenset({'PSPTO_5401'}),1.67E-13,1
frozenset({'PSPTO_5461'}),-1.99E-13,1
frozenset({'PSPTO_5595'}),1.22E-14,1
frozenset({'PSPTO_5597'}),-1.73E-14,1
frozenset({'PSTPO_3833'}),-1.58E-13,1
