ids,growth,group
frozenset({'PSPTO_4828'}),-1.56E-11,2
frozenset({'PSPTO_0092'}),-9.94E-12,2
frozenset({'PSPTO_2510'}),-5.33E-12,2
frozenset({'PSPTO_4859'}),-4.42E-12,2
frozenset({'PSPTO_4866'}),-3.22E-12,2
frozenset({'PSPTO_0960'}),-3.08E-12,2
frozenset({'PSPTO_1459'}),-2.97E-12,2
frozenset({'PSPTO_0981'}),-2.34E-12,2
frozenset({'PSPTO_0699'}),-2.13E-12,2
frozenset({'PSPTO_0082'}),-2.03E-12,2
frozenset({'PSPTO_2100'}),-1.52E-12,2
frozenset({'PSPTO_5595'}),-4.36E-13,2
frozenset({'PSPTO_5049'}),-4.31E-13,2
frozenset({'PSPTO_1675'}),-4.17E-13,2
frozenset({'PSPTO_5597'}),-2.59E-13,2
frozenset({'PSPTO_2043'}),-2.06E-13,2
frozenset({'PSPTO_4164'}),-1.91E-13,2
frozenset({'PSPTO_5127'}),-1.70E-13,2
frozenset({'PSPTO_4501'}),-8.21E-14,2
frozenset({'PSPTO_5126'}),-8.07E-14,2
frozenset({'PSPTO_2732'}),-7.90E-14,2
frozenset({'PSPTO_1434'}),-5.55E-14,2
frozenset({'PSPTO_3344'}),-3.75E-14,2
frozenset({'PSPTO_0690'}),-3.06E-14,2
frozenset({'PSPTO_1332'}),-3.02E-14,2
frozenset({'PSPTO_0698'}),-2.12E-14,2
frozenset({'PSPTO_5335'}),-2.03E-14,2
frozenset({'PSPTO_3832'}),-1.95E-14,2
frozenset({'PSPTO_3721'}),-1.93E-14,2
frozenset({'PSPTO_1536'}),-1.90E-14,2
frozenset({'PSPTO_4978'}),-1.88E-14,2
frozenset({'PSPTO_0310'}),-1.83E-14,2
frozenset({'PSPTO_1542'}),-1.76E-14,2
frozenset({'PSTPO_3833'}),-1.31E-14,2
frozenset({'PSPTO_2163'}),-1.30E-14,2
frozenset({'PSPTO_0594'}),-1.10E-14,2
frozenset({'PSPTO_0542'}),-1.07E-14,2
frozenset({'PSPTO_2742'}),-7.61E-15,2
frozenset({'223283.9.peg.3927'}),-6.56E-15,2
frozenset({'PSPTO_0693'}),-5.35E-15,2
frozenset({'PSPTO_3745'}),-4.61E-15,2
frozenset({'PSPTO_0308'}),-4.54E-15,2
frozenset({'PSPTO_1080'}),-4.27E-15,2
frozenset({'PSPTO_0691'}),-3.29E-15,2
frozenset({'PSPTO_4955'}),-2.67E-15,2
frozenset({'PSPTO_4439'}),-2.67E-15,2
frozenset({'PSPTO_0159'}),-2.61E-15,2
frozenset({'PSPTO_3833'}),-2.61E-15,2
frozenset({'PSPTO_0593'}),-2.61E-15,2
frozenset({'PSPTO_4397'}),-2.42E-15,2
frozenset({'PSPTO_0085'}),-2.34E-15,2
frozenset({'PSPTO_3871'}),-2.24E-15,2
frozenset({'PSPTO_0494'}),-2.20E-15,2
frozenset({'PSPTO_1428'}),-2.20E-15,2
frozenset({'PSPTO_5154'}),-2.11E-15,2
frozenset({'PSPTO_0417'}),-1.60E-15,2
frozenset({'PSPTO_1562'}),-1.59E-15,2
frozenset({'PSPTO_0961'}),-1.37E-15,2
frozenset({'PSPTO_2055'}),-1.33E-15,2
frozenset({'PSPTO_1430'}),-1.26E-15,2
frozenset({'PSPTO_3793'}),-1.26E-15,2
frozenset({'PSPTO_4402'}),-1.20E-15,2
frozenset({'PSPTO_3517'}),-1.06E-15,2
frozenset({'PSPTO_1540'}),-6.14E-16,2
frozenset({'PSPTO_4438'}),-6.14E-16,2
frozenset({'PSPTO_2737'}),-5.75E-16,2
frozenset({'PSPTO_1480'}),-1.75E-16,2
frozenset({'PSPTO_0325'}),-1.40E-16,2
frozenset({'PSPTO_2595'}),-7.69E-17,2
frozenset({'PSPTO_5461'}),-5.31E-17,2
frozenset({'PSPTO_3829'}),-1.41E-17,2
frozenset({'PSPTO_2300'}),6.34E-18,2
frozenset({'PSPTO_1449'}),7.07E-17,2
frozenset({'PSPTO_4449'}),1.46E-16,2
frozenset({'PSPTO_5047'}),1.81E-16,2
frozenset({'PSPTO_0982'}),1.81E-16,2
frozenset({'PSPTO_2739'}),2.56E-16,2
frozenset({'PSPTO_5401'}),6.62E-16,2
frozenset({'223283.9.peg.3813'}),7.47E-16,2
frozenset({'PSPTO_1633'}),8.29E-16,2
frozenset({'PSPTO_0598'}),9.18E-16,2
frozenset({'PSPTO_0186'}),1.27E-15,2
frozenset({'PSPTO_1077'}),1.27E-15,2
frozenset({'PSPTO_1552'}),2.63E-15,2
frozenset({'PSPTO_4495'}),2.63E-15,2
frozenset({'PSPTO_4496'}),2.63E-15,2
frozenset({'PSPTO_0170'}),2.68E-15,2
frozenset({'PSPTO_5068'}),4.09E-15,2
frozenset({'PSPTO_0158'}),4.67E-15,2
frozenset({'PSPTO_1661'}),5.44E-15,2
frozenset({'PSPTO_3814'}),6.08E-15,2
frozenset({'PSPTO_5118'}),6.56E-15,2
frozenset({'PSPTO_5266'}),6.58E-15,2
frozenset({'PSPTO_2210'}),6.72E-15,2
frozenset({'PSPTO_5035'}),6.72E-15,2
frozenset({'PSPTO_2282'}),7.36E-15,2
frozenset({'PSPTO_1081'}),8.27E-15,2
frozenset({'PSPTO_3022'}),8.33E-15,2
frozenset({'PSPTO_0809'}),8.93E-15,2
frozenset({'PSPTO_5265'}),1.19E-14,2
frozenset({'PSPTO_1553'}),1.62E-14,2
frozenset({'PSPTO_1547'}),1.74E-14,2
