ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
frozenset({'223283.9.peg.1'}),2.672123401846229e-13,1.662068073538463e-13,-2.135073506318082e-14,9.655837766951089e-14,-1.567719899503768e-13,-1.496126256515186e-14,-5.747038447726911e-16,4.886203922604271e-14,4.347522074782969e-14,-9.469832837034012e-15,0.0,6.623696190421063e-14,-8.632738099459433e-14,2.839092799655844e-11,-3.507299473092486e-13,9.516931856507037e-14,3.634014419316528e-14,1.936422776596456e-15,-6.210109311286475e-14,8.130872988483818e-14,-9.435631576017366e-15,-9.621575740803352e-16,1.948974057330536e-13,-8.63569722954707e-15,2.796217369010916e-14,-1.275107233272804e-13,7.931891629076589e-13,-7.969280474977132e-15,-1.619699432831189e-14,-3.388060304523661e-14,1.242856712298267e-14,3.163790897656982e-15,3.140529253753608e-15,-5.109327230335993e-14,3.676132479779866e-17,1.051761024898922e-15,3.706607610963277e-15,-4.677009678220055e-14,3.456423890942974e-12,9.658918820349127e-14,6.312047144626135e-14,-3.429198460667459e-14,-1.495906507888885e-13,-1.716277984369278e-14,-5.83760941177377e-14,2.393523825180961e-14,-1.044849991737016e-14,-5.068794132709239e-15,-2.446530893720423e-13,2.401034534541312e-13,5.519912986746355e-14,1.172490627552861e-14,-2.873519223863352e-16,1.427849709749466e-14,4.741485589842263e-15,5.017469759608977e-14,1.2972325962472e-14,-6.891635088190656e-16,5.641697908143669e-14,4.087627276068747e-15,-5.124065545327962e-13,2.678569656362111e-13,-6.283671611152653e-16,6.994317314721615e-15,1.77915763090867e-13,-2.081806163175926e-13,-5.940781495068647e-15,-3.166176220258233e-16,-1.213264458291118e-15,4.092986395899713e-15,-3.329247228030966e-17,4.842042038177676e-14,1.007806382905559e-14,1.988765718725305e-13,4.593239958243551e-13,-2.869073484848632e-13,7.920951869584176e-18,-5.266586881789032e-12,-6.633607969183463e-15,-5.393068545153535e-14,6.489763667559908e-13,2.929223266096716e-13,1.12890182770074e-13,5.859061923409733e-14,7.141694046380434e-14,8.028114650496874e-15,2.329311341606724e-14,5.18991577000205e-13,9.945147117362632e-15,,,,,,,,,
frozenset({'223283.9.peg.1290'}),6.861527782401521e-14,0.0,-1.001156188292822e-14,-2.189645528360244e-14,-3.40271674690143e-15,6.296781225189564e-14,-3.554857573415932e-13,4.131258875879424e-14,-3.616072901209291e-14,-1.920216876793734e-14,2.056773977786705e-13,2.060236906121773e-12,-4.629132187924778e-14,7.242265427041783e-14,-8.926423880835646e-14,-5.890389106499316e-14,-3.449858936766026e-13,-6.546507369708375e-13,-2.289503961149351e-15,4.480221321527572e-14,4.202450384515236e-14,9.644035896341997e-14,-6.94510894751812e-16,2.265670128776261e-14,-1.751594016051419e-14,-1.427191314136258e-13,7.979359362121381e-14,2.988125452496061e-14,8.294679583058912e-14,2.591069380253488e-15,-7.431805782385836e-14,-4.89846322136811e-14,-1.403381411896641e-16,-9.032317551717167e-15,2.323551136104063e-14,9.80910460642907e-15,5.71538742726896e-14,-1.364209774298873e-14,-5.368353371316712e-17,1.229269327740859e-16,1.261327562843261e-13,-2.864571885526796e-14,1.980336826051129e-13,2.755787024120723e-13,-3.515129640450235e-13,1.895014098654462e-14,7.545675432677009e-13,-9.914124463375289e-15,-8.58322411658223e-15,-2.733399149067524e-13,1.362702649535555e-13,5.987468860478727e-15,1.537937176987849e-13,2.643030310147991e-14,3.460507492432171e-14,1.812959493524263e-14,-2.977009616689322e-14,1.651011637074754e-15,7.186862976307417e-14,-1.927604061490749e-14,-3.978498897633725e-14,2.665570300793347e-14,2.404135591088289e-15,-1.869888657210467e-13,-5.365961537620966e-14,-1.63731882285722e-14,5.434417940877209e-14,1.20470302995462e-14,-8.361915994109788e-17,2.114243956601438e-16,-2.241267975089998e-14,8.45450853453153e-17,-1.853161508378622e-13,1.807327618640602e-13,1.636292931286246e-14,5.03580295659265e-14,3.508861084519968e-14,7.343653533183075e-17,-2.191528213613574e-12,-3.253533540303439e-14,5.549261236043311e-15,3.459218357502336e-14,-1.443079160878076e-12,1.424734762595316e-12,3.142456917779624e-13,-3.956087843577194e-15,-2.832959037714929e-14,4.356518921435382e-14,9.553957711133917e-15,-3.448176412590214e-14,,,,,,,,
frozenset({'223283.9.peg.1455'}),82.41356013629171,19.92858645102502,88.57700635641797,19.73971157081598,57.0874793382923,96.98238025914175,19.94433908811967,85.61544959164833,47.80217914020344,67.386674049272,76.55086225472387,77.34913215227189,44.27254378481329,61.34782293457705,49.94626137227274,43.8129066773626,105.0571298371191,32.85781344038543,8.099639803892869,60.0717813140173,76.74378271225348,44.90616867124657,11.26868161611913,108.2598426558482,15.57271498161166,47.48757214473044,65.26811465644907,79.89472185201018,73.40977747306277,0.3826841902337596,69.60244769998344,73.02081709957231,49.04175083990553,0.3826841902337398,24.83257862437659,28.75870109473057,98.52159666470347,23.96021707466993,59.36262351778636,0.3718955131355792,0.3706465700384669,34.58748148148297,37.57232490082123,66.05893606483671,72.48885171804143,78.89796469005627,91.2151243756866,21.62595269636365,63.85584177045926,75.95322090529021,57.85387608362723,0.3826841902337406,55.35382885250456,39.77319897031977,84.56760872175606,49.53027753148471,68.24864536198486,44.6178137019036,63.22340480135663,18.74897793523302,59.8712136138416,45.5400161489886,61.71395422006329,39.74502577969925,33.85879710304209,79.93518992790898,0.2898205666465516,65.80551605735081,97.86738976359665,0.3812652976134018,62.78674306870012,82.97967488730731,10.99510845007058,39.75048034509113,0.3718349010646707,0.3706465700384679,0.3074326200122524,33.5275766164452,0.3839042160793273,59.82135318359787,63.3478693684583,68.99740073398816,70.48077421171848,51.71819296557076,0.3718349010646653,0.3718955131355873,77.75593636234889,41.21353188081841,24.89587970626322,72.7779750593513,60.32572755565779,66.6451972745526,60.67910420913405,44.21413515859957,61.7229507678193,98.0405259590886,79.36669481221736,40.10503112456946
frozenset({'223283.9.peg.1494'}),-3.038913397895959e-28,0.0,1.626220669432168e-14,-2.592677121231348e-14,4.42265996276929e-29,-1.207899770469269e-27,4.312797207842215e-14,8.921011611924988e-29,-4.525064216984808e-15,-9.31341349987604e-15,1.130081486746307e-28,3.13716338412625e-15,-3.660840682195268e-29,-1.677995468710793e-29,-3.170424888727168e-29,6.580713434747295e-31,8.831123593652812e-15,1.30136044227701e-28,-7.216516449710183e-17,6.781868058858436e-13,-1.060836740477784e-27,-1.961794342361294e-15,3.706250690316311e-14,-2.26527315930247e-14,8.698296975541266e-14,9.926111668702835e-14,-2.9556755234975e-15,8.705493218955801e-28,-5.239974575475829e-14,-8.311538801242031e-30,4.871105745883308e-28,3.130834670668381e-14,1.347492225272313e-31,-9.005255092382261e-28,1.14946262289916e-15,-5.041119047482326e-14,3.090303418698219e-14,-1.19691550370343e-14,-2.159280530282901e-14,9.25570066864362e-28,-8.474877072690628e-15,1.2504690320586e-12,-1.420128528493321e-14,5.530221077443524e-30,-2.591954465474613e-14,-1.670433908834532e-15,-7.791529704776366e-17,5.313648500263055e-15,-5.787928582345859e-14,1.271504231583713e-30,8.90695747083601e-31,6.268348917568099e-16,-2.65932148855555e-14,-5.326446817397895e-28,7.031165141136589e-14,9.279995304834684e-15,-4.912855090670673e-15,9.863790402588743e-30,1.29344762076609e-14,7.107561712351295e-29,-5.132690620265658e-16,-4.829920085853641e-15,-5.213748773605352e-15,-1.993074618091308e-28,9.541372212766916e-31,-1.25775455003548e-29,1.160231807575191e-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1497'}),4.058037635438575e-11,-3.749998801180242e-14,-9.81789512652738e-15,0.0,8.275716971207675e-14,3.545529159873019e-14,-2.623359876696588e-14,5.099458078351348e-14,4.502566643956437e-13,-2.808673778005568e-14,3.237460586319135e-13,-1.045274692694827e-13,2.384120178658602e-14,-3.311392286227671e-14,-5.173314214845621e-14,-1.062048943613448e-13,-6.392877518715418e-14,6.51499271240593e-14,2.068763413536677e-14,-2.955503543643508e-13,1.143759270188963e-14,-6.603243658626812e-16,-2.841852384255781e-14,-3.899821416068816e-14,6.538481804566533e-14,-1.338491813087571e-13,-3.654042807396339e-13,-3.926870376240129e-15,8.008559044601094e-15,-7.71755380346962e-15,-1.303562733461894e-16,-2.400908121778016e-14,1.531500632060636e-13,5.006976822161065e-14,-2.51781367965031e-14,-1.248893865064872e-14,1.555160172229552e-16,-3.746312172434176e-17,-9.93242946103432e-14,-1.397711714314474e-14,-5.385253031450466e-14,-3.112610822537785e-13,6.751101686200357e-14,7.359352228241491e-14,1.511579499908741e-13,-6.164163834162926e-14,9.459471412574173e-15,-2.139563954981479e-12,-1.079183874751245e-14,-1.355044307209428e-13,-4.243251847025738e-14,-4.007779271846903e-14,-4.796204327364695e-13,6.128453810916693e-15,-4.644976200308287e-14,-1.199700506575453e-13,-1.709206310797808e-14,-2.677092875769519e-15,-8.951922106683317e-16,6.785381913438776e-17,8.110016983637978e-14,6.029153003721253e-14,-1.220727493529513e-15,-4.75687086511417e-15,2.341079328583569e-14,6.42991751293619e-13,1.513232613427807e-14,-3.578785480282157e-17,-4.680560824363253e-13,-7.188154634047907e-15,2.483868479647297e-16,-2.881501791871217e-13,-2.015612765811117e-14,3.916450516730519e-13,-2.424049366755339e-13,-1.245943581872386e-13,-1.6471152823325e-17,-1.814197308731815e-16,2.505077679637131e-13,2.473074881639267e-14,-4.238288068420704e-15,5.866599729636579e-14,3.615812490228632e-14,7.162484896916261e-15,-1.328231104358896e-14,6.67643156205687e-14,1.328462735232585e-13,-1.110564069538986e-14,,,,,,,,,,
frozenset({'223283.9.peg.1522'}),-4.676550104060324e-13,-3.452211444518949e-14,7.583118619063466e-13,4.99523277913173e-15,-5.394253739732238e-14,-7.241469092176458e-15,-5.861967746464987e-14,3.166536370444908e-14,1.701179565896357e-14,-5.230936157304568e-14,3.18445409780557e-13,-5.544388819129411e-14,1.045163013664034e-13,-2.361979316173602e-14,2.013586492566852e-14,1.873638621210745e-15,2.986250667133949e-13,-3.700487682549051e-13,2.404416366281012e-15,1.670684419608641e-13,-5.043158448213403e-13,-1.460075445022267e-12,7.864565266644862e-16,-1.318059382278825e-14,-1.450025452948287e-14,0.0,5.445756087702932e-14,7.931367605444776e-14,-6.214370267236794e-14,1.472743486020673e-13,1.04515642048441e-14,1.303879443787903e-14,-2.518976738659987e-15,-1.636526488679798e-14,1.929679510476998e-13,5.050187915605923e-16,2.052767936664562e-16,6.876273915569242e-16,-5.293313956145548e-14,4.013273977882926e-14,-1.137031474370044e-13,2.434067127066097e-14,1.079221055094044e-13,-1.797844938105619e-12,8.461546801614626e-14,1.219827168704208e-13,1.720810349056268e-13,1.394508123338327e-14,9.933208281650087e-14,-1.946908879223449e-13,-2.219888043981194e-13,-9.124446665284326e-15,3.458179735771884e-14,-5.188512199578241e-14,-1.18333252188968e-14,-7.28938772508939e-13,3.663088523180737e-14,-1.229161908799545e-13,1.459585789397921e-16,4.711728580005849e-13,3.188470323665056e-13,7.223811781205988e-15,3.708632023640739e-14,-5.211462244368152e-14,-4.810671490759429e-14,-6.814569485461625e-16,-4.464770571369107e-18,-1.790126367765808e-16,1.440380519312276e-13,2.05012950569821e-16,-9.597851571360005e-14,3.7286676354545e-14,-2.923505712763291e-16,-2.961065443498245e-13,-2.852079452849722e-14,1.079890572008517e-13,2.543254498132637e-14,7.04616681464863e-14,5.162433803850499e-14,-1.195802269723629e-14,-5.062878945214593e-14,1.107046186361419e-14,-6.640359550246119e-15,,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1560'}),0.0,1.010397872940082e-13,-4.045080000200019e-14,2.44782200050768e-14,1.171981331050485e-13,5.046619243515793e-14,3.720113545577178e-14,-4.823524306002475e-14,-1.930118120507739e-14,2.765666699543422e-13,-5.411275875501396e-13,-2.003853545809768e-14,-1.981711548633834e-26,2.017037247570112e-13,-5.641575912591697e-16,1.223751046879124e-13,1.004094924364693e-14,-4.034949829802879e-15,3.191128257283538e-15,-5.86940722151061e-14,-2.408930232749596e-14,1.311607962699127e-14,-2.498769156462717e-13,2.24142784505256e-14,-1.861553059450571e-11,-8.416387243223112e-14,8.484600442241079e-14,2.685260991933671e-14,9.64598736405459e-14,-3.601528793851577e-14,1.278356658514398e-13,8.869804203198651e-15,5.273360446322143e-30,-2.036295098957233e-15,-3.681889970056445e-13,-3.055279442524457e-14,4.722543233729807e-13,-8.956962798190216e-14,-1.667959142006163e-14,-2.045747579017533e-13,1.14799951391107e-13,5.392482272094143e-14,7.08805439278598e-15,-2.972677821955816e-14,-6.492293619595305e-17,-3.545130145856683e-12,-4.576343884131024e-14,-9.461454375181038e-14,-1.273716269692037e-13,6.039079000675716e-14,-3.847772700955768e-13,9.112971453208214e-14,6.646444751400899e-16,-1.202176992137919e-14,1.420027405501034e-14,-8.40396442889855e-14,4.34087496754732e-15,-3.865167918930792e-14,1.146760401358838e-13,-7.402253911834069e-13,-2.616168712226653e-16,1.492188703088551e-14,2.99629441603738e-13,-9.642613998570754e-15,1.796902102567568e-15,-1.046516994055461e-16,3.971008614285887e-15,-1.495226857521902e-14,-2.701772576148198e-15,5.667531959666921e-16,1.861674952972937e-13,2.425132278626574e-15,1.325348758154066e-17,-1.566362872798855e-16,2.590711088204634e-13,-1.019560647832375e-15,4.379319348673266e-14,-2.0476804331209e-13,-1.666153581049275e-13,8.962532219239921e-14,-2.411006157068907e-14,7.41430634627281e-15,-1.47674852519153e-13,-2.009116062460973e-15,1.82660263039896e-15,,,,,,,,,,,,,
frozenset({'223283.9.peg.1575'}),-3.8748222883577e-14,0.0,4.004624753171288e-14,7.722677188603262e-14,-6.323804533093943e-14,3.867966564635888e-13,1.817404006005858e-14,2.382223130946614e-14,-3.961899333788935e-14,3.986088991297193e-30,-7.62109021893031e-14,-3.187380870576958e-13,4.190501186615827e-14,-3.963321365329791e-14,8.696592095135492e-15,7.482503246804979e-14,-3.767584944202228e-13,-3.041566527668737e-14,1.015392708087229e-14,1.933696246640946e-13,4.943560076053352e-13,-2.645353899513127e-14,-2.136204814033666e-17,5.083863663543801e-14,1.315938423888968e-14,-2.38164422830542e-14,1.392938010810137e-13,6.738853726305552e-13,-1.159724037881798e-13,2.221278966688428e-14,-9.54817619242514e-14,-1.008361281454874e-15,-2.637412312095587e-15,9.164706650125317e-14,2.615829844151374e-14,1.759803888995863e-15,8.862405201743962e-13,-1.48642107748747e-18,-5.228885441475569e-17,1.582493801598129e-14,6.082672532734662e-14,-1.262644101578258e-13,-1.805193566613135e-14,-1.690178190061872e-15,2.559556972557609e-13,3.540013894699052e-14,6.12591481046809e-14,4.45953468473031e-14,1.378287104103502e-13,2.339170807785543e-16,-1.901512222759224e-14,2.993120452612221e-14,-1.60689776159256e-13,-4.0096157256272e-14,9.952032540401752e-14,1.314426746313505e-15,-2.947673989438909e-14,1.351995773422475e-14,-6.341267489993683e-15,-1.06478480123411e-14,1.826217488101787e-14,-6.756568365527079e-15,1.549033039361495e-14,-3.716436753077356e-17,-6.094440415561658e-14,6.444074213617963e-15,4.758044572076254e-13,2.658898633589893e-14,8.585531688271588e-15,-8.370106538953376e-17,9.60756712470993e-17,-1.720260594402611e-14,2.897486544782494e-15,2.022042646317286e-14,2.251333036211952e-14,-1.38121454008054e-13,2.381756839735786e-13,2.197337486259064e-14,-8.917971458704235e-17,-2.973311705150628e-16,2.834638936848004e-14,-2.792608248809491e-14,-4.271650593643778e-15,5.878135653400509e-14,2.408350722505402e-14,4.927960264690084e-14,-4.557145008366638e-14,-9.65959588182561e-14,,,,,,,,,,
frozenset({'223283.9.peg.1577'}),-2.878606091012081e-13,1.752786583213403e-14,1.388205086923732e-14,-2.287344818770469e-14,8.813830634714265e-13,-2.950105114792521e-14,0.0,-3.437711415156168e-14,-9.937741384188898e-15,-1.899109403655098e-14,2.212505130907496e-12,-6.192566353125632e-14,-7.718783100776401e-14,1.898902145343135e-14,-3.041510670169243e-14,2.846645804452204e-12,2.557034833685799e-14,2.151182869577774e-16,1.048917594271027e-13,1.624161810070663e-14,2.895759597134666e-28,1.740601129266271e-14,1.640094353094384e-13,4.412074244411408e-14,-2.930363571390999e-14,-1.382405830698457e-13,9.424727173923789e-14,3.31435051653347e-15,-2.25487414561336e-14,5.205726343365942e-30,-8.243356148154252e-17,5.203068427905425e-14,-6.503169232545715e-15,-1.102373310295083e-13,-9.659754304992434e-15,5.428560278193672e-13,-1.232911980566701e-14,3.889628768709778e-17,3.440065859043164e-14,1.356227150093043e-13,3.187987899225893e-14,-9.71061507918793e-14,9.995179156063576e-15,5.731937757013777e-14,1.241293744084059e-14,-3.237225611626875e-12,-2.476621882253633e-12,1.341518609008827e-14,1.427490198678803e-14,-6.778894342872976e-14,-1.890030276771293e-14,5.638151977126983e-13,-8.244640127113605e-13,5.612905210683456e-14,4.960143224245259e-14,1.195174230905825e-13,-1.099432090190964e-13,4.55893290668993e-14,-6.736881546052668e-14,-6.196360528055887e-14,1.565870136313011e-14,1.803676299736329e-13,6.640158970091452e-16,1.582781382433495e-10,3.654001061289945e-14,5.636431123994557e-14,6.975370332928898e-14,3.79488021987135e-14,9.09118853221405e-15,-1.458118252746458e-16,-1.363108604090967e-16,-6.810640600597399e-15,3.360492701437014e-15,4.556683707207754e-17,5.79912824865461e-14,5.73394911160607e-14,-5.022112705481037e-14,-4.035044096409277e-14,5.885813662937681e-16,2.430876279609059e-13,-1.891036777775423e-13,-9.418055921128012e-13,3.15683101565895e-14,-1.64068003514037e-13,8.85189887719155e-14,-1.245579083915365e-13,1.227438427169868e-13,-1.89743842142256e-13,3.861052090839454e-14,,,,,,,,,
frozenset({'223283.9.peg.1663'}),3.499804537971655e-14,-3.343182095395679e-14,-1.352821862125527e-14,8.315335083049811e-14,-3.696834325051839e-14,-1.50534575907872e-13,9.597971407402509e-15,-1.85808663741736e-14,-1.073423701964463e-14,-8.872654981665356e-14,4.313339404208882e-13,-3.963173145677638e-14,-9.003419018495413e-15,-8.3324780015346e-15,6.140878994852383e-14,6.058326480049324e-15,3.517899682204588e-14,0.0,-2.269248949638783e-14,-2.987961182078046e-13,-4.099347396804047e-15,3.587585484260323e-16,-1.144346211909338e-13,6.023485023714615e-14,-1.71568942468373e-14,1.031100142099282e-13,-4.957987443137783e-14,-3.463939094953249e-14,1.940447111342905e-14,5.242457734279377e-16,-1.897645033673413e-14,6.240313764166443e-14,-4.3123974962255e-14,5.781812434510756e-15,-3.151147079695284e-14,-2.568157658124067e-30,-8.323277534760145e-17,-4.763171455906494e-14,-5.630483778453219e-12,-6.491948555380864e-14,1.381000307266654e-14,-3.824891963050938e-13,1.284918059636445e-14,8.509313309201814e-14,-1.320474138419223e-13,5.102354563950185e-27,1.04526594206131e-14,-5.001838528709409e-15,2.111316174521471e-13,-5.439287296123544e-14,-1.651617911160864e-13,8.205451757416154e-15,1.905741982058853e-14,7.916014881214531e-14,-2.419152074777888e-14,8.885466708565726e-15,5.907866530538073e-14,1.353501928453886e-13,-8.534790835467249e-16,-2.490831434751711e-14,9.457551089544847e-14,1.089546158647501e-14,-8.942897437751811e-14,5.813726893588785e-14,-4.353992025317848e-16,8.85119281644941e-18,1.857895413241483e-15,-8.198375974819533e-15,-6.674948480267382e-15,2.055823929087234e-15,4.968940668439514e-14,-5.328002087301732e-14,-4.545710963663402e-14,9.926497776682736e-18,-2.09892297017831e-16,-1.333537668078013e-12,1.137796552219843e-14,-4.412870319388302e-14,-1.00720175190481e-13,-1.879084089102597e-14,-4.07626821236561e-14,2.110923854593784e-14,-4.060018923599849e-14,-8.011932918695894e-14,-2.948225487193403e-14,3.552083845252764e-14,,,,,,,,,,,,
