,0
,773
00790,18
Folate biosynthesis,18
01100,583
Metabolic pathways,583
Module,308
_M00126,9
"Tetrahydrofolate biosynthesis, GTP => THF",9
00400,28
"Phenylalanine, tyrosine and tryptophan biosynthesis",28
01110,241
Biosynthesis of secondary metabolites,241
01130,186
Biosynthesis of antibiotics,186
01230,111
Biosynthesis of amino acids,111
_M00022,12
"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",12
00401,5
Novobiocin biosynthesis,5
_M00025,5
"Tyrosine biosynthesis, chorismate => tyrosine",5
00270,33
Cysteine and methionine metabolism,33
00480,15
Glutathione metabolism,15
_M00118,2
"Glutathione biosynthesis, glutamate => glutathione",2
00230,50
Purine metabolism,50
00760,18
Nicotinate and nicotinamide metabolism,18
00780,10
Biotin metabolism,10
_M00123,4
"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",4
00920,25
Sulfur metabolism,25
01120,180
Microbial metabolism in diverse environments,180
01200,93
Carbon metabolism,93
_M00021,3
"Cysteine biosynthesis, serine => cysteine",3
00240,22
Pyrimidine metabolism,22
_M00052,3
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",3
00550,9
Peptidoglycan biosynthesis,9
01502,3
Vancomycin resistance,3
Brite,284
KEGG Orthology (KO) [BR:,284
00001],284
 09100 Metabolism,136
09107 Glycan biosynthesis and metabolism,24
 00550 Peptidoglycan biosynthesis,9
PSPTO_4408 (murG),1
 09160 Human Diseases,8
09175 Drug resistance: antimicrobial,8
 01502 Vancomycin resistance,3
 09180 ,282
00791,8
Atrazine degradation,8
00061,15
Fatty acid biosynthesis,15
00071,12
Fatty acid degradation,12
01212,20
Fatty acid metabolism,20
02024,24
Quorum sensing,24
_M00086,2
"beta-Oxidation, acyl-CoA synthesis",2
09103 Lipid metabolism,15
 00061 Fatty acid biosynthesis,9
PSPTO_4097 (fadD-1),1
 00071 Fatty acid degradation,5
 09140 Cellular Processes,23
09145 Cellular community - prokaryotes,17
 02024 Quorum sensing,17
PSPTO_4098 (fadD-2),1
_M00083,5
"Fatty acid biosynthesis, elongation",5
_M00572,5
"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP",5
PSPTO_3721 (fabI),1
09108 Metabolism of cofactors and vitamins,23
 00780 Biotin metabolism,8
09110 Biosynthesis of other secondary metabolites,8
 00333 Prodigiosin biosynthesis,4
00020,22
Citrate cycle (TCA cycle),22
00620,36
Pyruvate metabolism,36
_M00009,17
"Citrate cycle (TCA cycle, Krebs cycle)",17
_M00011,13
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",13
_M00049,5
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",5
_M00050,4
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",4
09104 Nucleotide metabolism,12
 00230 Purine metabolism,10
PSPTO_1430 (ndk),1
 00240 Pyrimidine metabolism,5
00010,26
Glycolysis / Gluconeogenesis,26
_M00003,10
"Gluconeogenesis, oxaloacetate => fructose-6P",10
00910,9
Nitrogen metabolism,9
09102 Energy metabolism,27
 00910 Nitrogen metabolism,3
PSPTO_2304,1
_M00307,5
"Pyruvate oxidation, pyruvate => acetyl-CoA",5
00051,15
Fructose and mannose metabolism,15
00520,20
Amino sugar and nucleotide sugar metabolism,20
00630,31
Glyoxylate and dicarboxylate metabolism,31
00640,22
Propanoate metabolism,22
01210,23
2-Oxocarboxylic acid metabolism,23
_M00010,4
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",4
00521,13
Streptomycin biosynthesis,13
00523,7
Polyketide sugar unit biosynthesis,7
_M00793,7
dTDP-L-rhamnose biosynthesis,7
00280,20
"Valine, leucine and isoleucine degradation",20
00281,3
Geraniol degradation,3
00310,16
Lysine degradation,16
00362,14
Benzoate degradation,14
00380,9
Tryptophan metabolism,9
00410,8
beta-Alanine metabolism,8
00650,20
Butanoate metabolism,20
00903,3
Limonene and pinene degradation,3
00930,3
Caprolactam degradation,3
_M00087,2
beta-Oxidation,2
_M00082,8
"Fatty acid biosynthesis, initiation",8
PSPTO_3833 (fabD),1
00260,37
"Glycine, serine and threonine metabolism",37
00261,4
Monobactam biosynthesis,4
00300,10
Lysine biosynthesis,10
_M00016,8
"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",8
_M00018,6
"Threonine biosynthesis, aspartate => homoserine => threonine",6
03030,7
DNA replication,7
03430,7
Mismatch repair,7
03440,7
Homologous recombination,7
 09120 Genetic Information Processing,90
09124 Replication and repair,9
 03030 DNA replication,7
PSPTO_0656 (ssB),1
 03430 Mismatch repair,7
 03440 Homologous recombination,7
_M00260,5
"DNA polymerase III complex, bacteria",5
PSPTO_3826 (holB),1
PSPTO_1549 (dnaE),1
PSPTO_4814 (holA),1
03420,1
Nucleotide excision repair,1
 03420 Nucleotide excision repair,1
PSPTO_5516 (uvrD),1
PSPTO_0538 (dnaG),1
PSPTO_5137 (priA),1
02020,24
Two-component system,24
 09130 Environmental Information Processing,78
09132 Signal transduction,15
 02020 Two-component system,15
PSPTO_0001 (dnaA),1
PSPTO_3646 (dnaZX),1
PSPTO_0002 (dnaN),1
00190,33
Oxidative phosphorylation,33
PSPTO_1916,1
PSPTO_3830 (fabF),1
00750,8
Vitamin B6 metabolism,8
_M00124,6
"Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P",6
00564,17
Glycerophospholipid metabolism,17
_M00093,5
"Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",5
00330,20
Arginine and proline metabolism,20
09105 Amino acid metabolism,31
 00330 Arginine and proline metabolism,4
PSPTO_1832 (argD-1),1
_M00555,2
"Betaine biosynthesis, choline => betaine",2
09106 Metabolism of other amino acids,12
 00480 Glutathione metabolism,5
PSPTO_1271 (pepA),1
PSPTO_3788 (pepN),1
03018,3
RNA degradation,3
 00190 Oxidative phosphorylation,7
PSPTO_5250 (ppk),1
"09123 Folding, sorting and degradation",5
 03018 RNA degradation,3
00450,8
Selenocompound metabolism,8
_M00176,5
"Assimilatory sulfate reduction, sulfate => H2S",5
_M00616,9
Sulfate-sulfur assimilation,9
00770,12
Pantothenate and CoA biosynthesis,12
_M00120,4
"Coenzyme A biosynthesis, pantothenate => CoA",4
00250,26
"Alanine, aspartate and glutamate metabolism",26
00040,8
Pentose and glucuronate interconversions,8
00053,12
Ascorbate and aldarate metabolism,12
00332,2
Carbapenem biosynthesis,2
_M00015,3
"Proline biosynthesis, glutamate => proline",3
00220,22
Arginine biosynthesis,22
_M00028,7
"Ornithine biosynthesis, glutamate => ornithine",7
00350,14
Tyrosine metabolism,14
00643,4
Styrene degradation,4
 00350 Tyrosine metabolism,7
PSPTO_3550 (fahA),1
09111 Xenobiotics biodegradation and metabolism,6
 00643 Styrene degradation,1
00680,19
Methane metabolism,19
00072,6
Synthesis and degradation of ketone bodies,6
02010,67
ABC transporters,67
09131 Membrane transport,69
 02010 ABC transporters,67
PSPTO_5261 (metI-2),1
PSPTO_5189 (metI-1),1
PSPTO_5187 (metQ-1),1
