ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
frozenset({'223283.9.peg.1'}),2.597439338002342e-12,0.0,-1.17545866039571e-12,-2.008945299565055e-13,9.664572749089477e-14,2.659408660393843e-13,1.44325964550421e-14,2.760526459096227e-14,5.487340497358952e-13,1.460103561984378e-13,-7.37165663768261e-15,7.014138028707391e-14,-6.715424636671178e-13,-3.051771800662746e-13,-1.344688576143141e-14,3.922645261065326e-14,-7.457408816156755e-13,8.436301483460613e-13,-2.41355191235081e-13,5.813620223722562e-15,-9.898387023587813e-14,-3.647149143954491e-14,2.322988637798659e-14,-1.049351377795495e-14,-5.258370912261763e-14,2.125194680414118e-14,1.308602251667885e-13,1.224983035205198e-13,-1.365838679222991e-14,-3.286410847040136e-14,-4.510977434576871e-14,7.178487124152386e-14,-1.304038610028104e-13,4.820827186144292e-14,-1.006303722422359e-13,2.729678219969419e-13,-3.722804871607427e-14,-3.798486606414222e-13,8.668338185991517e-15,-2.099059248565423e-14,-1.271107112362944e-14,-1.070497481035923e-13,-5.231596279937335e-13,4.345302325918681e-13,7.900948729902823e-15,-1.837710476443869e-14,6.146189730673902e-14,2.329293102486137e-14,-3.749558499670635e-14,-5.178447723198119e-13,-1.197911990407054e-13,-2.116955163315983e-14,7.727354353366316e-15,7.240826473565034e-14,-5.258511857463261e-14,-2.928134213536901e-14,-2.433903711420349e-13,-1.522822963178606e-13,1.170073798316544e-14,4.808479492201044e-14,9.694979482806404e-14,-1.893756843742017e-13,-9.554922530188036e-14,1.596556091248923e-13,1.136467368904256e-13,8.951852191987987e-14,-4.774883092899399e-14,1.111521262372504e-14,6.910324375585779e-14,-2.134521766533353e-13,7.820521675529567e-15,-5.31445456766152e-14,-2.473246231593995e-13,1.373042136872537e-14,3.245813464181495e-13,6.802557624901129e-14,1.448461699506747e-14,-2.381197901561008e-14,3.887835870204156e-14,2.27405069520337e-13,-1.596533202350264e-28,3.413243040968898e-14,-4.017271909036123e-13,6.153983326781565e-13,7.290176081452825e-13,7.85818568783273e-15,-3.21620194268169e-14,8.807672360551412e-16,-4.39004614541875e-14,-6.638553920822097e-13,,,,,,,,,,
frozenset({'223283.9.peg.1290'}),-1.975835750695277e-14,9.363511939834018e-14,1.313544603136697e-12,-2.496808660595928e-14,-2.35074065667022e-12,0.0,1.315006406618257e-14,-2.605337706152392e-14,6.771140648350396e-14,8.610796261990693e-14,3.227332482264318e-13,-9.44054690627544e-14,-4.024952885992866e-13,-1.509691365340435e-13,2.180407870245388e-14,-9.420341568242101e-13,1.012246361025564e-13,1.380433529948506e-14,2.171041148926259e-14,6.98361572263438e-14,-3.511227664422789e-13,4.365537127077356e-13,4.004543377194225e-14,-1.552326233297472e-13,-1.860897185854723e-13,-4.666199616221886e-14,-1.231922198438252e-15,1.67005911856515e-13,1.750627907124416e-14,5.937904120863803e-14,-2.709469749285712e-14,1.34551319625532e-13,9.235020460541799e-14,-3.877531891834889e-13,-1.232291712922827e-15,-2.103978281779951e-13,1.622117728285364e-14,8.30833193446771e-14,-1.125613930838566e-13,-2.310615446143873e-13,-5.389137312248085e-14,-3.030206383449633e-13,-3.771955535520791e-15,1.052430958071529e-14,1.588323320712849e-13,-1.94602909667504e-14,-4.321942503756048e-12,5.633245598198247e-14,1.024318135597115e-14,-3.260363877242062e-13,1.413724583665905e-14,-3.236532842969172e-14,-2.551039986897141e-14,1.357026572687508e-13,5.875850529563021e-14,1.817558409658671e-15,5.680032988541257e-14,6.426078697756452e-14,6.2973364251409e-15,-4.665477043533656e-14,6.232193782216553e-13,-1.937309258042009e-13,-7.161548297689447e-14,3.672267585294417e-14,-4.191201029918441e-14,8.100853234445721e-15,6.796071157890401e-13,-3.771955535520792e-15,-7.841671916340567e-14,4.226169620409474e-14,9.190937975552241e-14,-3.282504973764165e-12,-3.634691947383096e-14,3.890028632432169e-14,1.097009621022936e-13,-8.07389968397978e-14,2.191560561760224e-14,-3.713308439573982e-14,-3.500237194491132e-14,8.180880024377452e-14,-1.160923003905454e-14,-4.603976554039264e-14,4.071540827541689e-12,2.794054454301866e-15,-1.74534019621807e-13,4.928140956773161e-14,1.899591374081435e-14,1.863528234949757e-14,-2.985982342874735e-14,-1.277510305260422e-14,,,,,,,,,,
frozenset({'223283.9.peg.1455'}),48.92606614460826,80.92338797851451,70.39432994427717,81.1152066880412,70.00205855653714,70.84312382459346,101.5768290030692,73.67594396786775,71.67536531827506,85.91192990767179,77.48401506447141,75.44078580839906,53.00585175500024,55.69569341820051,101.6202673722612,90.21231208100225,96.48107325889819,56.78927775357464,68.41777290924965,48.95933162010905,45.43243484872694,92.31418946905568,61.07090965924233,46.2035848997304,87.38163574349315,109.3619155651688,55.79426707613148,74.36939467376561,38.79961996869567,80.63455118813768,62.10283370029602,67.79042274278034,69.17492277891509,42.45729177536117,64.73512156539304,79.22774173577857,68.66003050350126,79.97087727034841,85.05819845709566,63.2246134249587,42.48494593320473,47.08108735716793,43.07659846280489,64.98805431544496,65.25139928631194,82.27927198593778,98.35121177296593,47.50763239298399,44.89412613349025,76.09301633339223,44.59441943673974,48.4101958128544,86.24293552472683,69.06132207165147,84.40295211875569,77.15975404814225,79.55683458287554,46.51142493630775,44.89027956713776,61.47282089315421,87.8952641334075,86.0584502479704,48.1709777918454,52.60765631342927,46.20525955153406,66.15625950674978,77.1171507567783,35.60615425074866,48.4145602079164,36.89773106442222,59.45062949663617,61.74571801599497,74.29554377629066,64.53536743293743,84.82306655509014,41.88810771426935,66.5115592431984,83.87508386096695,59.5128012334153,82.95754926184873,65.1810797477069,105.3222436771627,62.67940173737544,77.06877836842229,71.93138383382161,102.7134714988805,48.14389421793018,64.15408070527464,75.12018661424804,41.05047750252356,59.06572514593671,51.52389080450934,87.32422608529808,107.0178279773492,38.60942111772207,38.50945429327574,57.78512629383128,48.58217565628178,70.71337778911855,98.08524827788733
frozenset({'223283.9.peg.1494'}),6.219520706409113e-14,1.61361222276155e-14,-1.405672652769894e-13,0.0,-4.119236284090935e-14,-3.032343138011787e-12,-3.509156459908919e-14,6.647123422426156e-16,-1.326792613363114e-12,-2.032898468636033e-13,-6.434178143031419e-11,-8.727241233081558e-14,-2.041911173636995e-13,-7.346730757105255e-14,1.277599005505249e-14,1.020134194850022e-14,-1.285251911030522e-14,7.635979905960318e-14,-1.306251492033503e-13,-1.439719983947247e-13,3.209517540639299e-14,-1.627901458018409e-13,1.934464814281965e-14,2.892498411550873e-14,-2.063172878372805e-13,1.424435314712446e-13,-8.459455203315583e-14,-8.596922091116461e-14,-1.208241686095005e-13,3.737206439453269e-14,1.614419162302214e-14,2.266521840632097e-13,1.553427462337235e-12,3.318279307569847e-14,-1.682569143748013e-13,-7.084529026293092e-14,7.424619571724434e-15,-2.980122216160201e-14,-7.585023414658608e-13,7.583362174655324e-15,-7.403212532424336e-15,1.134117371283212e-13,-9.47851572425e-14,4.355148037867988e-13,-1.239132871305274e-14,-6.095483483135461e-13,1.008134170123103e-13,-5.340244687892938e-15,1.857625782214727e-14,-3.934991730883264e-14,1.265870495047201e-13,-6.662291409307793e-14,4.826430388568669e-13,-3.485414989661071e-13,-1.441101837974813e-14,2.466244983419605e-14,4.467894308895535e-13,9.45451874972235e-15,-1.182414699160024e-14,-6.829055911591662e-14,-5.108444859483051e-14,-1.96321140465852e-14,1.408210988982788e-13,-4.044084929478041e-14,3.142468864938363e-14,9.767063603322906e-14,8.224466735324213e-14,-9.490998665492488e-12,-3.017522803352212e-14,-2.354121659057001e-14,-9.630023183088718e-14,-3.734607353230403e-14,1.664001926080413e-14,1.662854909196728e-13,2.179539230312231e-14,9.325624953941534e-15,7.299065421371069e-15,-1.454313762300231e-12,2.055467141552945e-13,1.29783495527187e-13,-1.52804413904479e-14,-3.885387028483428e-14,2.307827191630796e-13,-4.472826752903491e-13,-1.415336636216358e-14,-1.245780162665109e-13,,,,,,,,,,,,,,
frozenset({'223283.9.peg.1497'}),3.157800914570281e-14,-3.939844711232837e-14,5.706479501659527e-14,0.0,1.937649265272208e-14,8.850908056628602e-14,4.197062646803828e-14,-1.957800174086851e-14,-8.32802097830256e-14,1.204442482681718e-14,4.534867698986059e-14,2.848412915771713e-14,-1.197314462407036e-13,-3.872734351006606e-14,3.601557832391801e-13,3.395665630277902e-14,-1.501012675774977e-14,-5.712522333004506e-14,2.201448094652039e-13,-1.468759454614039e-14,3.565845161962106e-14,-1.399617965804165e-14,-9.253999159491623e-14,8.796620850830119e-14,2.256630365036677e-15,2.547568937433056e-14,7.071370984873082e-14,4.703333342553144e-15,-4.192118351348591e-14,1.132768491038893e-13,-1.339729809847179e-13,4.170629498457533e-14,-5.163509117075231e-14,-1.290340400138788e-13,1.748865221544355e-15,5.270183607995498e-14,-9.17491332277067e-14,-2.267321687197561e-14,-6.498913484937121e-14,-3.537858849478744e-14,-2.45493795759934e-14,-1.265505910731835e-14,7.058632607882093e-16,-4.466973528042423e-14,1.572276953986907e-13,2.200051569004262e-15,-6.444241150582059e-14,2.167749880849717e-14,7.86672821754687e-15,-1.759616169827309e-15,-1.352163418104725e-14,-7.396583919011173e-14,1.268590946696498e-13,4.738753447688103e-14,-5.02633749624694e-14,-1.519023261450832e-14,-1.360032398355428e-13,5.820371085262856e-13,-2.793061277461963e-13,4.126179787219676e-14,3.415810109014105e-13,-8.566039382271508e-14,5.454974340021393e-14,-8.30805062374759e-14,-4.793452465471222e-13,-8.542796098218289e-16,-3.174360927576993e-14,-3.237725188927321e-14,4.301879231699869e-14,4.291367137042091e-14,-3.75228709721043e-14,6.543046358491415e-14,-4.506797726139931e-14,-8.48498965418658e-15,-5.57469920152073e-15,5.39180387349786e-15,-7.287210265442328e-14,-6.455898509378729e-14,-1.650507900310431e-14,-8.502221910264653e-14,-2.686524284831954e-14,-7.21949674064364e-13,1.686997003453781e-15,-9.468146825501444e-14,-2.562484916219067e-14,-1.11473780772709e-14,-9.15995107399953e-14,,,,,,,,,,,,,
frozenset({'223283.9.peg.1522'}),-5.185564349032021e-14,-9.856486288587975e-13,1.13383220795082e-13,-1.564850029089937e-14,-8.457225557228073e-14,5.659528098128633e-15,3.750113613039142e-13,4.639051800855953e-14,1.509293869063393e-14,5.535569537818022e-14,0.0,-4.705263980726348e-14,-9.737017303223751e-15,-5.411403488082218e-14,-1.55312043275554e-14,1.857714200862203e-13,-2.569798276923431e-14,-2.325164025040027e-14,-3.028769074772826e-13,-4.784683348408322e-13,2.784630040965282e-14,2.38394778191116e-12,4.425449014570452e-14,5.66667224326988e-13,1.637715239282932e-14,1.010659365387954e-14,2.278227007185302e-14,-1.314395644561007e-13,-7.564121449808577e-14,-6.357516495871356e-13,4.509109303614964e-14,-4.514279992367919e-13,-2.02396264490157e-13,1.523633831148945e-12,6.306385436357206e-14,5.993867325867044e-15,-9.906708559182137e-13,3.709609049529839e-14,1.894218255812347e-13,1.174984365825106e-13,-2.856468693996337e-13,-2.03742181578593e-14,1.739190621124673e-12,6.42409122972833e-14,8.147186752637471e-14,-1.887620637975821e-13,-3.818387544786717e-14,-1.511846384353637e-14,-6.288203761273348e-13,3.337432204279454e-15,-2.621552300796038e-13,7.541259688938552e-15,-5.796053195897357e-13,1.750966110367482e-13,-2.517299883776472e-13,9.817654756099528e-15,4.831775008309476e-14,1.717614750592177e-14,-7.432902760385433e-14,-7.188636039026466e-14,-9.939239292642445e-16,-8.853842164241585e-14,-7.852536405233688e-14,-1.410930575636989e-13,-4.637024875269967e-14,5.602796131414732e-14,-6.536659993933861e-14,-1.587929279326418e-15,-1.41030370213932e-12,5.380861920510336e-14,-2.934315287404102e-15,9.551264349356752e-15,4.221660280070661e-14,-9.742972627170819e-15,1.192695404807058e-13,1.288477119902156e-13,1.307214845019297e-13,-2.555259949239548e-14,5.043370739753007e-13,-5.179680698857854e-13,2.00902204346242e-14,-8.05546748866987e-14,-1.571125021819296e-13,-3.41098322289596e-14,2.019750395847966e-11,-9.319197146714002e-13,6.117724619601505e-14,-4.822696432081833e-14,-1.916463111439132e-14,-3.875478632934298e-14,-3.277396782550014e-13,-2.665132961472425e-14,,,,,,,,
frozenset({'223283.9.peg.1560'}),8.875174614821628e-14,-3.097834580496579e-14,0.0,-1.651319249095888e-14,2.169148925751205e-13,8.165152982748422e-14,1.915774420229533e-14,-1.956679524180012e-11,4.704528991714528e-14,-6.667581878320101e-14,-1.046904600283015e-12,3.554138118809358e-15,1.054960337211307e-13,-1.183433424392764e-13,-4.824088431243415e-14,-2.250973645244876e-14,-4.210750309356997e-14,1.113600237572131e-13,-4.533016229435506e-14,-4.8488305584998e-13,9.151480160316025e-15,1.401728792330668e-14,7.870284573929392e-14,-3.442233671092427e-14,-3.920844749910899e-14,4.693030385736805e-14,8.844443079326177e-15,1.066644116131773e-13,3.130222236473591e-15,6.013892329397807e-14,-4.143356818856711e-13,-3.422937287787376e-14,-2.196955000524153e-14,-2.556198199201995e-14,1.608726318827083e-14,-1.196227410913895e-14,-1.451957137290495e-14,-1.140860930252472e-13,-7.130116960208978e-14,-4.670585670615008e-14,-7.811221144331694e-14,-1.010926059434408e-13,1.536297062576563e-13,-7.694281968664084e-14,2.87383715290954e-14,-6.175190091770989e-14,5.341598467255759e-15,-1.830473018848328e-13,-5.632828975448714e-13,-2.033993175283732e-12,-1.164340971831718e-13,1.313852582083517e-14,-1.515296224506211e-14,-1.980941032789035e-14,1.430307788091153e-14,1.85097913460773e-14,1.660355427495583e-14,-6.601152828261658e-14,-8.833197993775184e-13,3.182180650486446e-14,5.103147740875428e-14,-4.19367210242502e-14,4.140651499821331e-14,-3.66789587675873e-14,5.297958260585446e-14,-7.05560776264855e-14,-6.51204590882113e-14,1.058263252304955e-13,5.013642809720459e-12,7.773948486772897e-14,2.124361644348282e-14,1.327588389002921e-13,9.72248593384918e-14,2.871749020691606e-14,3.067913476232894e-14,-1.28569508291012e-14,-7.656544278985224e-14,2.561746954554273e-14,-6.575800189582157e-15,-1.96542339117511e-13,6.798477230647789e-13,8.236933047325356e-14,-3.131471317909301e-13,9.250464096982487e-14,1.252892354769729e-14,-1.464710736515069e-14,2.994572399916133e-14,-7.391400849590863e-14,-1.723821609743426e-13,-1.45397257348882e-14,-9.265900445160513e-15,-1.614904610737091e-13,1.23072285595311e-14,,,,,,,
frozenset({'223283.9.peg.1575'}),-7.091366475755966e-14,-8.613148316252254e-13,-8.167053249695381e-13,6.565208719479872e-14,-4.245265059364257e-14,2.746028178285328e-14,5.10649151511992e-13,4.56931166288904e-14,0.0,8.84607329481946e-14,-1.488284886278938e-13,-1.630075071971272e-16,1.056878336229093e-14,-1.918747787661134e-14,-2.178342912786408e-12,-2.796019652178048e-14,-5.399825161209055e-14,9.81786827257179e-15,1.051044140960482e-13,9.690425410528644e-14,1.518315194343133e-13,1.188193294377113e-13,1.306201937700587e-14,5.345367990503457e-14,1.401174861404574e-13,-1.124632146556727e-15,-6.730927649555703e-15,1.646488765028632e-13,4.639523326530202e-14,-2.018548829585115e-14,-4.060558285309369e-14,-2.037377203687081e-14,-1.023296986766414e-14,-1.411570670915347e-13,6.893087903129484e-15,3.832054809234882e-14,-1.130472469785388e-13,-6.181926299363636e-14,-4.585926591420654e-14,7.658238875512487e-14,-2.047290292709981e-13,-1.103515194816113e-14,1.44876664601739e-13,-7.85022805587341e-14,-3.128996894289111e-14,1.074656947192847e-13,-8.384331990212053e-14,1.315644984781227e-13,-4.204628723398958e-14,5.419531499510416e-14,8.826973318581007e-14,-7.69461663886343e-15,-4.062707516201015e-14,5.077768026921539e-16,-3.073239913667998e-14,-1.179925465498128e-15,9.64320199040033e-15,-1.915260064382296e-14,2.24496792144653e-14,-9.64238648773042e-14,-1.062830029134502e-13,-1.190500747414565e-14,-1.034153781210854e-13,1.699146570830876e-14,-1.44062313295672e-12,-2.016659576485611e-13,-5.476799015918529e-14,-9.06499773712687e-14,2.079405225219229e-13,-6.809035980852292e-14,-4.11466145783099e-13,-1.231339333776419e-13,-4.838423541375023e-14,6.473219000778977e-14,-2.955534113458301e-13,-2.887052430793528e-14,-2.249732524859428e-14,5.859260236697682e-14,8.655538477172084e-14,-4.855416801982374e-13,1.386246358442038e-14,-2.401414925539781e-14,-4.316492570522968e-14,-1.804830832151777e-15,-7.370290369251464e-14,9.662532533344635e-14,3.102609120756154e-13,1.789010456293926e-13,,,,,,,,,,,,
frozenset({'223283.9.peg.1577'}),4.261120712406028e-14,5.972046055527671e-14,-4.131264701860684e-14,2.431725712990672e-14,-3.250834862508182e-15,3.730177181728031e-11,0.0,-3.065564779464585e-14,-2.133626201062432e-13,-5.398388519519516e-14,-9.94199557459985e-13,-1.796432443456165e-14,2.555904076043209e-14,1.088338060267477e-12,-4.407562006479405e-14,4.978041643011498e-14,-2.079782276150285e-14,-4.935411501171703e-13,-2.876541859470794e-13,6.702252879862361e-13,1.727222467908873e-14,1.242932914412244e-13,1.848476653013475e-13,-1.51972920375177e-12,-4.805688133319128e-14,-1.082098389179981e-12,-2.274591861798315e-14,-1.038437623886633e-13,1.32449423072092e-15,5.568468570964651e-14,8.462245699276957e-14,1.125707029261178e-13,-1.13559327453107e-17,6.989048449320778e-14,1.099945232573659e-13,-8.928794507699614e-15,-3.15709047190939e-14,5.310753011005948e-14,1.114441171318416e-13,-6.182814424454194e-14,-6.009913613123758e-14,-2.91982418644442e-14,3.335483568893307e-14,-5.483610181234728e-14,-1.868969984832388e-13,7.376974677778823e-14,-8.322551720102771e-13,-3.269895749800262e-14,1.287165738991869e-14,1.946754802164281e-13,-2.19755944780447e-13,-1.052249469527214e-12,-1.124229080560555e-12,-5.065825738580762e-14,9.54647777990583e-15,-3.750568296983087e-12,1.638914424102692e-14,-8.970012742243076e-14,5.230238637370291e-14,-1.423819271866188e-14,2.321405170220151e-12,-2.769022757482606e-14,-1.659121243693457e-14,-5.773824644109138e-14,8.613232522314004e-15,3.535750059007777e-13,-1.261680211656348e-14,-2.28446366904185e-13,-6.105429021425812e-16,1.560939539797596e-13,-1.512127750224768e-13,1.744136795110773e-12,4.518604630575277e-14,-5.423566803461274e-14,-5.767189748735981e-14,2.3011345123127e-11,6.36063565541874e-13,3.377720934322438e-13,1.878524043243565e-13,3.723755557465448e-15,4.565401009257906e-14,-2.741769301952193e-14,-5.004731366075587e-13,2.217619129285625e-13,-4.814743597271566e-14,1.069627509544507e-13,-1.760769688530399e-13,1.311355270041293e-12,-6.714149557083878e-12,-1.005207320770191e-13,,,,,,,,,,
frozenset({'223283.9.peg.1663'}),0.0,-1.108693231255321e-13,-5.83782378358492e-14,8.794081965613873e-14,-4.082576491374211e-14,2.396478338869487e-13,-2.268951675628844e-14,-2.654733749062504e-14,2.213873885014005e-14,2.469805965749728e-16,-8.467747227931084e-15,1.155310661657209e-13,7.803230955374336e-14,-3.456582891216338e-14,1.872975508275271e-14,-1.074658740786845e-13,2.68767319333602e-14,-3.678222210894834e-14,-1.049341406514713e-13,-1.330731732827061e-14,-3.548534496917507e-14,1.066805028642454e-15,-3.331393412222034e-14,-8.512012806624204e-15,-5.024437917595731e-14,6.66173690020958e-14,9.061887639470918e-14,1.717122329928908e-13,-4.703337659560491e-13,3.41796839877452e-13,4.91470960339244e-14,-8.261144971508609e-14,8.806149440898643e-15,3.089786236095216e-14,-5.155454930991206e-14,1.150052429624658e-13,6.233732340222509e-14,5.119049901080733e-15,-3.953199273312258e-14,-1.306534195039439e-14,1.833004410011352e-14,-7.996027547449871e-14,6.455921171451862e-14,-7.219963451079493e-14,-2.939605718842999e-14,-1.929080107702097e-14,1.297008330005025e-13,6.480423296314399e-14,2.495729060576064e-14,-4.056280487407569e-14,1.534482407751382e-13,-5.631878639400837e-14,-1.786715608028075e-14,-1.45456507243386e-14,-3.355155223272472e-14,1.331841907420989e-15,3.246350736108754e-14,8.1543851761231e-14,1.096521487047553e-14,-8.184706434623231e-15,8.486037714437786e-14,9.370734149619929e-15,2.031136556945367e-14,-9.175046262237529e-14,-5.280866026851052e-14,5.731877954190656e-14,-3.024425783463124e-13,1.112634342258753e-13,-2.094770643109481e-13,-2.306774502345321e-14,1.324543261545361e-13,-5.836952557703334e-14,1.996050355318796e-13,-1.087910505710253e-14,-1.6472980887528e-14,-3.188613549930113e-14,-8.862637619270329e-14,7.301097722480238e-14,-6.278439794640434e-14,-3.570964527031302e-14,-3.981880271683582e-15,-7.267315072369523e-15,2.810026744588928e-14,1.344230163999557e-12,-3.792033682623586e-15,,,,,,,,,,,,,,,
