ids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
frozenset({'223283.9.peg.1'}),-3.460624267737375e-14,1.113138076956022e-13,1.906334754431976e-13,1.584115575738819e-13,-5.691246501004682e-14,0.0,-4.89471423898266e-14,-1.349862199101891e-14,1.597477841881883e-13,-1.390473562750642e-15,9.292964918491007e-12,-9.399349396657328e-14,-3.344436816315847e-13,-1.168090315910537e-14,4.59648820067595e-13,1.821162617794066e-13,-3.324160062846607e-13,-1.260660998105047e-13,1.185322555739381e-13,3.375524132893253e-13,-1.526020662981826e-14,-4.689581841870814e-13,-6.138620730651094e-14,-5.569012067817917e-14,-6.371818528316228e-14,2.409821855408361e-13,-2.949160418490967e-14,-1.315675420899163e-13,-1.237646915238606e-13,-9.171810588795561e-14,1.110564069538985e-14,-8.669310567934385e-15,8.409167695313473e-14,-1.404000440696711e-13,4.845218173800541e-14,-1.636870089713605e-13,-5.410065862683653e-14,-1.215326478088683e-13,2.242766067729069e-13,8.432829435414649e-14,-1.244208239446808e-13,-3.90549891747113e-14,-2.361625933195377e-14,4.722067277465187e-14,-1.707905249491761e-14,-3.28238515322596e-14,-3.120200201981827e-14,8.461982931149341e-14,-3.497647598538135e-13,2.505021141633041e-14,-1.102979618515301e-13,1.853920682361622e-13,6.992881133097024e-14,-1.420120722645003e-29,-2.122383471138929e-14,7.459076838202609e-14,1.50078340518464e-14,-2.56950032980357e-14,-1.762957129484139e-13,-1.751716904607332e-14,1.076761753049571e-13,-7.245921208325625e-14,1.090489200904288e-13,-2.777227724813553e-13,-8.579469119038012e-14,-3.613909623307269e-14,-1.041064298927243e-12,-5.21604009546132e-14,2.971112140934696e-14,-8.504358672019132e-14,3.119844755014716e-14,-2.917780379303947e-12,-2.047595538043451e-13,9.003894580979502e-14,1.938682651116898e-14,6.919352029254511e-14,-1.753681212334425e-13,3.780339312403978e-14,-1.681054157521424e-13,4.737060471262586e-14,-1.047414205650126e-12,1.75790472856674e-14,6.888528267995236e-14,3.905733665793273e-14,-8.970078152287272e-13,-8.186965539041851e-14,-3.774303211728206e-11,4.302016623723992e-14,-3.887786438516309e-13,-9.52411030266507e-13,-1.21301158635401e-13,,,,,,,
frozenset({'223283.9.peg.1290'}),8.892313121391446e-14,-2.735180255093693e-14,-4.548048858717143e-13,-2.570536585452674e-13,-2.358171223123135e-13,0.0,2.261603765473052e-13,3.200054911041661e-14,-6.088517258081073e-15,-1.811394629480772e-13,4.341504123955584e-13,-6.924036004934028e-12,-3.403425036904864e-14,-7.471066709424366e-14,1.272361699021598e-14,-6.327600878957934e-14,5.019770114215453e-14,-3.208772806552561e-14,8.266112619169148e-14,-3.301433031433198e-14,2.658072408879653e-14,2.425242882134503e-12,1.358952510999516e-14,-1.45459376505125e-13,2.397993761112071e-13,-2.035494585826802e-13,1.420196658139672e-13,-1.665846104308478e-14,2.856054047901233e-14,-1.861600029057878e-13,-6.197862607350208e-14,-6.51481687853079e-13,-7.482794818877186e-15,-1.855890654081563e-14,3.896587471731879e-14,5.654807337132012e-15,2.072269747474402e-13,-1.513277799802641e-14,-2.635057000346628e-13,-3.388839489595326e-13,-3.514788504519351e-15,1.857318263759378e-14,4.067627941468807e-13,5.618121481635079e-15,3.331692208616957e-14,1.629924377551723e-14,-1.131954449543114e-13,-2.435713198698521e-14,-2.417441959862361e-14,-2.48244978637887e-13,2.691328685193432e-13,9.386082320006854e-14,-3.888937786665209e-14,-1.438871307258351e-14,1.951230175805801e-14,8.509527542703531e-14,-3.159835892781645e-14,-5.735436652973706e-13,2.236122340619774e-12,4.551817919272813e-14,-9.159959394460496e-14,-2.130314957919736e-16,8.473150049902711e-15,8.238667196475596e-14,5.653525074273456e-15,-7.773142782655278e-14,-5.528603046919015e-14,-5.857706830010447e-13,-5.05519110121991e-14,-2.335654311020377e-13,-1.032309863634513e-14,-7.5280826499135e-15,-1.728746605078779e-14,-1.371493349146749e-11,-2.570419737626417e-14,-5.055723193884052e-14,1.217246632045846e-13,-1.336475309847135e-14,-9.755703514522985e-14,-1.731314467324532e-14,-3.564194804604225e-14,3.490609808049144e-14,-4.567676056993464e-14,-8.062706610592623e-14,5.264010293179601e-13,2.7844375032758e-15,,,,,,,,,,,,
frozenset({'223283.9.peg.1455'}),137.9686169111054,47.88912968811415,105.687486175687,72.52152851586551,104.7581707722953,150.3359366967262,47.94064869651943,141.5959979280274,60.51265280886742,88.15681821246578,112.1893853929231,101.5255133510543,78.87040120580573,73.32024194530304,82.35775324530846,100.6081550890132,144.4378545809155,96.0282344478962,64.2681350901055,114.6223972192413,120.0752237786718,62.46153999477738,114.0354514242003,125.0856918112873,44.57491100963407,87.7334738579911,119.5273066970945,119.5750018439478,127.8892039647305,57.52802757986336,109.5780328578656,140.8684476798618,80.75400129686986,56.93020736598807,102.6901506263941,95.78374813185258,154.0730834086549,69.6223382816649,136.7517074471374,123.5162670634303,87.46104292907152,86.6815891915838,87.15647627847885,82.4828607840779,103.9545306077295,131.9106807781471,123.6532355880755,86.89967836858574,105.1959582871255,83.16363144239094,67.39720492514445,54.3813497950249,104.5833685388112,86.81558574630442,170.057955370562,70.17971558094891,94.669822841744,85.92728103943217,109.7071828343708,40.57147836781232,104.3378988354497,97.82212573363483,80.6088191134434,69.0944129466164,67.89692671424714,190.1104661442181,52.16850508512229,86.41184786343813,133.3519913799985,57.33243147934387,108.0764349326248,156.5037844797606,50.07406379741943,72.01352500577907,76.04160522672815,94.75942752428925,54.85444530667638,71.25957286170205,59.90574228039647,100.5325676845565,122.8917404884146,121.0163521299609,144.3763288760305,97.05353944201184,102.3866985237207,97.74325143035018,112.7629964790445,92.06491242557844,84.92713689176246,127.7007071741335,100.9729766128971,120.5486204181939,96.67862714893857,83.41943597169794,78.27631168756191,158.096136019593,123.4740471287557,67.14469436014039
frozenset({'223283.9.peg.1494'}),0.0,2.984217801444373e-14,1.885307920524308e-15,1.087795163382469e-29,2.77830104460742e-14,6.292018836037156e-15,-5.772911408773608e-16,-8.129987366550577e-14,-4.573871423956903e-29,-9.586292073292163e-14,-3.476110182367621e-28,-6.215888781258467e-29,-1.734066600906466e-44,-7.879609787985257e-14,1.134733529132998e-28,9.863790402588887e-30,1.280269089898057e-26,5.607389945589039e-28,3.53181512122581e-14,-2.67480617205418e-28,-2.964577854806684e-29,-2.34178638444339e-29,1.020396300495438e-14,-1.210399274405885e-30,-3.534807285534468e-30,-5.667524203070353e-13,-1.249142386935464e-13,-3.765763172002881e-15,-3.237144313162181e-28,-1.203129750431857e-30,1.52265150933186e-14,-3.872272531342584e-29,6.843004591795914e-29,-4.325652200207701e-30,2.028356256861795e-14,1.385172440466972e-28,6.101679094351371e-28,1.293432194044235e-29,2.034435476245759e-16,-1.416919858377444e-28,8.104707825179566e-15,3.485994851102708e-16,-7.505119936820525e-28,5.642704520246621e-30,-3.577068856011008e-14,3.201258619274637e-15,2.893211116627775e-14,4.185854458231297e-14,-4.464744971278105e-29,-1.348887183464419e-14,3.644360883243293e-14,1.406285829031408e-13,-8.577279927794936e-29,2.389042686836426e-14,-1.914618832061912e-29,2.03507413633251e-28,5.94768111767474e-31,-8.20192571325067e-30,-1.216751031009313e-14,1.969155043026282e-15,-4.872483151175226e-15,3.207108311341053e-28,9.718628021399047e-30,6.048734209703874e-30,2.709415839310596e-28,-2.433235348297321e-13,1.123027988457829e-14,-2.821968785490628e-28,1.038594478659638e-14,-1.6768443684401e-28,-6.953085528927823e-28,-1.043153906580568e-27,5.498918666608786e-15,-4.685761421033097e-30,8.046948628980432e-15,1.728154770308246e-28,-4.734791698996611e-30,6.921268360777669e-14,2.769507088588072e-30,-1.64663069228203e-28,3.675197167159743e-14,5.848349260157703e-15,-8.404429072844047e-15,-1.290883912663717e-29,-3.937945583239012e-30,,,,,,,,,,,,,
frozenset({'223283.9.peg.1497'}),5.192179934651297e-14,5.000665774342502e-12,-1.701363663223956e-13,-9.020405522375552e-14,-1.341902774852245e-13,2.126707628619652e-13,9.770917749934128e-14,4.16111566593874e-14,1.523334753397714e-13,0.0,-8.097675532980891e-13,9.982845093415265e-14,-5.613801740005918e-13,-9.158511626192422e-14,-1.099175337071014e-13,4.950418331268564e-14,-2.778939713760749e-13,-1.71205322563321e-13,-1.26424007306876e-14,2.891816799818674e-14,1.569886751976118e-13,2.412218285430382e-14,4.604675684371661e-13,-3.609333226001702e-14,-3.890255794146077e-14,-9.056853464703454e-14,1.152588331558207e-13,2.190106188381873e-14,2.224152017193023e-12,-4.080528699362138e-14,-7.765847985223945e-15,-2.425542818139752e-14,-1.31399358160313e-13,-2.562131595611399e-14,-2.783863983182798e-13,7.552293728859223e-13,3.56364975504988e-14,1.765877914862278e-13,7.367888619628513e-14,-1.136246067796001e-13,-2.939084713995306e-13,-1.489591101069845e-14,-1.105384123922124e-13,1.556680934766066e-13,-1.206358078718757e-13,1.745874343489566e-13,3.717262291622756e-14,-1.215319476453534e-12,-4.925093557743439e-13,4.565171858002455e-13,-3.03086443700897e-13,3.054761811751751e-13,1.537291125827246e-13,-1.344144974961821e-14,4.133305250608546e-14,-1.537670218065079e-13,1.301082261057714e-13,1.415653776029267e-13,6.274365010962404e-14,-6.978284735687765e-13,4.486507011068439e-14,6.171919885395814e-14,1.633652063826918e-13,-5.306520362097899e-13,1.451514890687373e-13,-9.733478953228903e-13,6.012683902379088e-14,2.016870193687266e-13,-8.332821427028006e-14,8.440232720611633e-14,3.184318107205824e-15,4.06319318127665e-14,4.039702428357117e-13,-1.968151328708459e-14,-7.412498409140006e-15,2.834736720882628e-13,-1.79311784157753e-13,3.355699333915229e-14,9.40889345003611e-14,-1.354373558101509e-13,-1.302984281798076e-13,1.310917178549247e-14,2.749608993761637e-13,-2.510985805624781e-14,-2.045069104197638e-14,5.092007778509992e-15,8.927235695008169e-15,7.929966087672399e-14,1.027520452100824e-13,-1.566941914823745e-14,4.070378034247621e-15,-9.786219951251196e-13,-3.177759519853329e-13,1.176806694789952e-13,,,,
frozenset({'223283.9.peg.1522'}),2.559153933412748e-14,3.270052466987146e-14,5.116302652919379e-14,-6.43123804822558e-14,1.897246617194762e-14,2.232193963967186e-14,-5.222729671833988e-14,1.016841354475245e-13,-1.487505607739534e-14,-3.1805241701879e-14,0.0,-6.277089545244974e-14,-2.624514498809657e-13,-6.151727661862158e-13,1.153645488016764e-13,1.419061302951942e-14,-4.923598831434954e-14,3.100074376549152e-13,8.96678472456152e-13,-4.430361895751804e-14,-2.060822365393109e-13,7.49630746938815e-14,-3.336453957611263e-14,-9.924103291925283e-14,9.823037021861335e-15,2.005106880627602e-13,-3.985754678071358e-14,-5.911897193337595e-12,-2.233565142393165e-13,-3.740445225182091e-13,1.988483128486321e-13,-1.565455815831204e-13,-2.022740402035916e-13,-1.685008911455373e-13,-3.875446028959205e-12,-1.446295795687657e-13,-6.859271982850874e-14,7.93011272589506e-14,6.533356160295498e-14,-5.566327200029298e-14,6.769891095110036e-15,1.484635727056887e-12,-1.663116438436849e-13,6.529237874861641e-14,-3.36048495849522e-13,-1.684880464132361e-13,-6.841388412265862e-14,2.396181979956296e-13,-8.776715954334955e-14,-7.608395534212428e-13,-1.637281372273555e-11,7.78897669089474e-14,8.740400480475945e-15,-2.361443067216823e-14,-6.449903829648084e-14,4.620350846988982e-15,-8.363255247783626e-14,-1.27271785794831e-13,9.302578664042612e-14,-6.797433794827413e-14,-2.020985652341015e-14,-7.393278696989377e-13,2.187531281754086e-13,4.275675018260638e-14,-4.499358139521989e-14,-1.120152140020814e-13,-1.079950802295552e-13,-4.501990487468751e-14,-1.479465413942826e-14,-1.070373794455262e-13,-1.745789280261114e-14,-1.184141082865229e-13,1.074436098173709e-13,7.083738745481283e-13,2.123653857232027e-14,-3.839394065111967e-13,-1.557815880471413e-13,-9.397092699396637e-14,7.46970854630542e-13,7.23908912636213e-14,9.509183855850644e-13,-1.713530941418225e-13,2.314293920958327e-14,2.857847191728303e-14,-2.568524530973393e-13,-4.367654315357346e-14,-2.344638818509026e-14,6.801409933932932e-14,,,,,,,,,,
frozenset({'223283.9.peg.1560'}),-1.753685919930897e-13,4.499861195591879e-13,-3.663229271363641e-14,-1.189317935231282e-13,-5.430695112372057e-14,1.78968402536233e-14,1.3807937629139e-13,-3.993968437306677e-13,-3.064236386597525e-14,0.0,-2.928024759829808e-13,-6.049235577827405e-14,-1.437719370610796e-14,-1.86742172493414e-13,-2.157638852233095e-13,5.691735872076065e-14,3.97733891748806e-14,4.642028204675614e-14,-3.647146325351943e-14,7.762934378538265e-14,-9.096898491978037e-14,2.041773743060459e-13,-1.195219421289787e-14,-1.15090003796696e-13,1.200870278282132e-13,-2.774736228075407e-13,-7.742230464806803e-14,-5.690392589261848e-14,6.854237103804479e-14,-5.67465685054284e-13,2.476253759675568e-12,1.404804132947678e-13,1.742264470568046e-13,-6.613056317176609e-14,-3.542757154620763e-14,3.489392254500694e-13,2.211844598516196e-14,1.179370358980106e-13,5.871500842437747e-15,-9.419726338798514e-14,3.250373392254484e-13,-6.049648762222726e-14,-7.345726209980378e-14,1.155076932363864e-13,-5.235301241689285e-13,4.190271660172303e-15,1.042840938736866e-14,-1.049984019603756e-13,-1.2660252461268e-13,-5.172817444999831e-14,8.054144153420598e-14,2.290157272114038e-13,-1.942808726758578e-13,-2.457968623049491e-13,-1.479197508227379e-14,1.17798137451941e-13,-1.949446140973194e-13,1.412902742904019e-13,-5.190511408580516e-15,-4.250649321940545e-14,6.367670679617611e-15,-8.966965982943975e-17,3.728736003421405e-13,-1.373210711332572e-13,-1.788431841642277e-14,-6.908652566256889e-14,9.956807043098318e-13,2.571854829865481e-13,1.756307833859701e-12,-1.87873156497807e-13,4.606625862814763e-14,-9.997568209632956e-13,-1.42964178311988e-13,4.735020108663548e-14,-3.777780973585652e-13,5.30776183215686e-14,-8.282625163611228e-14,-5.054715050309265e-14,9.532318663716252e-15,-7.874386641437684e-14,4.983786639004346e-14,2.653921516557408e-14,1.967346703979133e-13,1.325302674785994e-14,-8.3000438364706e-13,7.427794740268209e-14,2.337362494664341e-14,-2.590037935206525e-13,-9.720558022535533e-14,2.433666152341654e-13,-6.287813486856896e-14,1.297473595582657e-13,1.024692446272881e-13,,,,,
frozenset({'223283.9.peg.1575'}),1.147642051363221e-13,-1.81253018015141e-13,-6.561986695891017e-14,3.351156181162645e-13,-5.965886015651862e-14,7.858590565825902e-14,-3.258554285001192e-15,-1.27319429409451e-13,-2.161632433220365e-13,-6.883579268061045e-14,-1.163825944443709e-13,9.716384842843436e-14,1.654761907679119e-13,1.854777366382694e-13,-1.611414126040162e-13,8.31965560824927e-14,-5.56648960326e-13,1.563747722435267e-13,1.552432340271983e-13,-4.482722148136944e-14,5.011377511521774e-14,4.526344980454732e-14,1.480194981800356e-12,3.926353972100016e-13,7.773910151952932e-14,9.939613914141333e-15,-4.3579078133855e-14,-3.666974623341866e-14,-6.623844842788917e-14,7.30448853435914e-14,2.932633336722996e-14,-5.865307429864861e-13,-2.453441449813382e-14,2.720349298362701e-13,-3.585560992832237e-13,-6.607444853795149e-14,1.823057752471211e-15,5.158750462663142e-14,-2.055432459176124e-13,4.590537009680025e-14,1.454264413908351e-13,2.643452706032114e-14,-4.009871117188001e-14,1.08134441383428e-13,0.0,-5.006140609462497e-14,-4.785364579780787e-14,5.495373606991196e-14,-2.803154806537206e-14,-1.745844594171039e-13,-9.613064575802238e-14,-9.656506049893154e-14,6.514250105698713e-14,-4.315610481529203e-13,6.093803674494642e-14,3.344085204169824e-13,-2.416518050731327e-13,5.593853079616608e-13,-9.817341107365326e-14,-2.070731944825435e-13,-5.941451124297118e-14,4.688895276435285e-14,-1.409510051115693e-13,-4.911081535537879e-14,4.826643449804229e-14,2.462315488752845e-14,-1.324635972440297e-13,1.140331456535225e-14,1.844354193842554e-14,-1.046141969313124e-13,-1.176673787643191e-13,1.673277040264149e-15,-7.441360448523319e-14,-5.354378692070982e-14,7.356782524612357e-14,-1.278050284916318e-13,-9.674981990667456e-14,5.858785610023094e-15,-2.058208735355655e-14,2.782812941819091e-14,1.303145253908822e-14,-7.729366474015408e-14,9.395742072196643e-14,-4.489016960125132e-14,-2.972755669570362e-14,1.735956153988365e-13,7.654703855562527e-14,1.044301094368923e-13,-9.06620708499314e-14,-3.318336248970669e-14,-5.879437181556606e-13,3.942363144417408e-14,3.074100977752724e-14,-7.060709840622086e-14,,,,
frozenset({'223283.9.peg.1577'}),-1.003809245865194e-13,1.405993133838185e-13,4.961997260460757e-13,-1.232116764268335e-13,-2.332256265346647e-13,0.0,6.888147031093039e-14,5.304378049647106e-14,1.590791504867954e-14,-4.729132906892585e-15,2.422735705157322e-13,-4.477704726900947e-14,-1.582370788827973e-13,1.710370397846083e-14,-3.147147365914998e-13,-6.628074602138337e-13,1.959558807712575e-13,-5.750002350923353e-14,3.60231754802844e-14,-4.135483534087148e-14,-1.384011342434645e-12,8.20958188677256e-15,-8.843037658359949e-14,-1.911200249160245e-13,-1.623763071434017e-13,2.221128139077971e-14,2.995260574251137e-13,-2.171924286749546e-13,-1.555772194716818e-14,5.785481982364239e-15,4.682907856224121e-15,1.440501773956201e-14,4.66496621150772e-14,7.907353636529144e-14,6.365668823765513e-14,-4.993257737365812e-14,7.308532799425264e-13,4.646291417155791e-13,1.286527588197542e-14,2.532098361338207e-14,-1.457923433217659e-13,-2.71839587798959e-14,8.125496511608346e-14,1.290399925423451e-14,-9.078810676553098e-16,2.885162294407601e-14,-3.970244425534567e-14,-1.672896733592115e-13,-4.805211418975005e-15,8.882414654598336e-14,6.793755491192165e-15,2.114258092202793e-13,-3.277976148903458e-13,3.759425131201267e-14,2.970503011115037e-13,-5.453257789633283e-13,7.109649359668779e-14,-1.610889109762873e-14,1.069956817301443e-13,-1.48492836592196e-14,6.309228355341902e-14,3.560327051809809e-13,-1.613962569823557e-13,-3.545249590357405e-14,4.97661858193975e-13,-9.228811381294857e-14,-9.714418428235998e-14,-2.378369665484459e-13,-4.603375221512155e-11,5.363581063436032e-12,2.710355933971188e-14,6.046296647792093e-14,1.126897873002247e-14,8.244128537686966e-15,-4.529068841895213e-15,-1.711743833059555e-14,2.68652793522039e-14,-6.492864624680393e-15,9.776981491959032e-13,-1.170157477700222e-12,1.556686520028176e-13,-4.440412697373743e-13,-1.093773093824718e-12,7.507086991052878e-14,5.142137579837023e-14,-3.681037489510822e-14,6.649179850967406e-14,-1.559917399238064e-13,2.5234810482077e-12,-2.30520902579593e-14,-2.168147583916112e-13,3.442881844421026e-13,2.536028587189566e-14,,,,,
frozenset({'223283.9.peg.1663'}),-1.00761530242552e-14,2.33345859166808e-13,-8.775261614342533e-14,2.623932203470665e-14,-1.450072626901761e-13,1.41099823598214e-13,2.724450245494894e-13,1.653694806716865e-14,-1.237328127398748e-15,2.400246677765723e-13,1.755370562706813e-14,1.98570254261164e-14,-6.7200710638819e-14,-5.166622447646368e-13,-1.257907385241873e-14,-7.143678031086495e-14,1.407895558168488e-13,7.358372773589346e-14,2.604658038028752e-14,8.521046633806445e-14,7.550158290878752e-14,-4.919034891582858e-14,-8.48513699235732e-14,4.732659207449217e-14,5.406107241420237e-14,-7.787158156664397e-13,-5.889306906409523e-12,4.731638048017914e-14,-9.030511853259907e-12,0.0,-8.926645013292233e-14,-4.124050378915757e-13,-1.579841390497307e-13,-5.81179818164135e-14,-6.384522502894196e-14,1.067814249900714e-11,-6.869718362377375e-13,3.659528190606006e-14,1.365501017555243e-14,3.073094865336951e-14,-2.418234275945127e-14,-5.283916193521157e-13,6.901781947461388e-15,-7.146831357987924e-14,3.639499222313658e-13,4.010546419919588e-13,-1.703485864137863e-13,-3.029948929928067e-14,1.300526776845049e-13,-1.08277880394511e-12,-1.731954735539803e-14,-1.139881862455994e-13,3.843168334844005e-14,-2.709786662021727e-14,-4.015821094422057e-14,2.919509124381961e-14,-1.107996208012963e-13,1.238528511246612e-13,7.123724940638021e-14,1.409467168530869e-13,-3.772341253234976e-14,-9.987129653735347e-14,-2.765338814619867e-13,-7.653437207641492e-14,-2.428009071096131e-13,3.054279607960579e-14,9.997977072921214e-14,-5.987104488699374e-14,8.593080397447654e-14,4.280671143448595e-14,-1.149894930969915e-14,-3.238576964667967e-14,-5.387004541629903e-14,-9.890249912030444e-14,-9.800170862004959e-14,-2.754670971022553e-13,2.141089577120539e-14,-2.875619675187027e-13,-2.546177998637633e-13,1.098924539967651e-13,1.219810692910059e-14,6.743366747310576e-14,9.158601378536117e-14,-5.793899802356188e-14,-6.772631558411638e-14,6.177691108721697e-15,9.706165552526939e-14,-2.848261025837858e-14,6.465531525232635e-14,6.389588310055817e-13,-1.761137805691948e-13,-4.803466487595956e-15,,,,,,
