"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
Pseudomonas aeruginosa PAO1 (Reference)","PA0001","chromosomal replication initiator protein DnaA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0001","chromosomal replication initiation protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0003","RecF protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0003","DNA replication and repair protein RecF",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0005","lysophosphatidic acid acyltransferase, LptA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0187","hdtS protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0006","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0186","D,D-heptose 1,7-bisphosphate phosphatase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0008","glycyl-tRNA synthetase beta chain","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0185","glycyl-tRNA synthetase subunit beta",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0009","glycyl-tRNA synthetase alpha chain","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0184","glycyl-tRNA synthetase subunit alpha",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0010","DNA-3-methyladenine glycosidase I","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0183","DNA-3-methyladenine glycosidase I",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0011","acyltransferase HtrB1","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0182","lipid A biosynthesis lauroyl acyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0016","potassium uptake protein TrkA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0180","Trk system potassium uptake protein TrkA",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0019","polypeptide deformylase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0177","polypeptide deformylase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0021","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0175","DNA processing protein DprA",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0022","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0174","SUA5/yciO/yrdC family domain protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0023","quinone oxidoreductase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0173","quinone oxidoreductase",""
