,kegg,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31
0,PSPTO_0001,0,,,,,,,,,,,,,,,
1,PSPTO_1005,rxn00642_c,rxn01633_c,171,,,,,,,,,,,,,
2,PSPTO_1041,rxn02201_c,172,,,,,,,,,,,,,,
3,PSPTO_1051,173,,,,,,,,,,,,,,,
4,PSPTO_1053,rxn01456_c,174,,,,,,,,,,,,,,
5,PSPTO_0103,rxn00283_c,11,,,,,,,,,,,,,,
6,PSPTO_1077,rxn02000_c,175,,,,,,,,,,,,,,
7,PSPTO_1079,rxn01675_c,176,,,,,,,,,,,,,,
8,PSPTO_1080,rxn02003_c,177,,,,,,,,,,,,,,
9,PSPTO_1081,rxn03887_c,rxn01997_c,178,,,,,,,,,,,,,
10,PSPTO_1104,rxn00770_c,179,,,,,,,,,,,,,,
11,PSPTO_1105,rxn03908_c,180,,,,,,,,,,,,,,
12,PSPTO_1108,rxn06591_c,181,,,,,,,,,,,,,,
13,PSPTO_1112,182,,,,,,,,,,,,,,,
14,PSPTO_1128,rxn00224_c,183,,,,,,,,,,,,,,
15,PSPTO_1129,184,,,,,,,,,,,,,,,
16,PSPTO_1131,rxn00836_c,185,,,,,,,,,,,,,,
17,PSPTO_1136,186,,,,,,,,,,,,,,,
18,PSPTO_0112,12,,,,,,,,,,,,,,,
19,PSPTO_1169,rxn00173_c,rxn00670_c,187,,,,,,,,,,,,,
20,PSPTO_1178,rxn05289_c,188,,,,,,,,,,,,,,
21,PSPTO_1182,189,,,,,,,,,,,,,,,
22,PSPTO_1196,rxn00297_c,190,,,,,,,,,,,,,,
23,PSPTO_0118,rxn05313_c,13,,,,,,,,,,,,,,
24,PSPTO_1215,rxn01013_c,191,,,,,,,,,,,,,,
25,PSPTO_1232,rxn01292_c,rxn02155_c,rxn00105_c,rxn00559_c,192,,,,,,,,,,,
26,PSPTO_1243,rxn00638_c,193,,,,,,,,,,,,,,
27,PSPTO_1268,194,,,,,,,,,,,,,,,
28,PSPTO_1271,195,,,,,,,,,,,,,,,
29,PSPTO_1276,rxn06493_c,196,,,,,,,,,,,,,,
30,PSPTO_1277,197,,,,,,,,,,,,,,,
31,PSPTO_0125,rxn00802_c,14,,,,,,,,,,,,,,
32,PSPTO_1287,rxn01331_c,rxn00781_c,198,,,,,,,,,,,,,
33,PSPTO_1288,rxn01477_c,199,,,,,,,,,,,,,,
34,PSPTO_1302,rxn03884_c,rxn00328_c,200,,,,,,,,,,,,,
35,PSPTO_1325,201,,,,,,,,,,,,,,,
36,PSPTO_1326,202,,,,,,,,,,,,,,,
37,PSPTO_1327,203,,,,,,,,,,,,,,,
38,PSPTO_0128,rxn00060_c,15,,,,,,,,,,,,,,
39,PSPTO_1328,rxn10113_c,204,,,,,,,,,,,,,,
40,PSPTO_1332,rxn01575_c,rxn00903_c,rxn00806_c,205,,,,,,,,,,,,
41,PSPTO_1335,206,,,,,,,,,,,,,,,
42,PSPTO_1337,207,,,,,,,,,,,,,,,
43,PSPTO_0129,rxn02264_c,16,,,,,,,,,,,,,,
44,PSPTO_1338,208,,,,,,,,,,,,,,,
45,PSPTO_1349,209,,,,,,,,,,,,,,,
46,PSPTO_1354,210,,,,,,,,,,,,,,,
47,PSPTO_1356,211,,,,,,,,,,,,,,,
48,PSPTO_1361,212,,,,,,,,,,,,,,,
49,PSPTO_1421,rxn00423_c,213,,,,,,,,,,,,,,
50,PSPTO_1430,rxn00237_c,rxn01678_c,rxn01353_c,rxn01512_c,rxn00409_c,rxn00117_c,rxn00839_c,214,,,,,,,,
51,PSPTO_1435,215,,,,,,,,,,,,,,,
52,PSPTO_1440,rxn05108_c,216,,,,,,,,,,,,,,
53,PSPTO_1444,rxn00902_c,217,,,,,,,,,,,,,,
54,PSPTO_1449,rxn00834_c,218,,,,,,,,,,,,,,
55,PSPTO_1453,219,,,,,,,,,,,,,,,
56,PSPTO_1455,rxn00062_c,220,,,,,,,,,,,,,,
57,PSPTO_1459,rxn03084_c,221,,,,,,,,,,,,,,
58,PSPTO_1473,222,,,,,,,,,,,,,,,
59,PSPTO_1476,223,,,,,,,,,,,,,,,
60,PSPTO_1480,rxn01302_c,224,,,,,,,,,,,,,,
61,PSPTO_1501,225,,,,,,,,,,,,,,,
62,PSPTO_1508,rxn00251_c,rxn00866_c,226,,,,,,,,,,,,,
63,PSPTO_1509,rxn00097_c,rxn01127_c,227,,,,,,,,,,,,,
64,PSPTO_1520,rxn10209_c,rxn10205_c,rxn08551_c,rxn10204_c,rxn10206_c,228,,,,,,,,,,
65,PSPTO_1523,rxn01973_c,229,,,,,,,,,,,,,,
66,PSPTO_1533,rxn12641_c,230,,,,,,,,,,,,,,
67,PSPTO_1534,231,,,,,,,,,,,,,,,
68,PSPTO_1536,rxn01517_c,rxn00119_c,232,,,,,,,,,,,,,
69,PSPTO_1538,rxn09345_c,233,,,,,,,,,,,,,,
70,PSPTO_1539,rxn08308_c,rxn10222_c,rxn08311_c,rxn10221_c,rxn02405_c,rxn08309_c,rxn10220_c,234,,,,,,,,
71,PSPTO_1540,rxn03958_c,235,,,,,,,,,,,,,,
72,PSPTO_1544,rxn06723_c,236,,,,,,,,,,,,,,
73,PSPTO_1546,rxn06729_c,237,,,,,,,,,,,,,,
74,PSPTO_1547,rxn03159_c,238,,,,,,,,,,,,,,
75,PSPTO_1549,239,,,,,,,,,,,,,,,
76,PSPTO_1550,240,,,,,,,,,,,,,,,
77,PSPTO_1551,241,,,,,,,,,,,,,,,
78,PSPTO_1552,rxn00113_c,rxn00412_c,242,,,,,,,,,,,,,
79,PSPTO_1553,rxn02331_c,243,,,,,,,,,,,,,,
80,PSPTO_1554,rxn00459_c,244,,,,,,,,,,,,,,
81,PSPTO_1556,rxn03907_c,245,,,,,,,,,,,,,,
82,PSPTO_1560,rxn03910_c,246,,,,,,,,,,,,,,
83,PSPTO_1602,rxn00717_c,247,,,,,,,,,,,,,,
84,PSPTO_0158,17,,,,,,,,,,,,,,,
85,PSPTO_0159,rxn00474_c,rxn01964_c,18,,,,,,,,,,,,,
86,PSPTO_1633,rxn00416_c,248,,,,,,,,,,,,,,
87,PSPTO_1639,249,,,,,,,,,,,,,,,
88,PSPTO_1661,rxn05231_c,rxn05233_c,rxn06076_c,rxn06075_c,250,,,,,,,,,,,
89,PSPTO_1669,rxn00225_c,rxn00985_c,251,,,,,,,,,,,,,
90,PSPTO_1670,rxn00548_c,rxn01187_c,rxn01308_c,252,,,,,,,,,,,,
91,PSPTO_1671,253,,,,,,,,,,,,,,,
92,PSPTO_1675,rxn06023_c,254,,,,,,,,,,,,,,
93,PSPTO_1692,rxn00649_c,255,,,,,,,,,,,,,,
94,PSPTO_1694,256,,,,,,,,,,,,,,,
95,PSPTO_1699,rxn00908_c,rxn03005_c,rxn03004_c,257,,,,,,,,,,,,
96,PSPTO_1700,rxn03147_c,rxn02937_c,258,,,,,,,,,,,,,
97,PSPTO_1708,rxn03535_c,rxn05029_c,259,,,,,,,,,,,,,
98,PSPTO_1710,rxn11650_c,260,,,,,,,,,,,,,,
99,PSPTO_1711,rxn05054_c,261,,,,,,,,,,,,,,
100,PSPTO_0169,rxn01740_c,19,,,,,,,,,,,,,,
101,PSPTO_1713,rxn03540_c,262,,,,,,,,,,,,,,
102,PSPTO_1714,rxn03536_c,rxn03537_c,263,,,,,,,,,,,,,
103,PSPTO_1715,rxn02897_c,264,,,,,,,,,,,,,,
104,PSPTO_1716,rxn03150_c,265,,,,,,,,,,,,,,
105,PSPTO_1717,rxn03538_c,266,,,,,,,,,,,,,,
106,PSPTO_0170,rxn02303_c,20,,,,,,,,,,,,,,
107,PSPTO_1731,rxn00799_c,267,,,,,,,,,,,,,,
108,PSPTO_1742,rxn11946_c,rxn03395_c,268,,,,,,,,,,,,,
109,PSPTO_1745,269,,,,,,,,,,,,,,,
110,PSPTO_1746,rxn02914_c,rxn03445_c,270,,,,,,,,,,,,,
111,PSPTO_1747,rxn01000_c,271,,,,,,,,,,,,,,
112,PSPTO_1748,rxn01268_c,rxn01269_c,272,,,,,,,,,,,,,
113,PSPTO_1749,rxn00364_c,rxn01219_c,273,,,,,,,,,,,,,
114,PSPTO_1754,274,,,,,,,,,,,,,,,
115,PSPTO_1760,rxn05307_c,275,,,,,,,,,,,,,,
116,PSPTO_1772,276,,,,,,,,,,,,,,,
117,PSPTO_1779,rxn00555_c,277,,,,,,,,,,,,,,
118,PSPTO_1788,rxn05585_c,rxn05552_c,rxn05172_c,rxn05512_c,rxn05620_c,rxn05656_c,rxn05621_c,278,,,,,,,,
119,PSPTO_1791,279,,,,,,,,,,,,,,,
120,PSPTO_1796,280,,,,,,,,,,,,,,,
121,PSPTO_0178,21,,,,,,,,,,,,,,,
122,PSPTO_1812,281,,,,,,,,,,,,,,,
123,PSPTO_1813,282,,,,,,,,,,,,,,,
124,PSPTO_1821,rxn03236_c,283,,,,,,,,,,,,,,
125,PSPTO_1832,rxn02944_c,284,,,,,,,,,,,,,,
126,PSPTO_1835,rxn03422_c,285,,,,,,,,,,,,,,
127,PSPTO_1836,rxn02927_c,286,,,,,,,,,,,,,,
128,PSPTO_1838,rxn02130_c,rxn00291_c,287,,,,,,,,,,,,,
129,PSPTO_1841,rxn00541_c,288,,,,,,,,,,,,,,
130,PSPTO_1842,289,,,,,,,,,,,,,,,
131,PSPTO_1843,rxn00337_c,290,,,,,,,,,,,,,,
132,PSPTO_0182,rxn06865_c,22,,,,,,,,,,,,,,
133,PSPTO_1852,291,,,,,,,,,,,,,,,
134,PSPTO_1859,292,,,,,,,,,,,,,,,
135,PSPTO_0184,23,,,,,,,,,,,,,,,
136,PSPTO_1871,rxn05682_c,rxn05527_c,rxn05197_c,293,,,,,,,,,,,,
137,PSPTO_0185,rxn13782_c,24,,,,,,,,,,,,,,
138,PSPTO_1881,294,,,,,,,,,,,,,,,
139,PSPTO_1886,rxn00165_c,295,,,,,,,,,,,,,,
140,PSPTO_0186,rxn02160_c,rxn00549_c,25,,,,,,,,,,,,,
141,PSPTO_1890,rxn01204_c,296,,,,,,,,,,,,,,
142,PSPTO_1891,rxn01053_c,297,,,,,,,,,,,,,,
143,PSPTO_0189,rxn00130_c,26,,,,,,,,,,,,,,
144,PSPTO_1930,rxn05063_c,rxn05064_c,298,,,,,,,,,,,,,
145,PSPTO_0002,1,,,,,,,,,,,,,,,
146,PSPTO_1990,rxn00139_c,299,,,,,,,,,,,,,,
147,PSPTO_1993,rxn04704_c,300,,,,,,,,,,,,,,
148,PSPTO_1996,301,,,,,,,,,,,,,,,
149,PSPTO_2016,rxn00973_c,rxn01388_c,rxn00974_c,302,,,,,,,,,,,,
150,PSPTO_2019,rxn02939_c,303,,,,,,,,,,,,,,
151,PSPTO_2026,rxn05551_c,304,,,,,,,,,,,,,,
152,PSPTO_2028,rxn00710_c,305,,,,,,,,,,,,,,
153,PSPTO_2035,306,,,,,,,,,,,,,,,
154,PSPTO_2039,rxn02177_c,rxn00141_c,307,,,,,,,,,,,,,
155,PSPTO_2043,rxn01255_c,308,,,,,,,,,,,,,,
156,PSPTO_2045,rxn05104_c,309,,,,,,,,,,,,,,
157,PSPTO_2046,rxn05092_c,310,,,,,,,,,,,,,,
158,PSPTO_2055,rxn01406_c,311,,,,,,,,,,,,,,
159,PSPTO_2064,312,,,,,,,,,,,,,,,
160,PSPTO_2106,rxn10125_c,rxn00083_c,313,,,,,,,,,,,,,
161,PSPTO_2107,314,,,,,,,,,,,,,,,
162,PSPTO_2119,rxn00404_c,rxn01333_c,315,,,,,,,,,,,,,
163,PSPTO_0209,rxn00470_c,rxn00313_c,27,,,,,,,,,,,,,
164,PSPTO_2163,rxn00493_c,316,,,,,,,,,,,,,,
165,PSPTO_2166,317,,,,,,,,,,,,,,,
166,PSPTO_2176,318,,,,,,,,,,,,,,,
167,PSPTO_2177,rxn02429_c,319,,,,,,,,,,,,,,
168,PSPTO_2178,rxn00783_c,320,,,,,,,,,,,,,,
169,PSPTO_2179,rxn02173_c,321,,,,,,,,,,,,,,
170,PSPTO_2182,322,,,,,,,,,,,,,,,
171,PSPTO_2194,rxn00256_c,323,,,,,,,,,,,,,,
172,PSPTO_2195,324,,,,,,,,,,,,,,,
173,PSPTO_2196,rxn10126_c,rxn08527_c,rxn08528_c,rxn00288_c,325,,,,,,,,,,,
174,PSPTO_2197,326,,,,,,,,,,,,,,,
175,PSPTO_2198,327,,,,,,,,,,,,,,,
176,PSPTO_2199,328,,,,,,,,,,,,,,,
177,PSPTO_2200,rxn08094_c,329,,,,,,,,,,,,,,
178,PSPTO_2201,rxn01241_c,330,,,,,,,,,,,,,,
179,PSPTO_2202,331,,,,,,,,,,,,,,,
180,PSPTO_2203,rxn00285_c,332,,,,,,,,,,,,,,
181,PSPTO_2210,rxn05346_c,rxn05350_c,rxn05348_c,333,,,,,,,,,,,,
182,PSPTO_2213,rxn00612_c,334,,,,,,,,,,,,,,
183,PSPTO_0218,rxn05466_c,28,,,,,,,,,,,,,,
184,PSPTO_2242,335,,,,,,,,,,,,,,,
185,PSPTO_2243,rxn10168_c,336,,,,,,,,,,,,,,
186,PSPTO_2244,337,,,,,,,,,,,,,,,
187,PSPTO_2275,338,,,,,,,,,,,,,,,
188,PSPTO_2276,rxn01790_c,339,,,,,,,,,,,,,,
189,PSPTO_2277,340,,,,,,,,,,,,,,,
190,PSPTO_2281,341,,,,,,,,,,,,,,,
191,PSPTO_2282,342,,,,,,,,,,,,,,,
192,PSPTO_2287,rxn00289_c,343,,,,,,,,,,,,,,
193,PSPTO_2289,rxn02832_c,344,,,,,,,,,,,,,,
194,PSPTO_2292,rxn00147_c,345,,,,,,,,,,,,,,
195,PSPTO_0224,rxn01974_c,rxn00193_c,29,,,,,,,,,,,,,
196,PSPTO_2295,346,,,,,,,,,,,,,,,
197,PSPTO_2300,347,,,,,,,,,,,,,,,
198,PSPTO_0225,30,,,,,,,,,,,,,,,
199,PSPTO_2305,rxn00257_c,348,,,,,,,,,,,,,,
200,PSPTO_2338,349,,,,,,,,,,,,,,,
201,PSPTO_2339,rxn01192_c,350,,,,,,,,,,,,,,
202,PSPTO_2341,rxn02369_c,351,,,,,,,,,,,,,,
203,PSPTO_2342,352,,,,,,,,,,,,,,,
204,PSPTO_2346,rxn01827_c,353,,,,,,,,,,,,,,
205,PSPTO_2348,354,,,,,,,,,,,,,,,
206,PSPTO_2362,355,,,,,,,,,,,,,,,
207,PSPTO_0230,rxn00065_c,31,,,,,,,,,,,,,,
208,PSPTO_2371,rxn04043_c,rxn00772_c,356,,,,,,,,,,,,,
209,PSPTO_2373,rxn01545_c,rxn01299_c,357,,,,,,,,,,,,,
210,PSPTO_2378,358,,,,,,,,,,,,,,,
211,PSPTO_2380,359,,,,,,,,,,,,,,,
212,PSPTO_2381,360,,,,,,,,,,,,,,,
213,PSPTO_2382,361,,,,,,,,,,,,,,,
214,PSPTO_2383,362,,,,,,,,,,,,,,,
215,PSPTO_2401,363,,,,,,,,,,,,,,,
216,PSPTO_2402,364,,,,,,,,,,,,,,,
217,PSPTO_2403,rxn00615_c,365,,,,,,,,,,,,,,
218,PSPTO_2409,366,,,,,,,,,,,,,,,
219,,716,,,,,,,,,,,,,,,
220,,717,,,,,,,,,,,,,,,
221,PSPTO_2411,367,,,,,,,,,,,,,,,
222,PSPTO_2427,368,,,,,,,,,,,,,,,
223,PSPTO_2430,369,,,,,,,,,,,,,,,
224,PSPTO_2450,370,,,,,,,,,,,,,,,
225,PSPTO_2452,rxn00433_c,371,,,,,,,,,,,,,,
226,PSPTO_2453,rxn00907_c,rxn01211_c,372,,,,,,,,,,,,,
